순위,할랄등급,식당명,카테고리,대분류,근거,주의,출처,도로명주소,전화,도보거리_m,도보_분,평판점수,user_score,리뷰수,대표사진,네이버지도,식당ID,lat,lng
1,A·명시할랄,바트케밥,"케밥, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,경기도 안산시 단원구 중앙대로 441 상가동 1층 6호,010-4362-1970,796,12,69,4,3,,https://map.naver.com/p/search/%EB%B0%94%ED%8A%B8%EC%BC%80%EB%B0%A5,rIN7eoDvDrsz,37.3289386,126.7885723
2,A·명시할랄,사라이도네르케밥,"랩샌드위치, 할랄",웨스턴(양식),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,경기도 안산시 단원구 원곡로 16-1 1층,0507-1406-0788,845,13,58,5,2,,https://map.naver.com/p/search/%EC%82%AC%EB%9D%BC%EC%9D%B4%EB%8F%84%EB%84%A4%EB%A5%B4%EC%BC%80%EB%B0%A5,I1Ds8hkPkrgU,37.3287996,126.7919063
3,B·추정(확인필요),후르셰다사마르칸트,"러시아음식, 우즈베키스탄",기타,할랄친화 cuisine(우즈베),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 다문화2길 3,0504-1848-0872,816,12,68,4.1,6,,https://map.naver.com/p/search/%ED%9B%84%EB%A5%B4%EC%85%B0%EB%8B%A4%EC%82%AC%EB%A7%88%EB%A5%B4%EC%B9%B8%ED%8A%B8,uDDgfeNhZSQ1,37.3290354,126.7896312
4,B·추정(확인필요),샐러리아 안산신길점,"포케, 샐러드",채식,채식·비건(육류 없음),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 신길로1길 92 104호,031-493-8590,954,14,62,5,1,,https://map.naver.com/p/search/%EC%83%90%EB%9F%AC%EB%A6%AC%EC%95%84%20%EC%95%88%EC%82%B0%EC%8B%A0%EA%B8%B8%EC%A0%90,2uFfcVL6Jf7s,37.3302919,126.7867692
5,B·추정(확인필요),천년풍천장어,"장어, 풍천장어",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 옴뱅이길 23 1층 천년풍천장어,0507-1317-6843,898,13,61,4,3,,https://map.naver.com/p/search/%EC%B2%9C%EB%85%84%ED%92%8D%EC%B2%9C%EC%9E%A5%EC%96%B4,PfcTDMj17Kup,37.3294004,126.7848377
6,B·추정(확인필요),바타비아,인도네시아음식,중동·인도(할랄친화),할랄친화 cuisine(인도/인도네시아),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 다문화길 4,031-493-6626,759,11,57,4,1,,https://map.naver.com/p/search/%EB%B0%94%ED%83%80%EB%B9%84%EC%95%84,SJPHTwGDIOdc,37.3284987,126.7897934
7,B·추정(확인필요),칸티푸르,"인도음식, 커리",중동·인도(할랄친화),할랄친화 cuisine(인도),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 다문화2길 28 2층 칸티푸르,0507-1362-9563,971,14,57,4.5,5,,https://map.naver.com/p/search/%EC%B9%B8%ED%8B%B0%ED%91%B8%EB%A5%B4,3Bx3NpfhWWql,37.3302188,126.7910566
8,B·추정(확인필요),솔티 인도네팔레스토랑,"치킨커리, 인도음식",중동·인도(할랄친화),할랄친화 cuisine(인도),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 중앙대로 453 3층,031-492-7723,743,11,40,0,0,,https://map.naver.com/p/search/%EC%86%94%ED%8B%B0%20%EC%9D%B8%EB%8F%84%EB%84%A4%ED%8C%94%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91,qYFSbeaiXUgT,37.3283616,126.7897036
9,B·추정(확인필요),가톳카차,인도네시아음식,중동·인도(할랄친화),할랄친화 cuisine(인도/인도네시아),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 다문화2길 25 2F,010-8612-0123,997,15,40,5,1,,https://map.naver.com/p/search/%EA%B0%80%ED%86%B3%EC%B9%B4%EC%B0%A8,4hECDY0LSpX4,37.3304913,126.7909129
10,B·추정(확인필요),아시아나레스토랑,인도음식,중동·인도(할랄친화),할랄친화 cuisine(인도),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,경기도 안산시 단원구 다문화2길 51,031-494-6167,795,12,25,0,0,,https://map.naver.com/p/search/%EC%95%84%EC%8B%9C%EC%95%84%EB%82%98%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91,aPe1PfiFHnUu,37.3287908,126.7900394
