순위,할랄등급,식당명,카테고리,대분류,근거,주의,출처,도로명주소,전화,도보거리_m,도보_분,평판점수,user_score,리뷰수,대표사진,네이버지도,식당ID,lat,lng
1,A·명시할랄,술탄 케밥,"케밥, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 보광로 126,0507-1331-3890,60,1,79,4.3,20,,https://map.naver.com/p/search/%EC%88%A0%ED%83%84%20%EC%BC%80%EB%B0%A5,Gi9Umk5YXnlj,37.533996,126.9941944
2,A·명시할랄,할랄가이즈 이태원점,"북미음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 이태원로 187 2층 The Halal Guys,02-794-8309,42,1,76,4,22,,https://map.naver.com/p/search/%ED%95%A0%EB%9E%84%EA%B0%80%EC%9D%B4%EC%A6%88%20%EC%9D%B4%ED%83%9C%EC%9B%90%EC%A0%90,YwMe7TSvB1QC,37.5347137,126.9948065
3,A·명시할랄,케르반 레스토랑,"케밥, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 이태원로 192 1층,0507-1412-4767,89,1,73,4,10,,https://map.naver.com/p/search/%EC%BC%80%EB%A5%B4%EB%B0%98%20%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91,lQNtS5U7Btk9,37.534412,126.9954079
4,A·명시할랄,박소린두깜풍,"인도네시아음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 보광로59길 9 2층,0507-1411-2514,109,2,71,3.7,6,,https://map.naver.com/p/search/%EB%B0%95%EC%86%8C%EB%A6%B0%EB%91%90%EA%B9%9C%ED%92%8D,Gh2p9a7R6tlq,37.5338763,126.993461
5,A·명시할랄,두바이레스토랑,"중동음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 이태원로 192,02-798-9277,87,1,70,4.1,6,,https://map.naver.com/p/search/%EB%91%90%EB%B0%94%EC%9D%B4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91,8q1WRint1iSK,37.5343134,126.9953538
6,A·명시할랄,페트라팰리스,"중동음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 녹사평대로40길 51,02-749-9329,502,7,68,4.7,3,,https://map.naver.com/p/search/%ED%8E%98%ED%8A%B8%EB%9D%BC%ED%8C%B0%EB%A6%AC%EC%8A%A4,gTlitPqZ0LKK,37.5344185,126.9887089
7,A·명시할랄,트로이,"케밥, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 보광로 125 트로이 TROY,0507-1444-2599,76,1,64,3.9,6,,https://map.naver.com/p/search/%ED%8A%B8%EB%A1%9C%EC%9D%B4,gAPtzYq1BBRF,37.5339069,126.9940013
8,A·명시할랄,케르반 카페,"터키, 이슬람",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 17 1층,0507-1411-2152,232,3,64,4,2,,https://map.naver.com/p/search/%EC%BC%80%EB%A5%B4%EB%B0%98%20%EC%B9%B4%ED%8E%98,cHBStGKFWlGj,37.5333074,126.9965501
9,A·명시할랄,아비케밥,"케밥, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울 용산구 보광로60길3 1층,02-790-9952,53,1,62,5,1,,https://map.naver.com/p/search/%EC%95%84%EB%B9%84%EC%BC%80%EB%B0%A5,un68DlFmoYtl,37.5340342,126.9943927
10,A·명시할랄,타지펠리스 이태원점,"인도음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로 39,0507-1369-5786,127,2,62,4.6,4,,https://map.naver.com/p/search/%ED%83%80%EC%A7%80%ED%8E%A0%EB%A6%AC%EC%8A%A4%20%EC%9D%B4%ED%83%9C%EC%9B%90%EC%A0%90,jCaz20NWXqDm,37.5336983,126.9954183
