canonical_id,name_ko,name_en,brand,category,n_aliases,n_rows,markets,min_krw,max_krw,alias_examples
w001,글렌리벳 12년,The Glenlivet 12 Year Old,Glenlivet,싱글몰트,7,8,HK;JP;KR;KR-DS,60900,164335,Glenlivet 12 Year Old Double Oak; 【正規輸入品】 ザ グレンリベット 12年 40% 1000ml 箱付 シングルモルト スコッチ ウイスキー; 【正規輸入品】ザ グレンリベット 12年 40% 700ml 箱付 スコッチ ウイスキー; ザ グレンリベット 12年 1000ml
w002,글렌리벳 15년,The Glenlivet 15 Year Old French Oak Reserve,Glenlivet,싱글몰트,7,17,HK;JP;KR;KR-DS,89000,241590,Glenlivet 15 Years Old French Oak Reserve Single Malt Scotch Whisky; 【正規輸入品】 ザ グレンリベット 15年 フレンチ オーク リザーブ 40% 700ml 箱付 シングルモルト スコッチ ウイスキー; ザ グレンリベット フレンチオーク リザーヴ 15年; 글렌리벳 15년
w003,글렌리벳 17년 스몰배치,The Glenlivet 17 Year Old Small Batch,Glenlivet,싱글몰트,2,3,KR,229800,229800,글렌리벳 17년 스몰 배치 2 700ml; 더 글렌리벳 17년 스몰 배치 2
w004,글렌리벳 19년 스몰배치,The Glenlivet 19 Year Old Small Batch,Glenlivet,싱글몰트,2,3,KR,349800,349800,글렌리벳 19년 스몰 배치 2 700ml; 더 글렌리벳 19년 스몰 배치 2
w005,글렌피딕 12년,Glenfiddich 12 Year Old,Glenfiddich,싱글몰트,5,16,HK;JP;KR;KR-DS,69800,159694,"Glenfiddich - 12y, 40%; グレンフィディック 12年 スペシャル リザーブ 40% 700ml 箱付 シングルモルト スコッチ ウイスキー; シングルモルト ウイスキー グレンフィディック12年 [イギリス 700ml お酒 ギフトBOX入り]; 글렌피딕 12년"
w006,글렌피딕 14년 버번배럴,Glenfiddich 14 Year Old Bourbon Barrel Reserve,Glenfiddich,싱글몰트,3,10,KR;KR-DS,99800,105000,글렌피딕 14년; 글렌피딕 14년 버번 캐스크 700ml; 글렌피딕 14년 법원 캐스크
w007,글렌피딕 15년,Glenfiddich 15 Year Old Solera,Glenfiddich,싱글몰트,8,19,JP;KR;KR-DS,96900,243602,グレンフィディック 15年 ソレラリザーブ 40% 700ml 箱付 シングルモルト スコッチ ウイスキー; 글렌피딕 15년; 글렌피딕 15년 700ml; 글렌피딕 15년 솔레라 700ml
w008,발베니 12년 더블우드,The Balvenie DoubleWood 12 Year Old,Balvenie,싱글몰트,10,25,JP;KR;KR-DS,94900,253753,ザ バルヴェニー 12年 ダブルウッド 40% 700ml 箱付 シングルモルト スコッチ ウイスキー; ザ バルヴェニー ダブルウッド 12年; 발베니 12년; 발베니 12년 700ml
w009,발베니 14년 캐리비안 캐스크,The Balvenie Caribbean Cask 14 Year Old,Balvenie,싱글몰트,8,20,HK;JP;KR;KR-DS,134900,368527,"Balvenie - Caribbean Cask 14y, 43%; Balvenie Caribbean Cask 14 Years Single Malt Scotch Whisky; シングルモルト ウイスキー バルヴェニー 14年 カリビアンカスク [イギリス 700ml ]; 발베니 14년 &gt;&gt; &gt;&gt; 캐리비안 캐스크 700ml"
w010,아벨라워 12년 더블캐스크,Aberlour 12 Year Old Double Cask Matured,Aberlour,싱글몰트,2,2,HK;JP,133932,241590,Aberlour 12 Years Old Double Cask Matured Single Malt Scotch Whisky; アベラワー 12年 ダブルカスクマチュア―ド
