proposed_id,name_ko,name_en,brand,category,origin,age,price_min,price_max,match,confidence,web_check,raw_variants
w131,글렌고인 18년,Glengoyne 18 Year Old,Glengoyne,싱글몰트,스코틀랜드-하일랜드,18,360000,360000,"[글렌고인, ""18년""]",high,실재(데일리샷 직링크): https://dailyshot.co/m/item/7131,글랜고인 18년 700ml
w132,글렌리벳 파운더스 리저브,The Glenlivet Founder's Reserve,The Glenlivet,싱글몰트,스코틀랜드-스페이사이드,NAS,54800,54800,"[글렌리벳, 파운더스]",high,실재(데일리샷 직링크): https://web.dailyshot.co/m/item/4967,글렌리벳 파운더스 리저브 700ml
w133,글렌모렌지 오리지널 10년,Glenmorangie Original 10 Year Old,Glenmorangie,싱글몰트,스코틀랜드-하일랜드,10,88800,88800,"[글렌모렌지, ""10년""]",high,실재(데일리샷 직링크): https://dailyshot.co/m/item/8680,글렌모렌지 오리지널 10년 700ml
w134,듀어스 화이트 라벨,Dewar's White Label,Dewar's,블렌디드,스코틀랜드,NAS,19800,19800,"[듀어스, 화이트]",high,실재(데일리샷 직링크+리뷰49건): https://dailyshot.co/m/item/9471,듀어스 화이트랍에 700ml
w135,시바스 리갈 15년,Chivas Regal 15 Year Old,Chivas Regal,블렌디드,스코틀랜드,15,65800,65800,"[시바스, ""15년""]",high,실재(데일리샷 직링크): https://dailyshot.co/m/item/6005,시바스리갈 15년 리미티드 에디션 700ml
w136,와일드터키 81,Wild Turkey 81,Wild Turkey,버번,미국,NAS,53900,53900,"[와일드, ""81""]",high,실재(데일리샷 직링크): https://dailyshot.co/m/item/25943,와일드 터키 81 750mml
w137,윈저 17년,Windsor 17,Windsor,블렌디드,스코틀랜드(한국시장),17,39800,39800,"[윈저, ""17년""]",high,실재(데일리샷 직링크+공식입점기사): https://dailyshot.co/m/item/4985,윈저 17년 450mml
w138,윈저 21년,Windsor 21,Windsor,블렌디드,스코틀랜드(한국시장),21,89800,89800,"[윈저, ""21년""]",high,실재(데일리샷 직링크+공식입점기사): https://dailyshot.co/m/item/6887,윈저 21년 500ml
w139,일라이저 크레이그 스몰배치,Elijah Craig Small Batch,Elijah Craig,버번,미국,NAS,79400,79400,"[일라이저, 크레이그]",med,실재(브랜드공식): https://elijahcraig.com/small-batch (Heaven Hill). KR 데일리샷 직링크 미확인,일라이저 크레이그 스몰 배치
w140,잭다니엘 파이어,Jack Daniel's Tennessee Fire,Jack Daniel's,리큐르(위스키베이스),미국,NAS,51300,51300,"[잭다니엘, 파이어]",med,실재(데일리샷 JD라인업+Brown-Forman공식): https://dailyshot.co/m/item/2576. KR 직링크 미확인,잭 다니엘스 파이어 700ml
w141,제임슨 블랙 배럴,Jameson Black Barrel,Jameson,블렌디드,아일랜드,NAS,60000,60000,"[제임슨, 블랙배럴]",med,실재(브랜드공식+Total Wine): https://www.jamesonwhiskey.com/en-us/our-whiskey/jameson-black-barrel/. KR 직링크 미확인,제임슨 블랙베럴 700ml
w142,조니워커 골드라벨 리저브,Johnnie Walker Gold Label Reserve,Johnnie Walker,블렌디드,스코틀랜드,NAS,85800,85800,"[조니워커, 골드]",high,실재(데일리샷 직링크): https://dailyshot.co/m/item/9081 (골드 리저브),조니워커 골드 리저브 리미티드 에디션 750ml
w143,짐빔 허니,Jim Beam Honey,Jim Beam,리큐르(버번베이스),미국,NAS,24800,24800,"[짐빔, 허니]",med,실재(브랜드공식+Total Wine): https://www.jimbeam.com/en-us/bourbons/jim-beam-honey. KR 직링크 미확인,진빔 허니 750ml
w144,탈리스커 스톰,Talisker Storm,Talisker,싱글몰트,스코틀랜드-스카이,NAS,92800,92800,"[탈리스커, 스톰]",high,실재(데일리샷 직링크): https://dailyshot.co/m/item/7210,탈리스커 스톰 700ml
w145,탈리스커 포트 리,Talisker Port Ruighe,Talisker,싱글몰트,스코틀랜드-스카이,NAS,95000,95000,"[탈리스커, 포트]",med,실재(Master of Malt+Whiskybase): https://www.masterofmalt.com/whiskies/talisker/talisker-port-ruighe-whisky/. KR 직링크 미확인,탈리스커 포트리 700ml
