final_class,proposed_id,name_ko,name_en,brand,category,origin,age,freq,n_variants,price_min,price_max,synonym_target,norm_key,rep_name,sources,note,web_check,raw_variants
new_A,w089,탈리스커 와일드 블루,Talisker Wild (name_en 미확정),Talisker,싱글몰트,스코틀랜드-스카이,NAS,12,2,69400,109000,,탈리스커 와일드 블루,탈리스커 와일드 블루 700ml,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;2026-06.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,탈리스커 와일드 블루 | 탈리스커 와일드 블루 700ml
new_A,w090,발렌타인 17년,Ballantine's 17 Year Old,Ballantine's,블렌디드,스코틀랜드,17,11,3,99081,168300,,발렌타인 17년,발렌타인 17년 700ml,2026-03.csv;2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,발렌타인 17년 | 발렌타인 17년 500mml | 발렌타인 17년 700ml
new_A,w091,잭다니엘 허니,Jack Daniel's Tennessee Honey,Jack Daniel's,리큐르(위스키베이스),미국,NAS,7,5,16500,98000,,잭다니엘 허니,잭다니엘 허니,2026-03.csv;2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,잭 다니엘스 허니 200ml | 잭 다니엘스 허니 700ml | 잭다니엘 허니 | 잭다니엘 허니 1L | 잭다니의 허니
new_A,w092,발렌타인 싱글몰트 글렌버기 16년,Ballantine's Single Malt Glenburgie 16,Ballantine's,싱글몰트,스코틀랜드-스페이사이드,16,6,3,169800,169800,,발렌타인 싱글몰트 글렌버기 16년 스몰 배치,발렌타인 싱글트 글램버기 16년 스몰 배치,2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,발렌타인 싱글트 글램버기 16년 스몰 배치 | 발렌타인 싱글트 글램버이 16년 스몰 배치 | 발렌타인 싱글트 글램버이 16년 스몰 배치 700ml
new_A,w093,글렌파클라스 15년,Glenfarclas 15 Year Old,Glenfarclas,싱글몰트,스코틀랜드-스페이사이드,15,6,2,107739,119400,,파클라스 15년,파클라스 15년 700ml,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,파클라스 15년 | 파클라스 15년 700ml
new_A,w094,글렌피딕 12년 셰리 캐스크,Glenfiddich 12 Year Old Sherry Cask,Glenfiddich,싱글몰트,스코틀랜드-스페이사이드,12,5,2,69900,69900,,글렌피딕 12년 셰리캐스크,글렌피딕 12년 쉐리케스크 700ml,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,글렌피딕 12년 쉐리케스크 | 글렌피딕 12년 쉐리케스크 700ml
new_A,w095,러셀스 리저브 10년,Russell's Reserve 10 Year Old,Russell's Reserve,버번,미국,10,5,2,59400,99000,,러셀 리저브 10년,러셀 리저브 10년 750ml,2026-03.csv;2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,러셀 리저브 10년 | 러셀 리저브 10년 750ml
new_A,w096,글렌알라키 10년 루비 포트,GlenAllachie 10 Year Old Ruby Port Wood Finish,GlenAllachie,싱글몰트,스코틀랜드-스페이사이드,10,4,2,89800,185000,,글렌알라키 10년 루비포트,글렌알라키 10년 루비포트 700ml,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,글렌알라키 10년 루비포트 | 글렌알라키 10년 루비포트 700ml
new_A,w097,주라 18년,Jura 18 Year Old,Jura,싱글몰트,스코틀랜드-아일랜드(섬),18,4,2,79400,142000,,주라 18년,주라 18년 700ml,2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,주라 18년 | 주라 18년 700ml
new_A,w098,커클랜드 15년 하일랜드 싱글몰트,Kirkland Signature Highland Single Malt 15,Kirkland,싱글몰트,스코틀랜드-하일랜드,15,4,1,133900,133900,,커클랜드 15년 하일랜드,커클랜드 15년 하일랜드 싱글몰트 위스키,2026-05.csv;2026-05_dailyshot.csv;2026-06.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,커클랜드 15년 하일랜드 싱글몰트 위스키
new_A,w099,커클랜드 시그니처 스카치,Kirkland Signature Blended Scotch,Kirkland,블렌디드,스코틀랜드,NAS,4,2,32490,32490,,커클랜드 시그니처,커클랜드 시그니처 스카치 위스키 1.75L,2026-05.csv;2026-05_dailyshot.csv;2026-06.csv;2026-06_dailyshot.csv,,prior new_A (freq/brand 기반); routine 검색대상,커클랜드 시그니처 스카치 위스키 | 커클랜드 시그니처 스카치 위스키 1.75L
