suggested_class,confidence,norm_key,rep_name,freq,n_variants,price_min,price_max,est_brand,est_category,est_origin,est_age,nearest_canon_id,nearest_canon_name,nearest_ratio,nearest_canon_age,sources,raw_variants
new_sku,high,발렌타인 17년,발렌타인 17년 700ml,11,3,99081,168300,Ballantine's,블렌디드,스코틀랜드,17,w044,발렌타인 10년,0.875,10,2026-03.csv;2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,발렌타인 17년 | 발렌타인 17년 500mml | 발렌타인 17년 700ml
new_sku,high,잭다니엘 허니,잭다니엘 허니,7,5,16500,98000,Jack Daniel's,테네시위스키,미국,,w067,잭다니엘 애플,0.714,,2026-03.csv;2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,잭 다니엘스 허니 200ml | 잭 다니엘스 허니 700ml | 잭다니엘 허니 | 잭다니엘 허니 1L | 잭다니의 허니
new_sku,high,파클라스 15년,파클라스 15년 700ml,6,2,107739,119400,Glenfarclas,싱글몰트,스코틀랜드-스페이사이드,15,w056,듀어스 15년,0.667,15,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,파클라스 15년 | 파클라스 15년 700ml
new_sku,high,발렌타인 싱글몰트 글렌버기 16년 스몰 배치,발렌타인 싱글트 글램버기 16년 스몰 배치,6,3,169800,169800,Ballantine's,블렌디드,스코틀랜드,16,w046,발렌타인 싱글몰트 15년,0.649,15,2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,발렌타인 싱글트 글램버기 16년 스몰 배치 | 발렌타인 싱글트 글램버이 16년 스몰 배치 | 발렌타인 싱글트 글램버이 16년 스몰 배치 700ml
new_sku,high,러셀 리저브 10년,러셀 리저브 10년 750ml,5,2,59400,99000,Russell's Reserve,버번,미국,10,w077,러셀스 리저브 싱글배럴,0.636,,2026-03.csv;2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,러셀 리저브 10년 | 러셀 리저브 10년 750ml
new_sku,high,글렌알라키 10년 루비포트,글렌알라키 10년 루비포트 700ml,4,2,89800,185000,GlenAllachie,싱글몰트,스코틀랜드-스페이사이드,10,w030,글렌글라사 포트소이,0.5,,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,글렌알라키 10년 루비포트 | 글렌알라키 10년 루비포트 700ml
new_sku,high,주라 18년,주라 18년 700ml,4,2,79400,142000,Jura,싱글몰트,스코틀랜드-아일랜드(섬),18,w057,듀어스 18년,0.615,18,2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,주라 18년 | 주라 18년 700ml
new_sku,high,발렌타인 17년 말본 리미티드 에디션,발렌타인 17년 말본 리미티드 에디션,4,2,149800,149800,Ballantine's,블렌디드,스코틀랜드,17,w044,발렌타인 10년,0.5,10,2026-05.csv;2026-05_dailyshot.csv;2026-06.csv;2026-06_dailyshot.csv,발렌타인 17년 말본 리미티드 에디션 | 발렌타인 17년 말본 리미티드 에디션 700ml
new_sku,high,커클랜드 15년 하일랜드,커클랜드 15년 하일랜드 싱글몰트 위스키,4,1,133900,133900,Kirkland,블렌디드,(상표:코스트코),15,w016,탐두 15년,0.421,15,2026-05.csv;2026-05_dailyshot.csv;2026-06.csv;2026-06_dailyshot.csv,커클랜드 15년 하일랜드 싱글몰트 위스키
new_sku,high,커클랜드 시그니처,커클랜드 시그니처 스카치 위스키 1.75L,4,2,32490,32490,Kirkland,블렌디드,(상표:코스트코),,w060,노마드 아웃랜드 셰리 피니시,0.333,,2026-05.csv;2026-05_dailyshot.csv;2026-06.csv;2026-06_dailyshot.csv,커클랜드 시그니처 스카치 위스키 | 커클랜드 시그니처 스카치 위스키 1.75L
