prd_no,prd_opt_no,name,brand,volume_ml,regular_price,sale_price,discount_pct,currency,krw_price,category,is_dutyfree,collected_at
20000842082,20001086121,글렌피딕 18년 벳4 퍼페추얼 컬렉션 700ml,글렌피딕,700,145.0,74.09,49.0,USD,109720,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000959658,20001278582,발베니 12년 골든럼 캐스크 700ml,발베니,700,80.0,64.0,20.0,USD,94778,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842088,20001086127,발베니 15년 마데이라 캐스크 700ml,발베니,700,164.0,86.59,47.0,USD,128231,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000845231,20001090462,카발란 EX-버번 솔리스트 1000ml,카발란,1000,154.0,92.4,40.0,USD,136835,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001025591,20001399772,브룩라디 옥토모어 14.2 700ML,브룩라디,700,190.0,190.0,0.0,USD,281371,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842092,20001086136,발베니 18년 페드로 히메네즈 700ml,발베니,700,277.0,139.6,50.0,USD,206734,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000845220,20001090432,카발란 비노 바리끄 솔리스트 1000ml,카발란,1000,230.0,138.0,40.0,USD,204364,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001046296,20001443047,발베니15 마데이라 캐스크 빅토 응아이 700ml,발베니,700,164.0,86.59,47.0,USD,128231,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000929406,20001226680,로얄브라클라 12년 1000ml,로얄 브라클라,1000,97.0,48.64,50.0,USD,72031,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001046303,20001443063,발베니18 쉐리 캐스크 빅토 응아이 700ml,발베니,700,277.0,139.6,50.0,USD,206734,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000845222,20001090436,카발란 포트 솔리스트 1000ml,카발란,1000,218.0,130.8,40.0,USD,193702,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000978194,20001314231,글렌피딕 22년 그랑 코르테즈 700ml,글렌피딕,700,310.0,167.09,46.0,USD,247444,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001055528,20001458876,카발란 솔리스트 마데이라 1000ml,카발란,1000,234.0,187.2,20.0,USD,277224,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842079,20001086118,글렌피딕 15년 벳 3 퍼페추얼 컬렉션 700ml,글렌피딕,700,99.0,53.36,46.0,USD,79021,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001043555,20001437228,글렌모렌지 시그넷 700ml,글렌모렌지,700,198.0,168.3,15.0,USD,249235,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000845232,20001090463,카발란 올로로소 쉐리오크 1000ml,카발란,1000,172.0,103.2,40.0,USD,152829,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001025592,20001399773,브룩라디 옥토모어 16.1 700ML,브룩라디,700,167.0,167.0,0.0,USD,247310,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001054331,20001456616,브룩라디 옥토모어 15.2 700ML,브룩라디,700,190.0,190.0,0.0,USD,281371,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000919728,20001212989,글렌알라키 12년 뮈스카텔 우드 피니시 700ml,글렌알라키,700,137.0,60.41,56.0,USD,89461,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842087,20001086126,발베니 클래식 700ml,발베니,700,101.0,53.32,47.0,USD,78962,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000946344,20001256659,듀어스 15년 1000ml 뉴에디션,듀어스,1000,64.0,29.37,54.0,USD,43494,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001010328,20001373777,글렌피딕 23년 그랑 크루 슬림팩 700ml,글렌피딕,700,353.0,190.26,46.0,USD,281756,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842076,20001086115,글렌피딕 벳 1 퍼페추얼 컬렉션 1000ml,글렌피딕,1000,78.0,40.95,48.0,USD,60643,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000935485,20001236491,글렌알라키 12년 700ml,글렌알라키,700,107.0,77.04,28.0,USD,114089,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001007446,20001368303,글렌피딕 19년 애스턴마틴 F1 700ml,글렌피딕,700,165.0,90.75,45.0,USD,134392,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842074,20001086113,글렌피딕 21년 그랑 레제르바 700ml,글렌피딕,700,264.0,142.29,46.0,USD,210717,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000846018,20001214929,글렌파클라스 25년 위스키 700ml,글렌파클라스,700,378.0,204.68,46.0,USD,303111,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000921981,20001216497,캐퍼도닉 21년 700mL,캐퍼도닉,700,250.0,174.0,30.0,USD,257677,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000875300,20001140094,글렌알라키 8년 700ml,글렌알라키,700,91.0,65.52,28.0,USD,97029,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001029292,20001407357,기원 해 700ml,기원 위스키,700,62.0,35.71,42.0,USD,52883,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001043046,20001436610,글렌파클라스 15년 700ml,글렌파클라스,700,135.0,67.97,50.0,USD,100657,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000929408,20001226684,로얄브라클라 21년 700ml,로얄 브라클라,700,348.0,165.99,52.0,USD,245815,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001009479,20001372251,오마르 캐스크 스트랭스 싱글 몰트 위스키 쉐리 캐스크 700ml,오마르,700,205.0,97.78,52.0,USD,144802,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000844203,20001089087,글렌피딕 26년 그랑 쿠론 700ml,글렌피딕,700,706.0,380.53,46.0,USD,563527,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001026972,20001403029,[면세한정] 달모어 16년 PX 쉐리캐스크 700ml,달모어,700,165.0,156.75,5.0,USD,232131,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001026967,20001403004,[면세한정] 달모어 13년 PX 쉐리캐스크 700ml,달모어,700,80.0,76.0,5.0,USD,112548,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842095,20001086140,발베니 19년 위크 오브 피트 700ml,발베니,700,315.0,252.0,20.0,USD,373187,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000969469,20001297417,보모어 19년 700ml,보모어,700,204.0,143.41,30.0,USD,212376,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000961588,20001281865,발렌타인 글렌버기 15년 700ml,발렌타인,700,81.0,51.03,37.0,USD,75570,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001054259,20001456511,글렌모렌지 인피니타 18년 700ml,글렌모렌지,700,115.0,86.25,25.0,USD,127728,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000919520,20001212632,글렌모렌지 오리지널 1000ml,글렌모렌지,1000,60.0,39.0,35.0,USD,57755,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20000842073,20001086112,글렌피딕 23년 그랑 크루 700ml,글렌피딕,700,353.0,205.09,42.0,USD,303718,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
20001051309,20001451817,브룩라디 블랙아트 사페로 700ml,브룩라디,700,238.0,238.0,0.0,USD,352454,주류/위스키/싱글 몰트,True,2026-07-24T00:15:27Z
