raw_name,status,canonical_id,canonical_name_ko,match_reason
&gt;&gt; &gt;&gt; 골든 블루 사피루스 450ml,matched,w064,골든블루 사피루스,rule
"*PRE-ORDER 預訂* Kowloon Spirits  - Single Malt Whiskey Exclusive Barrel, 750ml",unmatched,,,
1776 波本威士忌,unmatched,,,
1776 裸麥威士忌,unmatched,,,
1792 小批次波本威士忌,matched,w070,1792 스몰배치,rule
1792 스몰 배치,matched,w070,1792 스몰배치,rule
1792 스몰 배치 750ml,matched,w070,1792 스몰배치,rule
1792 스몰배치,matched,w070,1792 스몰배치,rule
1792 스몰배치 750ml,matched,w070,1792 스몰배치,rule
1792 풀프루프가,matched,w070,1792 스몰배치,rule
"Aberfeldy - Single Malt Scotch Whisky 12y, 40%, 75cl",unmatched,,,
"Aberfeldy - Single Malt Scotch Whisky 16y, 40%, 70cl",matched,w027,에버펠디 16년,en
"Adelphi - Islay (Caol Ila) 10y, Single Malt Whisky, 46%,70cl, 1800B",unmatched,,,
"Adelphi - Loyal Old Mature Private Stock, Blended Scotch Whisky, 40%, 70cl",unmatched,,,
"Adelphi - Private Stock Reserve 8y, Peated blend, 46%, 70cl, 1800B",unmatched,,,
"Adelphi - Speyside (Glen Elgin) 10y, Single Malt Whisky, 46%,70cl, 1800B",unmatched,,,
"Adelphi - The Kincardine, Single Malt Scotch + Indian Whisky 7y, 52.9%, 820b",unmatched,,,
"Adelphi Limited - Benrinnes 33y, 1984, 57.3%, 395b",unmatched,,,
"Adelphi Limited - Breath of Speyside 30y, 1992, 50.3%, 194b",unmatched,,,
"Adelphi Limited - Bunnahabhain 23y, 1998, 53.5%, 587b, IB Single Malt Scotch Whisky",unmatched,,,
"Adelphi Limited - Glen Grant 22y, 1985, 62.1%, 64b, IB Single Malt Scotch Whisky",unmatched,,,
"Adelphi Limited - Glen Grant 28y, 1992, 52.5%, 185b",unmatched,,,
"Adelphi Limited - Miltonduff 36y, 1981, 51.8%, 138b",unmatched,,,
"Adelphi Limited - Mortlach 25y, 1993, 56.1%, 385b",unmatched,,,
"Adelphi Limited - Mortlach 36y, 1986, 51.4%, 176b",unmatched,,,
"Adelphi Limited - Teaninich 34y, 1983, 44%, 190b",unmatched,,,
"Adelphi Selection - Ardmore 8y Refill Oloroso Butt, 2016, 59.7%, 632b",unmatched,,,
"Adelphi Selection - Arran 11y Refill Oloroso HHD Unpeated , 2014, 57.6%, 318b",unmatched,,,
"Adelphi Selection - Aultmore 18y, 2000, 55% , 480b",matched,w276,올트모어 18년,en
"Adelphi Selection - Ben Nevis 11y Refill Oloroso Butt 2013, 59.9%, 624b",unmatched,,,
"Adelphi Selection - Benrinnes 11y, 2011, 56.2%, 341b",unmatched,,,
"Adelphi Selection - Benrinnes 14y Refill Oloroso HHD 2011, 56.2%, 282b",unmatched,,,
"Adelphi Selection - Caol Ila 10y 2014, 55.4%, 310b",unmatched,,,
"Adelphi Selection - Chichibu 7y, 2013, 57.8%, 210b",unmatched,,,
"Adelphi Selection - Clynelish 9y, Refill Oloroso Butt, 2015-2024, 54.5%, 477b",unmatched,,,
"Adelphi Selection - Dailuaine 10y, 2015, 57.9%, 311b",unmatched,,,
"Adelphi Selection - Dailuaine 12y Refill Oloroso HHD 2013, 53.5%, 265b",unmatched,,,
"Adelphi Selection - Fascadale Batch 10 Highland Park 14y, 46%",unmatched,,,
"Adelphi Selection - Glen Garioch 13y 1st Fill ASB , 2011, 57%, 231b",unmatched,,,
"Adelphi Selection - Glen Garioch 9y, 2011, 58.5%, 462b",unmatched,,,
"Adelphi Selection - Glen Keith, 23y, 1995, 60.5%, 137b",unmatched,,,
"Adelphi Selection - Glenrothes 15y, 2007, 59.6%, 389b",unmatched,,,
"Adelphi Selection - Inchgower 14y, 2010, 57.7%, 542b",unmatched,,,
"Adelphi Selection - Linkwood 10y Refill Oloroso HHD 2015, 56.4%, 238b",unmatched,,,
"Adelphi Selection - Linkwood 11y, 2011, 59.1%, 255b",unmatched,,,
"Adelphi Selection - Linkwood 14y, 2008, 1st Fill Olo Sherry HHD, 50.9%, 267b",unmatched,,,
"Adelphi Selection - Lochranza, Isle of Arran 10y, 1st Fill Bourbon (Peated) 2014, 57.1%, 230b",unmatched,,,
"Adelphi Selection - Mortlach 17y, 2003, 56.6%, 228b",unmatched,,,
"Adelphi Selection - Teaninch 16y, Refill Oloroso Sherry Cask, 56.4%, 207b",unmatched,,,
"Adelphi Selection - The Sandebud Fusion (AD & High Coast) 6y, 58.9%, 1170b",unmatched,,,
"Adelphi's - Breath of Isles 14y, 2007, 58.3%, 1020b",unmatched,,,
"Adelphi's - Breath of Speyside 15y (Fully Matured in 1st Fill Oloroso Butt), 2009, 58.1%, 677b",unmatched,,,
"Adelphi's - Breath of Speyside 17y, 2004, 63.3%, 254b",unmatched,,,
"Adelphi's - Breath of the Highlands (Blair Athol) 1st Fill Sherry, 12y, 55.2%, 2293b",unmatched,,,
"Adelphi's - Breath of the Isles 16y, 2007, 57.4%, 280b",unmatched,,,
"Alba Collection - Big Barrel, with 2 wee GG, 350ml vol",unmatched,,,
"Alba Collection - Card insert tap, 2 shot, 350ml vol",unmatched,,,
"Alba Collection - Globe, mini, 200ml vol",unmatched,,,
"Alba Collection - Golf Club, 200ml vol",unmatched,,,
"Alba Collection - Golfer Man , 350ml vol",unmatched,,,
"Alba Collection - Mini Potstill, 200ml vol",unmatched,,,
"Alba Collection - Mini Potstill, with 2 wee GG, 200ml vol",unmatched,,,
"Alba Collection - Ship in a bottle, 2 shot, 350ml vol",unmatched,,,
"Ardbeg - 10y, 46%",unmatched,,,
"Ardbeg - 19y, 46.2%",unmatched,,,
"Ardbeg - 30y, ""Very Old"", 40% Abv, peated Islay single malt scotch whisky",unmatched,,,
"Ardbeg - An Oa, 46.6%",unmatched,,,
"Ardbeg - Anthology, 15y, V3, 46%",unmatched,,,
"Ardbeg - Corryvreckan, 57.1%",unmatched,,,
"Ardbeg - Spectacular, 46%",unmatched,,,
"Ardbeg - Uigeadail , 54.2%",unmatched,,,
"Ardbeg - Wee Beastie, 5y, 47.4%",unmatched,,,
"Ardnamurchan - AD/ Heritage Barley Release 2025, Golden Promise 6y, 59.2%, 70cl, 10000B",unmatched,,,
"Ardnamurchan - AD/ Madeira Release 2025, 6y, 52%",unmatched,,,
"Ardnamurchan - AD/ Mezcal Release 2025, 7y, 55%",unmatched,,,
"Ardnamurchan - AD/ Midgie Release 2025, 48%",unmatched,,,
"Ardnamurchan - AD/ Paul Launois Release 2023, 6y, 57.1%, 2676b",unmatched,,,
"Ardnamurchan - AD/ Paul Launois Release 2024, 7y, 57.3%, 3198B",unmatched,,,
"Ardnamurchan - AD/ Rum Cask Release 2023, 6y, 55%",unmatched,,,
"Ardnamurchan - AD/ Sauternes Release 2025 (Peated), 50%",unmatched,,,
"Ardnamurchan - AD/ Sherry Cask Release 2024, 5y, 50%, peated",unmatched,,,
"Ardnamurchan - AD/01.21:01 Release, 5y, 46.8%",unmatched,,,
"Ardnamurchan - AD/02.22 Cask Strength, 6y, 58.7%, 12886b",unmatched,,,
"Ardnamurchan - AD/04.21:03 Release, 5y, 46.8%",unmatched,,,
"Ardnamurchan - AD/07.21:05 Release, 5y, 46.8%",unmatched,,,
"Ardnamurchan - AD/09.22, 5y, Cask Strength, 58.4%",unmatched,,,
"Ardnamurchan - AD/10.21:06 Release, 5y, 46.8%",unmatched,,,
"Ardnamurchan - AD/10:22, 5y, Madeira Cask Release, 58.2%, 5781B",unmatched,,,
Ardnamurchan - AD/10y (10th Anniversary) 50%,unmatched,,,
Ardnamurchan - First AD Tasting Pack,unmatched,,,
BAZAAR 托本莫瑞 14年壓克力收藏版2008 (波本桶風格),unmatched,,,
BAZAAR 托本莫瑞 14年紙盒精裝版2008 (波本桶風格),unmatched,,,
