순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
1,따롱이훠궈 강남점,훠궈,중식,서울특별시 서초구 서초대로73길 9 2층,0507-1444-7850,215,3,콜키지무료,,86,4.5,23,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%94%B0%EB%A1%B1%EC%9D%B4%ED%9B%A0%EA%B6%88%20%EA%B0%95%EB%82%A8%EC%A0%90,m5wGN8SvjWvK,37.4983148,127.0252316,버번,블렌디드(하이볼),버번(특히 휘티드) 둥근 단맛이 캡사이신 완화; 고도수 니트보다 희석 권장.
2,다몽집 신논현본점,"고깃집, 안창",고기,서울특별시 강남구 강남대로100길 13 지하1층/2층 다몽집,0507-1468-4245,430,6,콜키지무료,,84,4.3,44,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8B%A4%EB%AA%BD%EC%A7%91%20%EC%8B%A0%EB%85%BC%ED%98%84%EB%B3%B8%EC%A0%90,3Et3gAnhaBGi,37.5017942,127.0271567,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
3,돝고기506,"삼겹살, 숙성돼지고기",고기,서울특별시 강남구 테헤란로 145 지하1층,02-6933-9501,745,11,콜키지프리,,80,4.3,39,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8F%9D%EA%B3%A0%EA%B8%B0506,S8xMj5biQtny,37.5006241,127.035366,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
4,혜장국,"육개장, 한우육개장",한식·기타,서울특별시 서초구 사평대로56길 4,02-595-3339,749,11,콜키지무료,,80,4.2,24,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%98%9C%EC%9E%A5%EA%B5%AD,PRVJNV5htrdy,37.5035124,127.0228489,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
5,창고43 강남점,"한우, 소고기",고기,서울특별시 강남구 강남대로 362 대륭강남타워 지하1층,0507-1469-0081,323,5,콜키지프리,,79,4.1,36,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B0%BD%EA%B3%A043%20%EA%B0%95%EB%82%A8%EC%A0%90,7uF25OGdXs9v,37.4953431,127.0292625,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
6,고기꾼 김춘배 강남점,"고기집, 갈비살",고기,"서울특별시 강남구 강남대로100길 13 3층, 4층",0507-1342-5659,435,6,콜키지프리,,79,4.3,17,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B3%A0%EA%B8%B0%EA%BE%BC%20%EA%B9%80%EC%B6%98%EB%B0%B0%20%EA%B0%95%EB%82%A8%EC%A0%90,y0qEzriB0rd5,37.5018446,127.0272056,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
7,도툼횟집,"생선회, 매운탕",물고기·해산물,서울특별시 강남구 강남대로84길 15 지하1층 105~108호,02-554-0443,221,3,콜키지프리,,78,4.4,12,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8F%84%ED%88%BC%ED%9A%9F%EC%A7%91,kycAbSVAkTyU,37.497127,127.0299094,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
8,고메램 강남점,양고기,고기,"서울특별시 서초구 강남대로 359 대우도씨에빛 2차 지하 1층,",0507-1330-7805,360,5,콜키지프리,,78,4.4,19,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B3%A0%EB%A9%94%EB%9E%A8%20%EA%B0%95%EB%82%A8%EC%A0%90,JsA8l9oj8KyF,37.4948012,127.0286234,피트(스모키),셰리,누린향·쯔란(커민)에 피트 훈연이 '훈제양고기'처럼 동조; 셰리는 풍미를 받쳐줌.
9,진구곱창,"곱창, 소곱창",고기,서울특별시 서초구 서초대로75길 37 1층 진구곱창,0507-1390-3309,394,6,콜키지무료,,77,4.3,20,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%A7%84%EA%B5%AC%EA%B3%B1%EC%B0%BD,mbE5FfTKtuEG,37.5007431,127.024877,버번,피트(스모키),버번 단맛+도수로 기름·잡내 정리; 피트는 숯불 불향과 훈연 동조.
10,청간옥,"평양냉면, 어복쟁반",한식·기타,서울특별시 서초구 서초대로78길 22 홍우빌딩 2층,0507-1334-7304,236,4,콜키지프리,,76,4.2,10,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B2%AD%EA%B0%84%EC%98%A5,zdWvT6ZZO0On,37.4958166,127.0275715,로우랜드(라이트),스페이사이드(과일몰트),슴슴한 메밀·맑은 육수의 섬세함을 라이트 몰트로 보존.
