순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
1,이여곰탕 마포점,"곰탕, 우거지",한식·기타,"서울특별시 마포구 마포대로 63-8 삼창프라자 지하1층 19, 20호",02-702-2508,332,5,콜키지프리,,78,4.8,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9D%B4%EC%97%AC%EA%B3%B0%ED%83%95%20%EB%A7%88%ED%8F%AC%EC%A0%90,bqeGIB7M8ybt,37.5422492,126.9477978,블렌디드(하이볼),버번,"진한 국물·마늘·기름엔 부드러운 블렌디드, 하이볼로 입가심."
2,복성각,"짜장면, 중식당",중식,"서울특별시 마포구 마포대로 63-8 삼창주택 지하 1층 복성각, 삼창 프라자 지하상가 - 복성각 -공덕역 1번 출구 뚜레주르 끼고 돌아서 오시면동서식품 뒷편 삼창프라자 지하상",02-703-3700,332,5,콜키지프리,,76,4.2,29,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B3%B5%EC%84%B1%EA%B0%81,8cQKdlf2jzAP,37.5422493,126.9477979,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
3,몽중헌 공덕점,"딤섬, 중식",중식,서울특별시 마포구 마포대로 92 효성 해링턴스퀘어 A동 2F,02-2197-1881,616,9,콜키지프리,,76,4.2,17,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AA%BD%EC%A4%91%ED%97%8C%20%EA%B3%B5%EB%8D%95%EC%A0%90,fszGpV5pKaYp,37.5428746,126.9515987,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
4,김숙성 마포역점,"삼겹살, 고기집",고기,서울특별시 마포구 도화길 14-1 1층 제1호,0507-1381-3759,180,3,콜키지프리,,74,4.7,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B9%80%EC%88%99%EC%84%B1%20%EB%A7%88%ED%8F%AC%EC%97%AD%EC%A0%90,TwWPryLzdFS6,37.5401141,126.9478713,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
5,스시소라 마포점,스시오마카세,일식,서울특별시 마포구 마포대로 68 마포아크로타워 지하1층,02-701-2200,329,5,콜키지프리,,74,4.2,19,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8A%A4%EC%8B%9C%EC%86%8C%EB%9D%BC%20%EB%A7%88%ED%8F%AC%EC%A0%90,ksRTVcPcikNk,37.5413405,126.94898,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
6,두껍삼,"삼겹살, 고기집",고기,서울특별시 마포구 독막로 331,02-588-3092,469,7,콜키지프리,,73,3.7,15,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%91%90%EA%BB%8D%EC%82%BC,FDfUdFDqHa3M,37.5428987,126.9493317,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
7,숙련도,"삼겹살, 목살",고기,서울특별시 마포구 도화길 49 숙련도,0507-1342-1103,511,8,콜키지프리,,73,4.5,9,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%88%99%EB%A0%A8%EB%8F%84,iEtd3hKLwthU,37.5419969,126.950898,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
8,월화식당,"흑돼지, 고기집",고기,"서울특별시 마포구 도화길 29 1, 2층",0507-1410-7596,317,5,콜키지프리,,71,3,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9B%94%ED%99%94%EC%8B%9D%EB%8B%B9,pwmSMpp54HWf,37.5408671,126.9491679,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
9,한양숙육 마포역본점,"보쌈, 수육",한식·기타,서울특별시 마포구 토정로35길 26 1층,0507-1347-0830,164,2,콜키지프리,,70,3.7,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%95%9C%EC%96%91%EC%88%99%EC%9C%A1%20%EB%A7%88%ED%8F%AC%EC%97%AD%EB%B3%B8%EC%A0%90,iA8rgQGbo3iU,37.5407692,126.944663,블렌디드(하이볼),버번,"진한 국물·마늘·기름엔 부드러운 블렌디드, 하이볼로 입가심."
10,청기와타운 마포점,돼지갈비,고기,서울특별시 마포구 토정로 296 1층,02-715-1474,353,5,콜키지프리,,69,4.4,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B2%AD%EA%B8%B0%EC%99%80%ED%83%80%EC%9A%B4%20%EB%A7%88%ED%8F%AC%EC%A0%90,0Jsc6kbjaOLC,37.5406904,126.9421107,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
11,궁전갈비,"한우, 소고기",고기,서울특별시 마포구 도화길 14-1 2층,0507-1473-3977,180,3,콜키지프리,,68,5,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B6%81%EC%A0%84%EA%B0%88%EB%B9%84,c9L8aEEe5cBI,37.5400854,126.9478734,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
12,불끈,장어구이,물고기·해산물,서울특별시 마포구 토정로35길 11 지1층 B01호,0507-1468-1998,198,3,콜키지무료,,66,3.7,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B6%88%EB%81%88,m9UYDLr0dQpu,37.5405085,126.9439265,피트(스모키),버번,"단짠 양념·기름을 피트의 후추·훈연이 대비로 끊고, 버번 단맛은 양념과 결이 맞음."
13,고도식 마포점,"알등심, 고기집",고기,서울특별시 마포구 마포대로1길 16,0507-1398-8684,242,4,콜키지프리,,66,4.1,10,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B3%A0%EB%8F%84%EC%8B%9D%20%EB%A7%88%ED%8F%AC%EC%A0%90,Wbee7WdbUUwr,37.5396681,126.9431616,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
14,소울한우,"소고기구이, 소고기",고기,서울특별시 마포구 삼개로 16 신관 1층,0507-1448-0255,138,2,콜키지프리,,65,4.4,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%86%8C%EC%9A%B8%ED%95%9C%EC%9A%B0,8Eo008692cE0,37.5393082,126.9473972,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
15,녹지 마포점,"양고기, 소고기",고기,서울특별시 마포구 토정로31길 24 근린생활시설2 제지층 제근생2-비109호,0507-1351-9863,182,3,콜키지프리,,64,5,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%85%B9%EC%A7%80%20%EB%A7%88%ED%8F%AC%EC%A0%90,vj0MhVKGvJyA,37.5409549,126.9446264,피트(스모키),셰리,누린향·쯔란(커민)에 피트 훈연이 '훈제양고기'처럼 동조; 셰리는 풍미를 받쳐줌.
