순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
1,고우가 여의도점,"한우오마카세, 코스요리",고기,서울특별시 영등포구 여의대로 24 FKI타워 B1,0507-1342-9554,378,6,콜키지프리,,82,4.5,23,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B3%A0%EC%9A%B0%EA%B0%80%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,PcBOzhUBUKXR,37.5221973,126.9199653,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
2,무탄 여의도점,"간짜장, 중식당",중식,"서울특별시 영등포구 의사당대로 96 2층 201, 202호",02-6264-7775,117,2,콜키지프리,,79,4.4,17,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AC%B4%ED%83%84%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,5tS4bhWoKyyQ,37.5215212,126.9228725,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
3,한암동 여의도점,"한우, 도미솥밥",고기,서울특별시 영등포구 국제금융로2길 32 4층 401호,0507-1360-8324,252,4,콜키지프리,,79,4.4,16,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%95%9C%EC%95%94%EB%8F%99%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,W0mbKdZ5Kknx,37.5238818,126.924138,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
4,모도우 여의도점,한우오마카세,고기,"서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 405, 406호",0507-1330-8324,252,4,콜키지프리,,78,4.4,13,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AA%A8%EB%8F%84%EC%9A%B0%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,ObohkFL8amJM,37.5238818,126.924138,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
5,도깨비굴,"와인바, 레스토랑",바·주류,서울특별시 영등포구 의사당대로 127 지하1층 C-001호,0507-1348-8090,248,4,콜키지프리,,75,4.1,12,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8F%84%EA%B9%A8%EB%B9%84%EA%B5%B4,fnznOJ2Zwtvz,37.5204236,126.9265677,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
6,창고43 본점,"한우, 소고기",고기,서울특별시 영등포구 국제금융로6길 33 여의도백화점 m1층,0507-1499-4557,262,4,콜키지프리,,75,4.3,22,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B0%BD%EA%B3%A043%20%EB%B3%B8%EC%A0%90,liXYLXsPvfLp,37.5207575,126.9269566,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
7,락희안 여의도점,중식,중식,서울 영등포구 여의대로 70 2층 208호,0507-1443-0878,358,5,콜키지프리,,74,4.9,4,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%9D%BD%ED%9D%AC%EC%95%88%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,rMcusEIDktwl,37.5248417,126.9241972,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
8,여의도삼계탕,삼계탕,한식·기타,서울특별시 영등포구 국제금융로2길 24 2층,0507-1444-2043,305,5,콜키지무료,,73,5,7,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%97%AC%EC%9D%98%EB%8F%84%EC%82%BC%EA%B3%84%ED%83%95,juLupIWBU1kP,37.5243159,126.9248449,블렌디드(하이볼),스페이사이드(과일몰트),분류 밖 범용; 가벼운 훈연·과일 밸런스의 블렌디드가 올라운더.
9,해봉정육 여의도점,"한우, 소고기",고기,서울특별시 영등포구 의사당대로 83 3층,0507-1406-9929,187,3,콜키지프리,,70,4.1,7,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%95%B4%EB%B4%89%EC%A0%95%EC%9C%A1%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,OhyNfk52oGhH,37.5232112,126.9235149,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
10,서평옥 여의도점,"소갈비찜, 육전냉면",고기,서울특별시 영등포구 의사당대로 83 B1 101호,02-780-7173,205,3,콜키지프리,,70,3.7,6,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%84%9C%ED%8F%89%EC%98%A5%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,3DxxBiW3Lt81,37.5233663,126.9234407,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
11,퀴진알,"파스타, 레스토랑",웨스턴(양식),서울특별시 영등포구 국제금융로6길 30 백상빌딩 202호,0507-1449-1525,214,3,콜키지프리,,70,3.6,6,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%80%B4%EC%A7%84%EC%95%8C,Hye2vTp7KAdV,37.5217254,126.9266154,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
12,오쓰세이로무시 여의도점,"일식당, 편백찜",일식,서울특별시 영등포구 국제금융로2길 36 유화증권빌딩 지하1층,0507-1412-2257,229,3,콜키지프리,,70,4.3,4,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%98%A4%EC%93%B0%EC%84%B8%EC%9D%B4%EB%A1%9C%EB%AC%B4%EC%8B%9C%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,MWUS8ccnIggS,37.5236576,126.9237921,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
13,고메램 여의도점,양고기,고기,서울특별시 영등포구 국제금융로8길 31 지하1층,010-4548-7805,393,6,콜키지프리,,69,4.5,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B3%A0%EB%A9%94%EB%9E%A8%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,qTbZbwaSIy3d,37.5198562,126.9280585,피트(스모키),셰리,누린향·쯔란(커민)에 피트 훈연이 '훈제양고기'처럼 동조; 셰리는 풍미를 받쳐줌.
14,우나기 욘다이메 키쿠가와 여의도점,"장어덮밥, 우나기",물고기·해산물,서울특별시 영등포구 의사당대로 96 TP타워 2층 205호,0507-1481-2206,117,2,콜키지무료,,68,4.2,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9A%B0%EB%82%98%EA%B8%B0%20%EC%9A%98%EB%8B%A4%EC%9D%B4%EB%A9%94%20%ED%82%A4%EC%BF%A0%EA%B0%80%EC%99%80%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,AjnmQ05cqrcf,37.5215212,126.9228725,피트(스모키),버번,"단짠 양념·기름을 피트의 후추·훈연이 대비로 끊고, 버번 단맛은 양념과 결이 맞음."
15,진가 여의도점,"국물닭갈비, 투움바",웨스턴(양식),서울특별시 영등포구 국제금융로6길 30 백상빌딩 1층 진가,02-780-2018,215,3,콜키지프리,,68,3.7,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%A7%84%EA%B0%80%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,pzOH5LeSZZKx,37.5217195,126.9266271,테네시,버번,"차콜필터 둥근 단맛·바닐라가 양념 닭구이와 매칭, 하이볼."
