순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
1,마노디셰프,"파스타, 피자",웨스턴(양식),서울특별시 중구 명동길 26 유네스코회관 11층,02-777-7047,356,5,콜키지프리,,83,4.4,15,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%A7%88%EB%85%B8%EB%94%94%EC%85%B0%ED%94%84,AyhzYS45Gbag,37.5634602,126.9837519,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
2,개화,"짜장면, 중국집",중식,서울특별시 중구 남대문로 52-5 대한문화예술공사,02-776-0508,414,6,콜키지프리,,80,3.9,27,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B0%9C%ED%99%94,reUE33WZY1CG,37.5621168,126.9818497,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
3,바리에가타 명동점,"파스타, 이탈리안레스토랑",웨스턴(양식),서울 중구 남대문로 55 B1층,02-3789-7375,494,7,콜키지프리,,77,4.6,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B0%94%EB%A6%AC%EC%97%90%EA%B0%80%ED%83%80%20%EB%AA%85%EB%8F%99%EC%A0%90,CsW26UNr010h,37.5624933,126.9810557,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
4,크리스탈제이드 소공점,"딤섬, 북경오리",중식,서울특별시 중구 남대문로7길 16 한국빌딩 B1,02-3789-8088,581,9,콜키지프리,,73,4,14,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%83%88%EC%A0%9C%EC%9D%B4%EB%93%9C%20%EC%86%8C%EA%B3%B5%EC%A0%90,zfMjrfJO3fb5,37.5642634,126.9811811,블렌디드(하이볼),스페이사이드(과일몰트),분류 밖 범용; 가벼운 훈연·과일 밸런스의 블렌디드가 올라운더.
5,사유의서재 남산,"와인바, 레스토랑",바·주류,서울특별시 중구 퇴계로20길 13,1877-0042,151,2,콜키지프리,,71,4.3,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%82%AC%EC%9C%A0%EC%9D%98%EC%84%9C%EC%9E%AC%20%EB%82%A8%EC%82%B0,0Z2qCImeWFTn,37.5596784,126.9858804,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
6,모와 MOWa,와인바,바·주류,서울특별시 중구 명동8나길 38 B1층,02-753-5008,325,5,콜키지프리,,67,5,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AA%A8%EC%99%80%20MOWa,C8wfX5qGySEP,37.5616253,126.982732,셰리,스페이사이드(과일몰트),"치즈·차콘 안주와 식후 한 잔, 셰리 단맛이 디저트처럼 마무리."
7,을지로술집,"횟집, 숙성회",물고기·해산물,서울특별시 중구 마른내로 18 저동빌딩 지층 을지로술집,02-2268-7741,508,8,콜키지프리,,67,4.5,6,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9D%84%EC%A7%80%EB%A1%9C%EC%88%A0%EC%A7%91,SUGoqghoZahs,37.564643,126.9897937,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
8,익선동목장 명동점,"삼겹살, 이베리코갈비살",고기,서울특별시 중구 명동4길 46 3층,0507-1486-4444,225,3,콜키지프리,,66,4,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9D%B5%EC%84%A0%EB%8F%99%EB%AA%A9%EC%9E%A5%20%EB%AA%85%EB%8F%99%EC%A0%90,fEfbqimEomjF,37.561731,126.9839541,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
9,지우갈비,"한우, 고기집",고기,서울특별시 중구 퇴계로18길 20,02-777-2171,140,2,콜키지프리,,64,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%A7%80%EC%9A%B0%EA%B0%88%EB%B9%84,LIZgwVGcG7UI,37.5600574,126.9852524,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
10,광화문특고기 정동집,"토마호크스테이크, 우대갈비",웨스턴(양식),서울특별시 중구 명동길 55 3층,0507-1381-9221,351,5,콜키지프리,,64,3.7,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B4%91%ED%99%94%EB%AC%B8%ED%8A%B9%EA%B3%A0%EA%B8%B0%20%EC%A0%95%EB%8F%99%EC%A7%91,twBQ95hAiAOo,37.5640734,126.9854872,셰리,버번,셰리 건과일·견과가 마이야르와 층; 버번 바닐라가 시즈닝과 정합.
11,코너스토어,"파스타, 브런치",웨스턴(양식),서울특별시 중구 퇴계로12길 42 1층,0507-1330-9262,574,9,콜키지무료,,64,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%BD%94%EB%84%88%EC%8A%A4%ED%86%A0%EC%96%B4,YYMCF7iCaAyd,37.5577592,126.9812471,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
