순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
1,다몽집 신논현본점,"고깃집, 안창",고기,서울특별시 강남구 강남대로100길 13 지하1층/2층 다몽집,0507-1468-4245,365,5,콜키지무료,,84,4.3,44,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8B%A4%EB%AA%BD%EC%A7%91%20%EC%8B%A0%EB%85%BC%ED%98%84%EB%B3%B8%EC%A0%90,3Et3gAnhaBGi,37.5017942,127.0271567,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
2,혜장국,"육개장, 한우육개장",한식·기타,서울특별시 서초구 사평대로56길 4,02-595-3339,238,4,콜키지무료,,80,4.2,24,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%98%9C%EC%9E%A5%EA%B5%AD,PRVJNV5htrdy,37.5035124,127.0228489,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
3,고기꾼 김춘배 강남점,"고기집, 갈비살",고기,"서울특별시 강남구 강남대로100길 13 3층, 4층",0507-1342-5659,363,5,콜키지프리,,79,4.3,17,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B3%A0%EA%B8%B0%EA%BE%BC%20%EA%B9%80%EC%B6%98%EB%B0%B0%20%EA%B0%95%EB%82%A8%EC%A0%90,y0qEzriB0rd5,37.5018446,127.0272056,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
4,녘,"퓨전, 뉴욕스타일레스토랑",웨스턴(양식),서울특별시 강남구 봉은사로4길 32 2층,0507-1317-6148,245,4,콜키지프리,,76,4.4,14,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%85%98,KLeUM2WJdKNP,37.5028034,127.0266171,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
5,별하곱창 논현본점,"곱창, 소곱창",고기,서울특별시 강남구 강남대로122길 10 지상1층,02-512-5488,336,5,콜키지무료,,76,4.5,13,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B3%84%ED%95%98%EA%B3%B1%EC%B0%BD%20%EB%85%BC%ED%98%84%EB%B3%B8%EC%A0%90,i0g0iMrlCO8E,37.5075613,127.0240512,버번,피트(스모키),버번 단맛+도수로 기름·잡내 정리; 피트는 숯불 불향과 훈연 동조.
6,흑우정 강남본점,"한우, 흑우",고기,서울특별시 서초구 강남대로69길 10 서호빌딩 지하1층,0507-1492-3517,343,5,콜키지프리,,75,4.5,6,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%9D%91%EC%9A%B0%EC%A0%95%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,PmRMpq50bBxD,37.5016628,127.0241931,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
7,바리에가타 신논현점,"파스타, 레스토랑",웨스턴(양식),"서울특별시 서초구 사평대로55길 37 1층, 2층",0507-1346-7375,299,4,콜키지프리,,74,3.7,11,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B0%94%EB%A6%AC%EC%97%90%EA%B0%80%ED%83%80%20%EC%8B%A0%EB%85%BC%ED%98%84%EC%A0%90,qtDVd2Goq2SI,37.5057197,127.0220185,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
8,더바른정육식당,"고깃집, 소고기",고기,서울특별시 강남구 강남대로 482 지상1층,0507-1402-7935,99,1,콜키지프리,,73,4.2,10,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8D%94%EB%B0%94%EB%A5%B8%EC%A0%95%EC%9C%A1%EC%8B%9D%EB%8B%B9,aNBYk94TA8e7,37.5053763,127.0244631,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
9,영동교집 강남직영점,"냉삼, 흑돼지",고기,서울특별시 서초구 강남대로 499 동일빌딩 2층 영동교집 강남직영점,0507-1410-5882,283,4,콜키지무료,,73,4.1,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%98%81%EB%8F%99%EA%B5%90%EC%A7%91%20%EA%B0%95%EB%82%A8%EC%A7%81%EC%98%81%EC%A0%90,Iu88fqWDZNAI,37.5066103,127.0230732,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
10,양미당 강남본점,"양갈비, 양고기",고기,서울특별시 강남구 봉은사로18길 88 103호,0507-1435-8050,466,7,콜키지프리,,73,3.8,9,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%96%91%EB%AF%B8%EB%8B%B9%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,kLjwNLsPL842,37.5010183,127.0277441,피트(스모키),셰리,누린향·쯔란(커민)에 피트 훈연이 '훈제양고기'처럼 동조; 셰리는 풍미를 받쳐줌.
