역,식당명,rid,카테고리,대분류,1인_아낌,1인_표준,1인_넉넉,confidence,lat,lng,메뉴수,근거,정규화내역
강남역,따롱이훠궈 강남점,m5wGN8SvjWvK,훠궈,중식,8900,11900,14400,보통,37.4983148,127.0252316,63,"인당 정규화(중식): 메인 26종 1인가 중앙값 11,900원 = 11,900원","한우목심 29,000원/인 | 궁중특선 (9가지) 23,900원/인 | 해물모듬 22,500원/인 | 부채살 16,500원/인 | 화산소고기 14,900원/인 | 양어깨살 14,900원/인 | 차돌박이 14,500원/인 | 일품우삼겹 13,900원/인 | 소고기 13,500원/인 | 순살소고기 13,500원/인 | 양고기 12,900원/인 | 우설 12,000원/인 | 날치알새우완자 11,900원/인 | 마라소고기 11,900원/인 | 삼겹살 11,000원/인 | 홍탕마라훠궈 1/3 (기본맛/매운맛) 9,900원/인"
강남역,다몽집 신논현본점,3Et3gAnhaBGi,"고깃집, 안창",고기,29000,30200,33900,보통,37.5017942,127.0271567,20,"인당 정규화(고기): 메인 8종 1인가 중앙값 20,100원 ×1.5인분 = 30,200원","안창갈비(200g) 29,000원(200g)→1인180g = 26,100/인 | 트러플 육회 (1++한우) 23,000원/인 | 깍뚝항정(160g) 20,000원(160g)→1인180g = 22,500/인 | 연목살(170g) 19,000원(170g)→1인180g = 20,100/인 | 삼겹살(170g) 19,000원(170g)→1인180g = 20,100/인 | 깍둑가브리(170g) 19,000원(170g)→1인180g = 20,100/인 | 통갈매기살(200g) 19,000원(200g)→1인180g = 17,100/인 | 돈비너스살(250g) 17,000원(250g)→1인180g = 12,200/인"
강남역,돝고기506,S8xMj5biQtny,"삼겹살, 숙성돼지고기",고기,34200,38000,52000,보통,37.5006241,127.035366,19,"인당 정규화(고기): 메인 10종 1인가 중앙값 25,300원 ×1.5인분 = 38,000원","숙성 한우 채끝등심 100g 37,000원(100g)→1인180g = 66,600/인 | 한우 차돌박이 120g 31,000원(120g)→1인180g = 46,500/인 | 한우 육회 170g 35,000원(170g)→1인180g = 37,100/인 | 양념 소갈비살 150g 23,000원(150g)→1인180g = 27,600/인 | D806 숙성 삼겹살 150g 23,000원(150g)→1인180g = 27,600/인 | 뼈삼겹살 23,000원/인 | A506 숙성 삼겹살 150g 19,000원(150g)→1인180g = 22,800/인 | i506 숙성 목살 150g 19,000원(150g)→1인180g = 22,800/인 | 항정살 19,000원/인 | 한우 육회비빔밥 17,000원/인"
강남역,혜장국,PRVJNV5htrdy,"육개장, 한우육개장",한식·기타,14500,30000,50000,보통,37.5035124,127.0228489,11,"인당 정규화(한식·기타): 메인 10종 1인가 중앙값 30,000원 = 30,000원","한우수육 대 65,000원/인 | 한우차돌박이 수육 60,000원/인 | 한우 전골 50,000원/인 | 한우수육 중 50,000원/인 | 한우 수육(소) 30,000원/인 | 한우 육회 30,000원/인 | 한우 차돌 혜장국 16,000원/인 | 한우 혜장국 특 14,000원/인 | 한우육회비빔밥 13,000원/인 | 한우 혜장국 12,000원/인"
강남역,창고43 강남점,7uF25OGdXs9v,"한우, 소고기",고기,32200,52500,110200,보통,37.4953431,127.0292625,25,"인당 정규화(고기): 메인 19종 1인가 중앙값 35,000원 ×1.5인분 = 52,500원","창고43 양념소갈비 세트(3.4kg) 250,000원/인 | 한우명작 모둠 199,000원/인 | 한우 명품 수제육포 1호 (50g) 130,000원/인 | 설화살치 75,000원/인 | 500시간 숙성 채끝 75,000원/인 | 새우살 72,000원/인 | 설화등심 68,000원/인 | 얼큰 갈비전골 65,000원/인 | 한우 불고기 전골 [중] 36,000원/인 | 육회 35,000원/인 | 한우 양념등심 정식[한정판매] 35,000원/인 | 매운소갈비찜 25,000원/인 | 창고진한왕갈비탕 23,000원/인 | 양념갈비 석박지볶음밥 22,000원/인 | 양념갈비덮밥 21,000원/인 | 한우얼큰해장국 21,000원/인"
강남역,고기꾼 김춘배 강남점,y0qEzriB0rd5,"고기집, 갈비살",고기,30600,37800,59400,보통,37.5018446,127.0272056,24,"인당 정규화(고기): 메인 9종 1인가 중앙값 25,200원 ×1.5인분 = 37,800원","한우 특상우설(120g) 34,000원(120g)→1인180g = 51,000/인 | Mb4 와규등심 150g 33,000원(150g)→1인180g = 39,600/인 | Prime 본갈비살 150g 33,000원(150g)→1인180g = 39,600/인 | Prime 토시살150g 29,000원(150g)→1인180g = 34,800/인 | 한우 꾸리살 육회 200g 28,000원(200g)→1인180g = 25,200/인 | 국내산生 갈매기살 150g 18,000원(150g)→1인180g = 21,600/인 | 국내산生 오겹살 150g 17,000원(150g)→1인180g = 20,400/인 | 국내산生목살 180g 17,000원(180g)→1인180g = 17,000/인 | 국내산生 돈갈비살 200g 17,000원(200g)→1인180g = 15,300/인"
강남역,도툼횟집,kycAbSVAkTyU,"생선회, 매운탕",물고기·해산물,17500,22000,27500,보통(인원표기 평균),37.497127,127.0299094,28,"인당(인원표기 평균, 물고기·해산물): 인원수 적힌 메뉴 9종 ÷인원 평균 = 22,000원","대도미 소(2인) 55,000원 ÷2인 = 27,500/인 | 모둠 소(2인) 50,000원 ÷2인 = 25,000/인 | 대도미 중(3인) 70,000원 ÷3인 = 23,300/인 | 대광어 소(2인) 45,000원 ÷2인 = 22,500/인 | 모둠 중(3인) 65,000원 ÷3인 = 21,700/인 | 대도미 대(4인) 85,000원 ÷4인 = 21,200/인 | 모둠 대(4인) 80,000원 ÷4인 = 20,000/인 | 대광어 중(3인) 58,000원 ÷3인 = 19,300/인 | 대광어 대(4인) 70,000원 ÷4인 = 17,500/인"
강남역,고메램 강남점,JsA8l9oj8KyF,양고기,고기,49500,53200,57400,보통,37.4948012,127.0286234,8,"인당 정규화(고기): 메인 4종 1인가 중앙값 35,500원 ×1.5인분 = 53,200원","생 와규살치 39,000원/인 | 모듬양갈비 38,000원/인 | 생양고기살치 33,000원/인 | 생양고기등심 33,000원/인"
강남역,진구곱창,mbE5FfTKtuEG,"곱창, 소곱창",고기,30400,34500,42800,보통,37.5007431,127.024877,12,"인당 정규화(고기): 메인 4종 1인가 중앙값 23,000원 ×1.5인분 = 34,500원","곱창전골 45,000원/인 | 한우곱창모둠 소금구이 23,000원/인 | 한우곱창모둠 양념구이 23,000원/인 | 뚝배기곱창전골 12,000원/인"
강남역,청간옥,zdWvT6ZZO0On,"평양냉면, 어복쟁반",한식·기타,17000,17000,17000,낮음(인원표기 적음),37.4958166,127.0275715,17,"인당(인원표기 평균, 한식·기타): 인원수 적힌 메뉴 1종 ÷인원 평균 = 17,000원","한우1++등심 불고기 (2인분이상) 34,000원 ÷2인 = 17,000/인"
강남역,김인복의 광평 강남직영점,PjUyLK3LDlMr,"평양냉면, 한우",한식·기타,33000,33000,68000,보통,37.4955321,127.0245822,16,"인당 정규화(한식·기타): 메인 13종 1인가 중앙값 33,000원 = 33,000원","한우 생갈비 1대 (생/양념) 130,000원/인 | 1++ 한우안창살 130g 96,000원/인 | 1++ 한우살치살 130g 91,000원/인 | 육회한우니 68,000원/인 | 한우육회 180g 42,000원/인 | 한우 숯불구이정식 39,000원/인 | 난축맛돈 구이 33,000원/인 | 양념돼지갈비 33,000원/인 | 난축맛돈 삼겹살 33,000원/인 | 난축맛돈 목살 33,000원/인 | 골동면과 돔베고기 27,000원/인 | 골동면 19,000원/인 | 한우곰탕 19,000원/인"
