순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
1,빠넬로,화덕피자,웨스턴(양식),서울특별시 마포구 어울마당로5길 29,010-3460-9899,465,7,콜키지무료,,81,4.6,20,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B9%A0%EB%84%AC%EB%A1%9C,JSpWFEZBrAsB,37.5494133,126.9190158,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
2,짚불돈,"삼겹살, 고기집",고기,서울특별시 마포구 양화로6길 76 1층,0507-1361-4531,413,6,콜키지프리,,78,4.7,10,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%A7%9A%EB%B6%88%EB%8F%88,4tPbVrNHU2AN,37.5484344,126.9182358,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
3,마담 풍천,"장어, 오마카세",물고기·해산물,서울특별시 마포구 독막로6길 8 1층 마담풍천,0507-1404-0237,383,6,콜키지프리,,77,4.7,7,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%A7%88%EB%8B%B4%20%ED%92%8D%EC%B2%9C,YowFb2ExbhbA,37.5476035,126.9174021,피트(스모키),버번,"단짠 양념·기름을 피트의 후추·훈연이 대비로 끊고, 버번 단맛은 양념과 결이 맞음."
4,우마담,한우오마카세,고기,서울특별시 마포구 독막로3길 30 2층 우마담,0507-1318-0518,317,5,콜키지프리,,76,4.6,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9A%B0%EB%A7%88%EB%8B%B4,YsOnwmG6yk7w,37.5496055,126.9173303,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
5,스케쥴 합정,"파스타, 김치볶음밥",웨스턴(양식),서울특별시 마포구 양화로6길 33 1층,02-322-2622,209,3,콜키지프리,,75,4.1,31,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8A%A4%EC%BC%80%EC%A5%B4%20%ED%95%A9%EC%A0%95,QZeYbJQDe8qu,37.5490726,126.9160549,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
6,카밀로 라자네리아 2호점,"뇨끼, 라자냐",웨스턴(양식),서울특별시 마포구 동교로12길 41-13 1층,0507-1347-8622,348,5,콜키지프리,,75,4.2,14,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B9%B4%EB%B0%80%EB%A1%9C%20%EB%9D%BC%EC%9E%90%EB%84%A4%EB%A6%AC%EC%95%84%202%ED%98%B8%EC%A0%90,NxEAOEM1QY24,37.5525785,126.913376,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
7,청돈옥,"삼겹살, 고기집",고기,서울특별시 마포구 잔다리로6길 10 1층 청돈옥,0507-1319-0460,589,9,콜키지프리,,74,3.5,11,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B2%AD%EB%8F%88%EC%98%A5,JIgB2Cn03zJ7,37.5519884,126.9196179,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
8,피그바,"고깃집, 목살",고기,서울특별시 마포구 독막로3길 28-7 1층,0507-1414-1178,332,5,콜키지무료,,73,4.8,7,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%94%BC%EA%B7%B8%EB%B0%94,y5yU9YEI3v9O,37.5495161,126.9174996,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
9,목벌,"한우, 고기집",고기,서울특별시 마포구 양화로6길 73 2층,0507-1387-8729,418,6,콜키지프리,,73,4.6,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AA%A9%EB%B2%8C,6i0c0qGc0f3e,37.5485949,126.9183503,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
10,국제양식,"양갈비, 양볶음밥",고기,서울특별시 마포구 양화로1길 38 대운행복아파트 1층 102호,0507-1319-4221,301,4,콜키지프리,,72,4.4,9,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B5%AD%EC%A0%9C%EC%96%91%EC%8B%9D,uCCF7hoPtEIf,37.5503681,126.9105244,피트(스모키),셰리,누린향·쯔란(커민)에 피트 훈연이 '훈제양고기'처럼 동조; 셰리는 풍미를 받쳐줌.
