company,ticker,fiscal_year_end,fiscal_year,maturing_inventory_value_million,currency,subcategory,subcategory_value_million,source_type,source_url,filing_date,collected_date,notes
Diageo PLC,DEO,2025-06-30,FY2025,8677,USD,Total maturing inventory,,SEC 20-F,https://www.sec.gov/Archives/edgar/data/835403/000083540325000021/deo-20250630.htm,2025-08-14,2026-06-10,FY2025 기준 (2025년 6월 결산)
Diageo PLC,DEO,2025-06-30,FY2025,7232,USD,Whisk(e)y,,SEC 20-F,https://www.sec.gov/Archives/edgar/data/835403/000083540325000021/deo-20250630.htm,2025-08-14,2026-06-10,위스키(e)y 부문만 분리; 스카치 포함
Diageo PLC,DEO,2025-06-30,FY2025,5659,USD,Scotch whisky (from whiskey total),,SEC 20-F,https://www.sec.gov/Archives/edgar/data/835403/000083540325000021/deo-20250630.htm,2025-08-14,2026-06-10,스카치 위스키만 분리
Diageo PLC,DEO,2025-06-30,FY2025,1445,USD,Other spirits,,SEC 20-F,https://www.sec.gov/Archives/edgar/data/835403/000083540325000021/deo-20250630.htm,2025-08-14,2026-06-10,럼·테킬라·바이주 등 기타
Diageo PLC,DEO,2024-06-30,FY2024,7800,USD,Total maturing inventory (approx),,SEC 20-F narrative,https://www.sec.gov/Archives/edgar/data/835403/000083540324000029/deo-20240630.htm,2024-08-01,2026-06-10,FY2024 기준; 파일링 본문 "$7.8 billion" 언급 (전년 대비 $0.5B 증가)
Diageo PLC,DEO,2024-06-30,FY2024,6290,USD,Whisk(e)y (prior year figure in FY2025 filing),,SEC 20-F,https://www.sec.gov/Archives/edgar/data/835403/000083540325000021/deo-20250630.htm,2025-08-14,2026-06-10,FY2024 위스키 재고; FY2025 파일링 비교 컬럼에서 추출
Diageo PLC,DEO,2024-06-30,FY2024,4862,USD,Scotch whisky (prior year in FY2025 filing),,SEC 20-F,https://www.sec.gov/Archives/edgar/data/835403/000083540325000021/deo-20250630.htm,2025-08-14,2026-06-10,FY2024 스카치 위스키; FY2025 파일링 비교 컬럼에서 추출
Diageo PLC,DEO,2024-06-30,FY2024,7832,USD,Total maturing inventory (prior year in FY2025 filing),,SEC 20-F,https://www.sec.gov/Archives/edgar/data/835403/000083540325000021/deo-20250630.htm,2025-08-14,2026-06-10,FY2024 총 재고; FY2025 파일링 비교 컬럼에서 추출
Diageo PLC,DEO,2023-06-30,FY2023,5794,GBP,Total maturing inventories,,SEC 6-K / Annual Report,https://www.sec.gov/Archives/edgar/data/0000835403/000083540323000014/diageoannualreport2023.pdf,2023-09-01,2026-06-10,FY2023 기준 (2023년 6월 결산); GBP £5,794M; 전년 대비 +£565M(+10.8%); 5년간 £4.0B→£5.8B 증가 서술
Diageo PLC,DEO,2022-06-30,FY2022,5229,GBP,Total maturing inventories,,SEC 20-F,https://www.sec.gov/Archives/edgar/data/0000835403/000083540322000008/deo-20220630.htm,2022-09-01,2026-06-10,FY2022 기준 (2022년 6월 결산); GBP £5,229M; 출처: Form 20-F Note on Inventories 테이블
Diageo PLC,DEO,2021-06-30,FY2021,4668,GBP,Total maturing inventories,,SEC 20-F,https://www.sec.gov/Archives/edgar/data/0000835403/000083540321000011/deo-20210630.htm,2021-09-01,2026-06-10,FY2021 기준 (2021년 6월 결산); GBP £4,668M; 출처: Form 20-F Inventories note (confirmed via SEC 6-K FY2022 비교컬럼)
Diageo PLC,DEO,2020-06-30,FY2020,4562,GBP,Total maturing inventories,,SEC 6-K preliminary results,https://www.sec.gov/Archives/edgar/data/0000835403/000165495420008341/a0018v.htm,2020-08-04,2026-06-10,FY2020 기준 (2020년 6월 결산); GBP £4,562M; 출처: Form 6-K preliminary results 2020-08-04; COVID 영향으로 전년 대비 소폭 상승
