위스키명,증류소,지역,도수,캐스크,맛_노트,스토리,출처,수집일
더 글렌그란트 21년 700ml,글렌그란트 (Glen Grant),스페이사이드,46%,엑스-올로로소 셰리 + 버번 배럴 매링 · 논칠필터 · 천연색,"잘 익은 복숭아·토피·건포도 향. 부드러운 입안에서 트로피컬 프루트와 크리미 버터, 카라멜라이즈드 크렘브륄레의 긴 피니시.",1840년 스페이사이드 로시스에 설립. 키 큰 슬림 증류기와 정류기(purifier)로 가볍고 깨끗한 꽃향 스피릿을 만드는 스페이사이드 대표 증류소. 마스터 디스틸러 데니스 말콤이 캐스크를 직접 선별해 소규모 배치로 매링한 코어레인지 21년 표현.,공식 theglengrant.com · Berry Bros & Rudd · Whisky Magazine (2026-06-07 리서치),2026-06-07
시그나토리 글렌그란트 1995 CS 30년 #88231 700ml,글렌그란트 (Glen Grant) · 독립병입 시그나토리 빈티지,스페이사이드,캐스크 스트렝스 (병 표기 기준 · 동 빈티지 자매캐스크 #88243 = 48.8%),싱글 버번 배럴 · 1995 증류 30년 숙성 · Symington's Choice 시리즈,잘 익은 배·바닐라·허니콤·시트러스 블라썸·은은한 오크 스파이스 향. 실키하고 균형 잡힌 몰트 단맛·바닐라·구운 사과·망고·플로럴이 정제된 버번 오크와 어우러짐.,시그나토리 빈티지는 에든버러/피틀로크리 기반 독립병입자로 캐스크 스트렝스 싱글캐스크로 유명. 1995년 증류한 글렌그란트를 단일 버번 배럴에서 30년 장기 숙성해 병입. (맛 노트는 동 빈티지 자매캐스크 #88243 기준),시그나토리 자매캐스크 #88243 The Whisky Barrel · CaskCartel (2026-06-07 리서치),2026-06-07
시그나토리 쿨일라 2007 캐스크 스트렝스 17년 #3 700ml,쿨일라 (Caol Ila) · 독립병입 시그나토리 빈티지,아일라 (Islay),캐스크 스트렝스 (병 표기 기준 · 동 시기 자매캐스크 #6 = 57.7%),2007 증류 17년 숙성 · 캐스크 스트렝스 (자매캐스크는 퍼스트필 올로로소 셰리),"쿨일라 본연의 해양적·라이트한 피트 스모크(레몬·브라인·메디시널)가 중심. 바비큐 훈연·말린 과일·트리클 토피 향, 풀바디 피트 스모크·향신료 자두·당밀·에스프레소, 길고 스모키한 피니시. (셰리 뉘앙스는 자매캐스크 #6 기준)","쿨일라는 아일라 북동부 바다를 면한 증류소로, 아일라 몰트 중 가장 해양적이고 라이트한 피트 스모크로 유명. 시그나토리가 2007년 증류분을 17년 캐스크 스트렝스로 병입한 싱글캐스크.",시그나토리 자매캐스크 #6 The Whisky Exchange · Royal Mile Whiskies (2026-06-07 리서치),2026-06-07
발베니 Balvenie 18년 Sherry Cask 700ml,발베니 (Balvenie),스페이사이드,43% (GTR PX 셰리 캐스크),엑스-버번 배럴 숙성 후 페드로 히메네스(PX) 셰리 캐스크 피니시 · GTR 면세 전용,건포도·말린 과일·오크·정향 향. 신 포도껍질·시트러스·무화과에 생기있는 오크와 오일리한 꿀 단맛. PX가 더한 다크프루트·꿀무화과·은은한 스파이스의 긴 피니시.,발베니는 더프타운에서 자체 플로어 몰팅·구리 세공·쿠퍼리지를 유지하는 '핸드메이드' 정신의 증류소. 18년 PX 셰리 캐스크는 글로벌 면세(GTR) 전용 라인업으로 코어 12·14·21년과 함께 면세 매대를 채운다.,공식 thebalvenie.com · World Duty Free · Secret Whiskey Society (2026-06-08 리서치),2026-06-08
더 패밀리 캐스크스 2008_S24 700ml,글렌파클라스 (Glenfarclas) · The Family Casks 싱글캐스크,스페이사이드,캐스크 스트렝스 (싱글캐스크 — 캐스크별 상이),2008 빈티지 싱글 셰리 캐스크 · S(여름) 릴리스 · 캐스크 스트렝스 · 논칠필터,글렌파클라스 특유의 진한 올로로소 셰리 — 건포도·무화과·다크초콜릿·크리스마스 케이크·가죽/스파이스. (싱글캐스크라 캐스크별 편차 있음 — 시리즈 기준),"글렌파클라스 'The Family Casks'는 2007년 시작된 빈티지별 싱글캐스크 시리즈로, 가족 경영(그랜트가) 증류소가 매년 빈티지를 캐스크 스트렝스로 병입한다. 2008 빈티지 여름 릴리스 단일 캐스크. (도수·풍미는 캐스크별 상이 — 시리즈/자매캐스크 기준)",Glenfarclas The Family Casks · Whisky Marketplace (2026-06-08 리서치),2026-06-08
더 패밀리 캐스크스 2007_S23 700ml,글렌파클라스 (Glenfarclas) · The Family Casks 싱글캐스크,스페이사이드,캐스크 스트렝스 (싱글캐스크 — 캐스크별 상이),2007 빈티지 싱글 셰리 캐스크 · S(여름) 릴리스 · 캐스크 스트렝스 · 논칠필터,글렌파클라스 특유의 진한 올로로소 셰리 — 건포도·무화과·다크초콜릿·크리스마스 케이크·가죽/스파이스. (싱글캐스크라 캐스크별 편차 있음 — 시리즈 기준),"글렌파클라스 'The Family Casks'는 2007년 시작된 빈티지별 싱글캐스크 시리즈로, 가족 경영(그랜트가) 증류소가 매년 빈티지를 캐스크 스트렝스로 병입한다. 2007 빈티지 여름 릴리스 단일 캐스크. (도수·풍미는 캐스크별 상이 — 시리즈/자매캐스크 기준)",Glenfarclas The Family Casks · Whisky Marketplace (2026-06-08 리서치),2026-06-08
발베니 Balvenie 15년 Madeira Cask 700ml,발베니 (Balvenie),스페이사이드,43%,엑스-버번 캐스크 숙성 후 마데이라 와인 캐스크 피니시 · GTR 면세 전용,"견과류·체리·레드커런트·라즈베리 등 베리 믹스 향. 다크프루트·블랙체리·시트러스·시나몬·토스티 오크·바닐라·헤이즐넛, 풍부하고 부드러운 피니시. 발베니다운 꿀·바닐라에 새콤달콤 과일이 더해짐.",발베니 15년 마데이라 캐스크는 12년 골든·18년 PX 셰리와 함께 글로벌 면세(GTR) 전용 라인. 포르투갈 마데이라 섬 와인 캐스크 피니시로 너티함과 베리 풍미를 입혔다.,The Whisky Edition · Secret Whiskey Society · whisky.com (2026-06-08 리서치),2026-06-08
발베니 Balvenie 19년 Week of Peat 700ml,발베니 (Balvenie),스페이사이드,48.3%,엑스-버번 캐스크 숙성 · 연 1주간 증류한 피티드 몰트 · Balvenie Stories 시리즈(#2),"몰티한 단맛에 토스티 오크와 풍부한 스모크, 바닐라 토피→시나몬 스파이스 향. 흙내음 스모크 속 시럽 단맛·신선한 시트러스·크리미 바닐라·꿀, 시나몬/생강 스파이스. 은은한 스모크의 길고 스파이시한 피니시.","발베니는 1년에 단 한 주만 피티드 몰트를 증류한다(증류소장 이안 밀러가 아일라 방문 후 도입). 'The Week of Peat'는 그 한 주를 담은 Balvenie Stories 에디션으로, 꿀·바닐라·시트러스에 가벼운 스모크가 더해진다.",공식 Balvenie Stories · Whiskybase · Scotch Hunter (2026-06-08 리서치),2026-06-08
글렌파클라스 25년 700ml,글렌파클라스 (Glenfarclas),스페이사이드,43%,올로로소 셰리 캐스크 장기 숙성 · 천연색,"진한 올로로소 셰리의 건포도·무화과·다크초콜릿·오렌지필·몰트 토피 향. 풀바디에 크리스마스 케이크·가죽·오크 스파이스, 길고 따뜻한 셰리 피니시.","글렌파클라스는 1836년 설립, 그랜트 가문이 6대째 독립 운영하는 스페이사이드의 대표 셰리 몰트 증류소. 25년은 장기 셰리 숙성 코어레인지로 가성비 셰리 위스키의 기준으로 꼽힌다.",공식 glenfarclas.com · Whisky Magazine (2026-06-08 리서치),2026-06-08
글렌피딕 22년 그랑 코르테스 700ml,글렌피딕 (Glenfiddich),스페이사이드,44.3%,여러 캐스크 매링 후 팔로 코르타도(Palo Cortado) 셰리 캐스크 피니시 · 면세 전용,"대추야자·다크초콜릿·건포도 향에서 스위트 오크·바닐라·마지팬, 시트러스·프루트케이크·은은한 시나몬의 피니시.",'Gran Cortes(XXII)'는 글렌피딕의 면세 전용 22년 표현으로 희귀한 팔로 코르타도 셰리 캐스크 피니시가 특징. 럼 캐스크 피니시인 21년 Gran Reserva와는 다른 제품(혼동 주의).,공식 glenfiddich.com · The Whisky Exchange (2026-06-08 리서치),2026-06-08
