위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷floor_KRW,데일리샷용량_ml,데일리샷_₩100ml,데일리샷셀러,데일리샷매칭명,보유DB_KRW,국내최저_KRW(min),국내최저출처,면세더쌈_병당,절감_병당_KRW,면세더쌈_100ml,절감_100ml_%,구매가능,상품URL
발렌타인 30년 RESTAGE 700ml,발렌타인,424.65,644301,700,92043,490000,700,70000,짚불도,발렌타인 30년,,490000,데일리샷,N,-154301,N,-31.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5086095
카발란 비노바리끄 솔리스트 1000ml,카발란,184.0,279175,1000,27918,298000,700,42571,코르크,카발란 솔리스트 비노 바리끄 싱글 캐스크 CS,,298000,데일리샷,Y,18825,Y,34.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5101582
조니워커 블루 750ml,조니워커,215.65,327196,750,43626,245000,750,32667,아이위스키,조니워커 블루 750ml,,245000,데일리샷,N,-82196,N,-33.5,Y,https://www.shilladfs.com/estore/kr/ko/p/287148
시그나토리 글렌그란트 1995 CS 30년 #88231 700ml,시그나토리 빈티지,448.0,679729,700,97104,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5958380
로얄살루트 32년,로얄살루트,424.65,644301,700,92043,650000,700,92857,가자주류 신촌점,로얄살루트 32년 프레셔스 주얼,,650000,데일리샷,Y,5699,Y,0.9,N,https://www.shilladfs.com/estore/kr/ko/p/5546709
발베니  Balvenie 40 Rare Marriages 700ml,발베니,5442.12,8257073,700,1179582,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5108433
발베니 Balvenie 18년 Sherry Cask 700ml,발베니,138.5,210140,700,30020,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5108210
로얄살루트 21년 700ml,로얄살루트,167.2,253685,700,36241,195000,700,27857,보틀즈 논현,로얄살루트 21년 블렌디드 그레인,179800,179800,보유DB,N,-58685,N,-30.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5081230
조니워커 블루 1000ml,조니워커,286.9,435300,1000,43530,245000,750,32667,아이위스키,조니워커 블루 750ml,,245000,데일리샷,N,-190300,N,-33.3,Y,https://www.shilladfs.com/estore/kr/ko/p/287145
발베니 25년 Rare Marrige 700ml ,발베니,598.8,908531,700,129790,1190000,700,170000,광명캐스크,발베니 25년 레어 메리지,,1190000,데일리샷,Y,281469,Y,23.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5188632
발렌타인 40년 700ml,발렌타인,9236.5,14014108,700,2002015,23900000,700,3414286,로랜드 주류상회,발렌타인 40년,,23900000,데일리샷,Y,9885892,Y,41.4,N,https://www.shilladfs.com/estore/kr/ko/p/5070260
메이커스마크 셀러에이지드 2025 700ml,메이커스마크,160.0,242760,700,34680,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5796325
카발란 포트 솔리스트 1000ml,카발란,174.4,264609,1000,26461,253000,700,36143,블루하우스,카발란 솔리스트 포트 CS,,253000,데일리샷,N,-11609,Y,26.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5101642
글렌피딕 22년 그랑 코르테스 700ml,글렌피딕,179.8,272802,700,38972,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5479260
카발란 이엑스버번 솔리스트 1000ml,카발란,123.2,186926,1000,18693,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5101822
발베니 Balvenie 15년 Madeira Cask 700ml,발베니,82.0,124415,700,17774,205000,700,29286,바틀앤코르크 서초교대점,발베니 15년 마데이라 캐스크,,205000,데일리샷,Y,80585,Y,39.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,207.7,315133,700,45019,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5818667
로얄브라클라 21년 700ml,로얄브라클라,160.08,242882,700,34697,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5472422
