신라명,면세_KRW,데일리샷_KRW,면세이점_%,판정,데일리샷명
짐빔 화이트 1000ml,17820,28900,38,면세유리,짐빔 화이트 1L
글렌피딕 21년 700ml,213840,262307,18,면세유리,글렌피딕 21년
몽키숄더 1000ml,45000,51900,13,면세유리,몽키숄더
조니워커 더블 블랙 1000ml,47235,53900,12,면세유리,조니워커 더블 블랙 700ml
글렌파클라스 15년 700ml,105300,113498,7,비슷,글렌파클라스 15년
더 글렌그란트 12년 1000ml,58500,59900,2,비슷,더 글렌그란트 12년
더 글렌리벳 12년 1000ml,60750,60900,0,비슷,더 글렌리벳 12년
글렌피딕 18년 Vat4 Perpetual 700ml,119625,119689,0,비슷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04
더 글렌그란트 15년 1000ml,92160,90003,-2,비슷,더 글렌그란트 15년 배치 스트렝스 1L
조니워커 18년 750ml,84000,82177,-2,비슷,조니워커 18년
아벨라워 아부나흐 700ml,120750,114262,-6,비슷,아벨라워 아부나흐
와일드 터키 레어브리드 1000ml,85050,75000,-13,데샷유리,와일드 터키 레어브리드
조니워커 블루 750ml,323475,259000,-25,데샷유리,조니워커 블루 750ml
시바스리갈 12년 1000ml,68400,51360,-33,데샷유리,시바스 리갈 12년 1L
로얄살루트 21년 700ml,250800,174871,-43,데샷유리,로얄살루트 21년 설 스페셜 에디션 2025
탈리스커 10년 1L ,121125,78000,-55,데샷유리,탈리스커 10년 750ml
발렌타인 10년 1000ml,62700,34000,-84,데샷유리,발렌타인 10년 700ml
듀어스 12년 1000ml,74100,38800,-91,데샷유리,듀어스 12년 700ml
라프로익 레거시 에디션 700ml,98550,,,면세전용(데샷없음),
에버펠디 16년 마데이라 700ml,178125,,,면세전용(데샷없음),
