위스키명,브랜드,면세_정상가_USD,면세_할인가_USD,면세_할인율_%,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷_KRW,데일리샷_USD,데일리샷용량_ml,데일리샷_₩100ml,데일리샷매칭명,면세vs데샷_병당_KRW,면세vs데샷_병당_USD,면세vs데샷_병당_%,면세vs데샷_100ml_%,면세가_더쌈,구매가능,상품URL
시바스리갈 XV 1000ml,시바스리갈,82.0,77.9,5.0,114305,1000,11430,550000,374.83,1000,55000,시바스 리갈 얼티스 1L,435695,296.93,79.2,79.2,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5076120
폴 존 피티드 1000ml,폴 존,100.0,42.0,58.0,61628,1000,6163,165000,112.45,700,23571,폴존 피티드 클래식 셀렉트 캐스크,103372,70.45,62.6,73.9,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5311922
탈리스커 다크 스톰 1000ml,탈리스커,127.0,57.15,55.0,83858,1000,8386,165000,112.45,700,23571,탈리스커 다크스톰,81142,55.3,49.2,64.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5070436
폴 존 클래식 1000ml,폴 존,95.0,39.9,58.0,58547,1000,5855,115000,78.37,700,16429,폴존 클래식 셀렉트 캐스크,56453,38.47,49.1,64.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5311851
Balblair 12 Years Old 1000ml,발블레어,80.0,40.0,50.0,58693,1000,5869,114300,77.9,700,16329,발블레어 12년,55607,37.9,48.7,64.1,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5865410
발베니 Balvenie 19년 Week of Peat 700ml,발베니,315.0,173.25,45.0,254216,700,36317,620000,422.53,700,88571,발베니 19년 위크 오브 피트,365784,249.28,59.0,59.0,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
글렌드로낙 16년 700ml,글렌드로낙,135.0,103.95,23.0,152529,700,21790,372000,253.52,700,53143,더 글렌드로낙 16년,219471,149.57,59.0,59.0,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
잭다니엘 블랙 맥라렌 에디션 1000ml,잭다니엘,42.0,20.58,51.0,30198,1000,3020,49800,33.94,700,7114,잭 다니엘스 맥라렌 에디션 2025,19602,13.36,39.4,57.6,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5334658
타운브랜치 켄터키 싱글 몰트 7년 750ml,타운브랜치,60.0,27.6,54.0,40498,750,5400,89000,60.65,700,12714,타운 브랜치 7년 켄터키 싱글몰트 위스키 700ml,48502,33.05,54.5,57.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5219708
카발란 솔리스트 마데이라 1000ml,카발란,234.0,187.2,20.0,274685,1000,27468,445000,303.27,700,63571,카발란 솔리스트 마데이라 캐스크 CS,170315,116.07,38.3,56.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5993335
제임슨 트리플 트리플 1000ml,제임슨,47.0,23.97,49.0,35172,1000,3517,75000,51.11,1000,7500,제임슨 트리플 트리플 1L,39828,27.14,53.1,53.1,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5661609
딘스톤 버진 오크 700ml,딘스톤,50.0,21.0,58.0,30814,700,4402,65000,44.3,700,9286,딘스톤 버진 오크,34186,23.3,52.6,52.6,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5228673
조니워커 XR 21년 750ml,조니워커,140.0,63.0,55.0,92442,750,12326,180000,122.67,700,25714,조니워커 XR 21년 말띠 에디션,87558,59.67,48.6,52.1,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
조니워커 18년 750ml,조니워커,112.0,56.0,50.0,82171,750,10956,148900,101.48,700,21271,[한정 수량 특가] 조니워커 18년,66729,45.48,44.8,48.5,Y,N,https://www.shilladfs.com/estore/kr/ko/p/3651371
와일드무어 30년 트로피칼 코스트 700ml,와일드무어,388.0,248.32,36.0,364368,700,52053,695000,473.65,700,99286,와일드무어 30년,330632,225.33,47.6,47.6,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5399822
발베니 Balvenie 15년 Madeira Cask 700ml,발베니,164.0,90.2,45.0,132354,700,18908,249000,169.7,700,35571,발베니 15년 마데이라 캐스크,116646,79.5,46.8,46.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
보모어 14년 700ml,보모어,68.0,37.4,45.0,54878,700,7840,102000,69.51,700,14571,보모어 14년 보르도 캐스크 피니시,47122,32.11,46.2,46.2,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5524536
와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,188.0,107.16,43.0,157240,700,22463,290000,197.64,700,41429,와일드무어 23년,132760,90.48,45.8,45.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
카미키 사쿠라 500ml,카미키,84.0,42.84,49.0,62861,500,12572,160000,109.04,700,22857,카미키 사쿠라,97139,66.2,60.7,45.0,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5696485
