구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내최저_USD,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,절감_병당_USD,구매가능,상품URL
①병당도쌈,카발란 솔리스트 마데이라 1000ml,카발란,187.2,274685,1000,27468,429000,292.37,700,61286,데일리샷,카발란 솔리스트 마데이라 캐스크 CS,55.2,154315,105.17,Y,https://www.shilladfs.com/estore/kr/ko/p/5993335
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,173.25,254216,700,36317,395000,269.2,700,56429,데일리샷,발베니 19년 위크 오브 피트,35.6,140784,95.95,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,219.24,321698,700,45957,430000,293.05,700,61429,데일리샷,글렌파클라스 25년,25.2,108302,73.81,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,조니워커 XR 21년 750ml,조니워커,63.0,92442,750,12326,180000,122.67,700,25714,데일리샷,조니워커 XR 21년 말띠 에디션,52.1,87558,59.67,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
①병당도쌈,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,90.2,132354,700,18908,205000,139.71,700,29286,데일리샷,발베니 15년 마데이라 캐스크,35.4,72646,49.51,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
①병당도쌈,글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,79.75,117020,700,16717,189000,128.81,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,38.1,71980,49.05,N,https://www.shilladfs.com/estore/kr/ko/p/5904120
①병당도쌈,글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,87.0,127658,700,18237,189000,128.81,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,32.5,61342,41.81,Y,https://www.shilladfs.com/estore/kr/ko/p/5105341
①병당도쌈,발베니 15년 마데이라 캐스크 빅토 응아이 에디션 700ml,발베니,103.32,151605,700,21658,205000,139.71,700,29286,데일리샷,발베니 15년 마데이라 캐스크,26.0,53395,36.39,Y,https://www.shilladfs.com/estore/kr/ko/p/5966607
①병당도쌈,로얄살루트 25년 700ml,로얄살루트,250.8,368007,700,52572,420000,286.23,700,60000,데일리샷,로얄살루트 25년,12.4,51993,35.43,Y,https://www.shilladfs.com/estore/kr/ko/p/4599460
①병당도쌈,발베니12년 골든캐스크 IGL 700ml,발베니,48.0,70432,700,10062,112000,76.33,700,16000,데일리샷,발베니 12년 골든 캐스크,37.1,41568,28.33,N,https://www.shilladfs.com/estore/kr/ko/p/5815472
①병당도쌈,발베니 12년 Golden Cask 700ml ,발베니,48.8,71606,700,10229,112000,76.33,700,16000,데일리샷,발베니 12년 골든 캐스크,36.1,40394,27.53,Y,https://www.shilladfs.com/estore/kr/ko/p/5516907
①병당도쌈,발베니 21년 포트우드 700ml,발베니,288.0,422592,700,60370,459000,312.81,700,65571,데일리샷,발베니 포트우드 21년,7.9,36408,24.81,Y,https://www.shilladfs.com/estore/kr/ko/p/5479261
①병당도쌈,글렌글라사 포트소이 700ml,GLENGLASSAUGH,39.27,57622,700,8232,89800,61.2,700,12829,보유DB,글렌글라사 포트소이,35.8,32178,21.93,Y,https://www.shilladfs.com/estore/kr/ko/p/5534639
①병당도쌈,아벨라워 아부나흐 700ml,발렌타인,80.5,118120,700,16874,148000,100.86,700,21143,보유DB,아벨라워 아부나흐,20.2,29880,20.36,Y,https://www.shilladfs.com/estore/kr/ko/p/5887242
①병당도쌈,에반 윌리엄스 싱글 배럴 750ml,신세계 L&B,29.28,42964,750,5729,69800,47.57,750,9307,보유DB,에반 윌리엄스 싱글배럴,38.4,26836,18.29,Y,https://www.shilladfs.com/estore/kr/ko/p/5290609
①병당도쌈,네이키드 몰트 1000ml,발베니,28.8,42259,1000,4226,67100,45.73,700,9586,보유DB,네이키드 몰트,55.9,24841,16.93,Y,https://www.shilladfs.com/estore/kr/ko/p/5957380
①병당도쌈,카발란 비노바리끄 솔리스트 1000ml,카발란,184.0,269990,1000,26999,293000,199.68,700,41857,데일리샷,카발란 솔리스트 비노 바리끄 싱글 캐스크 CS,35.5,23010,15.68,Y,https://www.shilladfs.com/estore/kr/ko/p/5101582
①병당도쌈,로얄살루트 21년 Peated Blend 700ml,로얄살루트,190.0,278794,700,39828,300000,204.45,700,42857,데일리샷,로얄살루트 21년 피티드 블렌드,7.1,21206,14.45,Y,https://www.shilladfs.com/estore/kr/ko/p/5081231
①병당도쌈,글렌파클라스 15년 700ml,글렌파클라스,67.5,99045,700,14149,119400,81.37,700,17057,보유DB,글렌파클라스 15년,17.0,20355,13.87,Y,https://www.shilladfs.com/estore/kr/ko/p/5226623
①병당도쌈,잭다니엘 블랙 맥라렌 에디션 1000ml,잭다니엘,20.58,30198,1000,3020,48000,32.71,700,6857,데일리샷,잭 다니엘스 맥라렌 에디션 2025,56.0,17802,12.13,Y,https://www.shilladfs.com/estore/kr/ko/p/5334658
①병당도쌈,발베니 12년 몬틸라 700ml,발베니,57.2,83932,700,11990,93000,63.38,700,13286,데일리샷,발베니 더블우드 12년,9.8,9068,6.18,N,https://www.shilladfs.com/estore/kr/ko/p/5798333
①병당도쌈,더 글렌그란트 12년 1000ml,더 글렌그란트,35.1,51503,1000,5150,54900,37.41,700,7843,보유DB,글렌그란트 12년,34.3,3397,2.32,Y,https://www.shilladfs.com/estore/kr/ko/p/5224926
①병당도쌈,와일드터키 101 1000ml,와일드터키,24.96,36625,1000,3662,39800,27.12,750,5307,데일리샷,와일드 터키 101 750ml,31.0,3175,2.16,Y,https://www.shilladfs.com/estore/kr/ko/p/5173368
①병당도쌈,짐빔 화이트 1000ml,짐빔,11.88,17432,1000,1743,19500,13.29,700,2786,보유DB,짐빔 화이트,37.4,2068,1.41,Y,https://www.shilladfs.com/estore/kr/ko/p/5070546
①병당도쌈,카발란 클래식 1000ml,카발란,87.2,127952,1000,12795,129000,87.91,700,18429,데일리샷,카발란 클래식 싱글몰트,30.6,1048,0.71,Y,https://www.shilladfs.com/estore/kr/ko/p/5101821
②용량당만쌈,더 글렌그란트 15년 1000ml,더 글렌그란트,61.44,90153,1000,9015,89400,60.93,700,12771,보유DB,글렌그란트 15년,29.4,-753,-0.51,N,https://www.shilladfs.com/estore/kr/ko/p/5173493
②용량당만쌈,카발란 포트 솔리스트 1000ml,카발란,174.4,255903,1000,25590,253000,172.42,700,36143,데일리샷,카발란 솔리스트 포트 CS,29.2,-2903,-1.98,Y,https://www.shilladfs.com/estore/kr/ko/p/5101642
②용량당만쌈,몽키숄더 1000ml,발베니,30.0,44020,1000,4402,42290,28.82,700,6041,보유DB,몽키숄더,27.1,-1730,-1.18,Y,https://www.shilladfs.com/estore/kr/ko/p/2011674
②용량당만쌈,조니워커 더블 블랙 1000ml,조니워커,32.16,47189,1000,4719,44000,29.99,700,6286,보유DB,조니워커 더블블랙,24.9,-3189,-2.17,Y,https://www.shilladfs.com/estore/kr/ko/p/3625938
②용량당만쌈,버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스,28.5,41819,1000,4182,38000,25.9,700,5429,보유DB,버팔로 트레이스,23.0,-3819,-2.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5310223
②용량당만쌈,잭다니엘 본디드 1000ml,잭다니엘,45.6,66910,1000,6691,59800,40.75,700,8543,데일리샷,잭 다니엘스 본디드,21.7,-7110,-4.85,Y,https://www.shilladfs.com/estore/kr/ko/p/5712650
②용량당만쌈,페이머스 그라우스 1000ml,발베니,15.75,23111,1000,2311,19800,13.49,700,2829,보유DB,페이머스 그라우스,18.3,-3311,-2.26,Y,https://www.shilladfs.com/estore/kr/ko/p/5957381
②용량당만쌈,우드포드 리저브 디스틸러 셀렉트 1000ml,우드포드 리저브,47.5,69698,1000,6970,58000,39.53,700,8286,보유DB,우드포드 리저브,15.9,-11698,-7.97,Y,https://www.shilladfs.com/estore/kr/ko/p/5070939
②용량당만쌈,조니워커 블랙 루비 1000ml,조니워커,31.95,46881,1000,4688,39000,26.58,700,5571,데일리샷,조니워커 블랙 700ml,15.9,-7881,-5.37,Y,https://www.shilladfs.com/estore/kr/ko/p/5624247
②용량당만쌈,와일드 터키 레어브리드 1000ml,와일드터키,56.7,83198,1000,8320,69000,47.02,700,9857,보유DB,와일드터키 레어브리드,15.6,-14198,-9.68,Y,https://www.shilladfs.com/estore/kr/ko/p/5331751
②용량당만쌈,글렌모렌지 12년 어코드 1000ml,글렌모렌지,57.75,84739,1000,8474,66000,44.98,700,9429,보유DB,글렌모렌지 12년,10.1,-18739,-12.77,N,https://www.shilladfs.com/estore/kr/ko/p/5868420
②용량당만쌈,잭다니엘 젠틀맨 잭 1000ml,잭다니엘,43.7,64123,1000,6412,49000,33.39,700,7000,데일리샷,잭 다니엘스 젠틀맨 잭,8.4,-15123,-10.31,Y,https://www.shilladfs.com/estore/kr/ko/p/5070934
