구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,구매가능,상품URL
①병당도쌈,조니워커 킹조지 5세 500ml,조니워커,286.0,411676,500,82335,899000,750,119867,데일리샷,조니워커 킹 조지 5세 750ml,31.3,487324,Y,https://www.shilladfs.com/estore/kr/ko/p/3334610
①병당도쌈,시바스리갈 XV 1000ml,시바스리갈,77.9,112131,1000,11213,550000,1000,55000,데일리샷,시바스 리갈 얼티스 1L,79.6,437869,Y,https://www.shilladfs.com/estore/kr/ko/p/5076120
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,173.25,249381,700,35626,620000,700,88571,데일리샷,발베니 19년 위크 오브 피트,59.8,370619,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,와일드무어 30년 트로피칼 코스트 700ml,와일드무어,248.32,357438,700,51063,720000,700,102857,데일리샷,와일드무어 30년,50.4,362562,Y,https://www.shilladfs.com/estore/kr/ko/p/5399822
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,219.24,315580,700,45083,557000,700,79571,데일리샷,글렌파클라스 25년,43.3,241420,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,글렌드로낙 16년 700ml,글렌드로낙,103.95,149628,700,21375,372000,700,53143,데일리샷,더 글렌드로낙 16년,59.8,222372,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
①병당도쌈,발베니 21년 포트우드 700ml,발베니,288.0,414555,700,59222,599000,700,85571,데일리샷,발베니 포트우드 21년,30.8,184445,Y,https://www.shilladfs.com/estore/kr/ko/p/5479261
①병당도쌈,카발란 솔리스트 마데이라 1000ml,카발란,187.2,269461,1000,26946,445000,700,63571,데일리샷,카발란 솔리스트 마데이라 캐스크 CS,57.6,175539,Y,https://www.shilladfs.com/estore/kr/ko/p/5993335
①병당도쌈,퍼컬렌 18년 700ml,퍼컬렌,109.9,158193,700,22599,328000,700,46857,데일리샷,퍼컬렌 18년 싱글몰트,51.8,169807,Y,https://www.shilladfs.com/estore/kr/ko/p/5304448
①병당도쌈,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,107.16,154249,700,22036,290000,700,41429,데일리샷,와일드무어 23년,46.8,135751,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
①병당도쌈,보모어 19년 700ml,보모어,112.2,161504,700,23072,295000,700,42143,데일리샷,보모어 19년 피노 누아 캐스크 피니시,45.3,133496,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
①병당도쌈,조니워커 XR 21년 750ml,조니워커,63.0,90684,750,12091,220000,700,31429,데일리샷,조니워커 XR 21년 말띠 에디션,61.5,129316,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
①병당도쌈,로얄살루트 21년 Peated Blend 700ml,로얄살루트,190.0,273491,700,39070,399000,700,57000,데일리샷,로얄살루트 21년 피티드 블렌드,31.5,125509,Y,https://www.shilladfs.com/estore/kr/ko/p/5081231
①병당도쌈,발렌타인 23년 AMERICAN OAK CASKS 700ml,발렌타인,199.5,287165,700,41024,409000,700,58429,데일리샷,발렌타인 23년,29.8,121835,Y,https://www.shilladfs.com/estore/kr/ko/p/4486823
①병당도쌈,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,90.2,129836,700,18548,249000,700,35571,데일리샷,발베니 15년 마데이라 캐스크,47.9,119164,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
①병당도쌈,주라 21년 타임 700ml,주라,163.5,235346,700,33621,354000,700,50571,데일리샷,주라 21년 Tide & Time,33.5,118654,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
①병당도쌈,로얄살루트 25년 700ml,로얄살루트,250.8,361008,700,51573,479000,700,68429,데일리샷,로얄살루트 25년,24.6,117992,Y,https://www.shilladfs.com/estore/kr/ko/p/4599460
①병당도쌈,카발란 포트 솔리스트 1000ml,카발란,174.4,251036,1000,25104,369000,700,52714,데일리샷,카발란 솔리스트 포트 CS,52.4,117964,Y,https://www.shilladfs.com/estore/kr/ko/p/5101642
①병당도쌈,글렌피딕 21년 700ml,글렌피딕,145.2,209005,700,29858,319000,700,45571,데일리샷,글렌피딕 21년 40%,34.5,109995,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
①병당도쌈,폴 존 피티드 1000ml,폴 존,42.0,60456,1000,6046,165000,700,23571,데일리샷,폴존 피티드 클래식 셀렉트 캐스크,74.4,104544,Y,https://www.shilladfs.com/estore/kr/ko/p/5311922
①병당도쌈,카발란 클래식 1000ml,카발란,87.2,125518,1000,12552,229000,700,32714,데일리샷,카발란 클래식 싱글몰트,61.6,103482,Y,https://www.shilladfs.com/estore/kr/ko/p/5101821
①병당도쌈,조니워커 18년 750ml,조니워커,56.0,80608,750,10748,184000,700,26286,데일리샷,[한정 수량 특가] 조니워커 18년,59.1,103392,N,https://www.shilladfs.com/estore/kr/ko/p/3651371
①병당도쌈,발베니 15년 마데이라 캐스크 빅토 응아이 에디션 700ml,발베니,103.32,148721,700,21246,249000,700,35571,데일리샷,발베니 15년 마데이라 캐스크,40.3,100279,Y,https://www.shilladfs.com/estore/kr/ko/p/5966607
①병당도쌈,카미키 사쿠라 500ml,카미키,42.84,61665,500,12333,160000,700,22857,데일리샷,카미키 사쿠라,46.0,98335,Y,https://www.shilladfs.com/estore/kr/ko/p/5696485
