canonical_id,위스키,신라상품명,면세_USD,면세용량_ml,면세_KRW,면세_₩100ml,국내용량_ml,국내최저_KRW,국내현재_KRW,국내_₩100ml,국내채널,매력도_%,면세할인율_%,상품URL
w011,아벨라워 아부나흐,아벨라워 아부나흐 700ml,80.5,700,121300,17329,700,235800,235800,33686,트레이더스,48.6,30.0,https://www.shilladfs.com/estore/kr/ko/p/5887242
w065,짐빔 화이트,짐빔 화이트 1000ml,11.88,1000,17901,1790,700,19800,30537,2829,데일리샷·롯데마트·이마트·코스트코·트레이더스,36.7,56.0,https://www.shilladfs.com/estore/kr/ko/p/5070546
w051,조니워커 더블블랙,조니워커 더블 블랙 1000ml,31.49,1000,47450,4745,700,50444,50444,7206,데일리샷·트레이더스,34.2,53.0,https://www.shilladfs.com/estore/kr/ko/p/3625938
w013,글렌그란트 12년,더 글렌그란트 12년 1000ml,39.0,1000,58766,5877,700,59400,70471,8486,데일리샷·롯데마트·트레이더스,30.7,50.0,https://www.shilladfs.com/estore/kr/ko/p/5224926
w001,글렌리벳 12년,더 글렌리벳 12년 1000ml,40.5,1000,61027,6103,700,60900,60900,8700,데일리샷·트레이더스,29.9,46.0,https://www.shilladfs.com/estore/kr/ko/p/5615979
w014,글렌그란트 15년,더 글렌그란트 15년 1000ml,61.44,1000,92580,9258,700,88661,88661,12666,데일리샷·롯데마트·트레이더스,26.9,52.0,https://www.shilladfs.com/estore/kr/ko/p/5173493
w041,몽키숄더,몽키숄더 1000ml,30.0,1000,45205,4520,700,42290,51900,6041,데일리샷·롯데마트·코스트코·트레이더스,25.2,40.0,https://www.shilladfs.com/estore/kr/ko/p/2011674
w048,시바스 리갈 12년,시바스리갈 12년 1000ml,45.6,1000,68711,6871,700,63900,63900,9129,코스트코,24.7,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070399
w054,페이머스 그라우스,페이머스 그라우스 1000ml,13.75,1000,20719,2072,700,18822,34980,2689,데일리샷·롯데마트·트레이더스,22.9,45.0,https://www.shilladfs.com/estore/kr/ko/p/5957381
w074,와일드터키 레어브리드,와일드 터키 레어브리드 1000ml,56.7,1000,85437,8544,700,75000,75000,10714,데일리샷·트레이더스,20.3,10.0,https://www.shilladfs.com/estore/kr/ko/p/5331751
