canonical_id,위스키,신라상품명,면세_USD,면세용량_ml,면세_KRW,면세_₩100ml,면세_USD_per100ml,국내용량_ml,국내최저_KRW,국내최저_USD,국내현재_KRW,국내현재_USD,국내_₩100ml,국내_USD_per100ml,절약_USD,국내채널,매력도_%,면세할인율_%,상품URL
w091,잭다니엘 허니,잭다니엘 허니 1000ml,18.9525,1000,27810,2781,1.9,700,49800,33.94,74000,50.43,7114,4.85,14.99,데일리샷·롯데마트·코스트코,60.9,5.0,https://www.shilladfs.com/estore/kr/ko/p/3299108
w121,네이키드 몰트,네이키드 몰트 1000ml,28.8,1000,42259,4226,2.88,700,67100,45.73,67100,45.73,9586,6.53,16.93,롯데마트,55.9,36.0,https://www.shilladfs.com/estore/kr/ko/p/5957380
w072,우드포드 리저브,우드포드 리저브 디스틸러 셀렉트 1000ml,26.6,1000,39031,3903,2.66,700,58000,39.53,58000,39.53,8286,5.65,12.93,데일리샷·롯데마트·코스트코,52.9,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070939
w069,버팔로 트레이스,버팔로 트레이스 버번 위스키 1000ml,18.81,1000,27601,2760,1.88,700,38000,25.9,38000,25.9,5429,3.7,7.09,데일리샷·롯데마트·마트·이마트·트레이더스,49.2,5.0,https://www.shilladfs.com/estore/kr/ko/p/5310223
w030,글렌글라사 포트소이,글렌글라사 포트소이 700ml,39.27,700,57622,8232,5.61,700,109800,74.83,109800,74.83,15686,10.69,35.56,트레이더스,47.5,49.0,https://www.shilladfs.com/estore/kr/ko/p/5534639
w074,와일드터키 레어브리드,와일드 터키 레어브리드 1000ml,36.855000000000004,1000,54079,5408,3.69,700,69000,47.02,69000,47.02,9857,6.72,10.17,데일리샷·트레이더스,45.1,10.0,https://www.shilladfs.com/estore/kr/ko/p/5331751
w057,듀어스 18년,듀어스 18년 1000ml,53.371,1000,78313,7831,5.34,700,99000,67.47,99000,67.47,14143,9.64,14.1,데일리샷·코스트코·트레이더스,44.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070787
w110,에반 윌리엄스 싱글배럴,에반 윌리엄스 싱글 배럴 750ml,29.28,750,42964,5729,3.9,700,69800,47.57,69800,47.57,9971,6.8,18.29,이마트,42.6,52.0,https://www.shilladfs.com/estore/kr/ko/p/5290609
w026,로얄 브라클라 12년,로얄브라클라 12년 1000ml,48.83950000000001,1000,71664,7166,4.88,700,87000,59.29,87000,59.29,12429,8.47,10.45,데일리샷·롯데마트·코스트코·트레이더스,42.3,5.0,https://www.shilladfs.com/estore/kr/ko/p/5472423
w065,짐빔 화이트,짐빔 화이트 1000ml,11.88,1000,17432,1743,1.19,700,19500,13.29,19500,13.29,2786,1.9,1.41,데일리샷·롯데마트·이마트·코스트코·트레이더스,37.4,56.0,https://www.shilladfs.com/estore/kr/ko/p/5070546
