순위,위스키명,브랜드,구매가능,재고,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,스타일분류,스타일근거,소분류,상품코드,SKU,상품URL
1,글렌파클라스 35년 700ml,글렌파클라스,Y,6,901.82,1346.0,33.0,55,0,100.0,36.0,47.1,66.5,"할인33%, 절감$444, 35년",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226627,265931000006,https://www.shilladfs.com/estore/kr/ko/p/5226627
2,발베니 Balvenie 18년 Sherry Cask 700ml,발베니,Y,6,144.04,277.0,48.0,5149,35,79.0,21.6,100.0,59.2,"할인48%, 절감$133, 18년, 판매多",A,키워드:sherry,1220:싱글몰트 위스키,5108210,112231000026,https://www.shilladfs.com/estore/kr/ko/p/5108210
3,글렌파클라스 25년 700ml,글렌파클라스,Y,6,223.02,378.0,41.0,429,0,80.5,30.0,70.9,58.8,"할인41%, 절감$155, 25년, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226626,265931000005,https://www.shilladfs.com/estore/kr/ko/p/5226626
4,폴 존 피엑스 쉐리 700ml,폴 존,Y,2,45.15,105.0,57.0,162,0,74.0,26.7,59.6,52.9,"할인57%, 절감$60, 재고2병, 판매多",A,키워드:쉐리,1220:싱글몰트 위스키,5312121,249031000025,https://www.shilladfs.com/estore/kr/ko/p/5312121
5,글렌파클라스 15년 700ml,글렌파클라스,Y,6,70.2,135.0,48.0,525,0,74.4,18.0,73.2,51.7,"할인48%, 절감$65, 15년, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226623,265931000004,https://www.shilladfs.com/estore/kr/ko/p/5226623
6,ABERLOUR 18년 700ml,발렌타인,Y,6,150.5,215.0,30.0,88,0,74.4,21.6,52.5,50.0,"할인30%, 절감$64, 18년",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5837406,046131000062,https://www.shilladfs.com/estore/kr/ko/p/5837406
7,TAMDHU 14yo Ambar Vintage 2009 700ml,탐두,Y,6,86.18,139.0,38.0,49,0,73.6,24.0,45.7,49.6,"할인38%, 절감$53, 한정/특별",A,셰리밤증류소:tamdhu,1220:싱글몰트 위스키,5865403,294531000006,https://www.shilladfs.com/estore/kr/ko/p/5865403
8,ABERLOUR 16년 700ml,발렌타인,Y,6,78.0,130.0,40.0,49,0,73.5,19.2,45.7,47.6,"할인40%, 절감$52, 16년",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5837405,046131000061,https://www.shilladfs.com/estore/kr/ko/p/5837405
9,부쉬밀 쉐리 캐스크 10년 1000ml,부쉬밀,Y,6,33.6,70.0,52.0,149,0,72.5,12.0,58.6,46.2,"할인52%, 절감$36, 10년, 판매多",A,키워드:쉐리,1220:싱글몰트 위스키,5200752,130531000019,https://www.shilladfs.com/estore/kr/ko/p/5200752
10,ABERLOUR 13년 700ml,발렌타인,Y,6,42.0,75.0,44.0,52,0,72.2,15.6,46.4,45.7,"할인44%, 절감$33, 13년",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5663013,046131000060,https://www.shilladfs.com/estore/kr/ko/p/5663013
11,더 패밀리 캐스크스 2007_S23 700ml,글렌파클라스,Y,6,237.6,396.0,40.0,102,0,80.7,0.0,54.2,44.4,"할인40%, 절감$158, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5548860,265931000010,https://www.shilladfs.com/estore/kr/ko/p/5548860
12,더 패밀리 캐스크스 2008_S24 700ml,글렌파클라스,Y,6,238.8,398.0,40.0,94,0,80.8,0.0,53.2,44.3,"할인40%, 절감$159",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5548854,265931000011,https://www.shilladfs.com/estore/kr/ko/p/5548854
