위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
발렌타인 30년 RESTAGE 700ml,발렌타인,312.96705,30.0,424.65,447.0,5.0,5119,49,9.30612245,6,Y,1211:블렌디드 위스키,5086095,046131000048,https://www.shilladfs.com/estore/kr/ko/p/5086095
로얄살루트 21년 빈티지 블렌디드 스카치 위스키 700ml,로얄살루트,147.73165,30.0,200.45,211.0,5.0,174,0,0.0,6,Y,1211:블렌디드 위스키,5563229,110231000035,https://www.shilladfs.com/estore/kr/ko/p/5563229
로얄살루트 찰스 3세 대관식 에디션 700ml,로얄살루트,17762.5,30.0,17762.5,25375.0,30.0,8,0,0.0,3,Y,1211:블렌디드 위스키,5948826,110231000030,https://www.shilladfs.com/estore/kr/ko/p/5948826
카발란 비노바리끄 솔리스트 1000ml,카발란,138.0,40.0,184.0,230.0,20.0,10357,52,9.69230769,6,Y,1220:싱글몰트 위스키,5101582,249031000005,https://www.shilladfs.com/estore/kr/ko/p/5101582
조니워커 블루 750ml,조니워커,146.642,35.0,215.65,227.0,5.0,7254,36,10.0,6,Y,1211:Blended Whisky,287148,046331000002,https://www.shilladfs.com/estore/kr/ko/p/287148
발베니 Balvenie 18년 Sherry Cask 700ml,발베니,145.3419,48.0,146.81,277.0,47.0,5364,35,9.65714286,6,Y,1220:싱글몰트 위스키,5108210,112231000026,https://www.shilladfs.com/estore/kr/ko/p/5108210
로얄살루트 21년 700ml,로얄살루트,123.22639999999998,30.0,167.2,176.0,5.0,4598,32,9.5,6,Y,1211:블렌디드 위스키,5081230,110231000020,https://www.shilladfs.com/estore/kr/ko/p/5081230
발렌타인 21년 RESTAGE 700ml,발렌타인,119.0255,30.0,161.5,170.0,5.0,2834,21,9.9047619,6,Y,1211:블렌디드 위스키,5068647,046131000043,https://www.shilladfs.com/estore/kr/ko/p/5068647
조니워커 블루 1000ml,조니워커,195.09199999999996,35.0,286.9,302.0,5.0,1892,8,8.75,6,Y,1211:블렌디드 위스키,287145,046331000001,https://www.shilladfs.com/estore/kr/ko/p/287145
메이커스마크 셀러에이지드 2025 700ml,메이커스마크,160.0,0.0,160.0,160.0,0.0,568,1,10.0,6,Y,1211:블렌디드 위스키,5796325,109831000036,https://www.shilladfs.com/estore/kr/ko/p/5796325
발베니  Balvenie 40 Rare Marriages 700ml,발베니,5442.12,46.0,5442.12,10078.0,46.0,144,0,0.0,0,N,1220:싱글몰트 위스키,5108433,112231000028,https://www.shilladfs.com/estore/kr/ko/p/5108433
카발란 이엑스버번 솔리스트 1000ml,카발란,92.4,40.0,123.2,154.0,20.0,2750,13,10.0,6,Y,1220:싱글몰트 위스키,5101822,249031000003,https://www.shilladfs.com/estore/kr/ko/p/5101822
글렌피딕 22년 그랑 코르테스 700ml,글렌피딕,182.9,41.0,182.9,310.0,41.0,3019,17,9.76470588,6,Y,1220:싱글몰트 위스키,5479260,082331000053,https://www.shilladfs.com/estore/kr/ko/p/5479260
카발란 포트 솔리스트 1000ml,카발란,130.8,40.0,174.4,218.0,20.0,3454,11,10.0,6,Y,1220:싱글몰트 위스키,5101642,249031000006,https://www.shilladfs.com/estore/kr/ko/p/5101642
발베니 Balvenie 15년 Madeira Cask 700ml,발베니,86.0508,48.0,86.92,164.0,47.0,4153,15,9.86666667,6,Y,1220:싱글몰트 위스키,5108416,112231000025,https://www.shilladfs.com/estore/kr/ko/p/5108416
보모어 22년 700ml,보모어,,,219.45,399.0,45.0,291,0,0.0,6,Y,1220:싱글몰트 위스키,5524534,114231000055,https://www.shilladfs.com/estore/kr/ko/p/5524534
옥토모어 14.3 700ml,브룩라디,,,230.0,230.0,0.0,490,1,10.0,6,Y,1220:싱글몰트 위스키,5900471,085131000113,https://www.shilladfs.com/estore/kr/ko/p/5900471
발베니 12년 Golden Cask 700ml ,발베니,44.8,44.0,44.8,80.0,44.0,4255,10,10.0,6,Y,1220:싱글몰트 위스키,5516907,112231000040,https://www.shilladfs.com/estore/kr/ko/p/5516907
글렌피딕 23년 Grand Cru 700ml,글렌피딕,194.15,45.0,194.15,353.0,45.0,1806,9,9.77777778,6,Y,1220:싱글몰트 위스키,4554223,082331000035,https://www.shilladfs.com/estore/kr/ko/p/4554223
글렌피딕 23년 그랑크뤼 슬림팩 700ml,글렌피딕,194.15,45.0,194.15,353.0,45.0,236,0,0.0,6,Y,1220:싱글몰트 위스키,5855038,082331000064,https://www.shilladfs.com/estore/kr/ko/p/5855038
벤로막 21년 700ml,와인나라,175.61700000000002,25.0,222.3,234.0,5.0,469,2,9.0,6,Y,1220:싱글몰트 위스키,5828356,274231000027,https://www.shilladfs.com/estore/kr/ko/p/5828356
