위스키명,브랜드,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
발렌타인 30년 RESTAGE 700ml,발렌타인,424.65,447.0,5.0,5035,48,9.29166667,6,Y,1211:블렌디드 위스키,5086095,046131000048,https://www.shilladfs.com/estore/kr/ko/p/5086095
카발란 비노바리끄 솔리스트 1000ml,카발란,184.0,230.0,20.0,10170,50,9.68,6,Y,1220:싱글몰트 위스키,5101582,249031000005,https://www.shilladfs.com/estore/kr/ko/p/5101582
조니워커 블루 750ml,조니워커,215.65,227.0,5.0,7175,35,10.0,6,Y,1211:Blended Whisky,287148,046331000002,https://www.shilladfs.com/estore/kr/ko/p/287148
발베니 Balvenie 18년 Sherry Cask 700ml,발베니,146.81,277.0,47.0,5229,35,9.65714286,6,Y,1220:싱글몰트 위스키,5108210,112231000026,https://www.shilladfs.com/estore/kr/ko/p/5108210
로얄살루트 32년 500ml,로얄살루트,424.65,447.0,5.0,694,0,0.0,0,N,1211:블렌디드 위스키,5546709,110231000041,https://www.shilladfs.com/estore/kr/ko/p/5546709
발베니  Balvenie 40 Rare Marriages 700ml,발베니,5442.12,10078.0,46.0,139,0,0.0,2,Y,1220:싱글몰트 위스키,5108433,112231000028,https://www.shilladfs.com/estore/kr/ko/p/5108433
시그나토리 글렌그란트 1995 CS 30년 #88231 700ml,시그나토리 빈티지,448.0,560.0,20.0,110,0,0.0,1,Y,1220:싱글몰트 위스키,5958380,288631000013,https://www.shilladfs.com/estore/kr/ko/p/5958380
로얄살루트 21년 700ml,로얄살루트,167.2,176.0,5.0,4553,31,9.48387097,6,Y,1211:블렌디드 위스키,5081230,110231000020,https://www.shilladfs.com/estore/kr/ko/p/5081230
메이커스마크 셀러에이지드 2025 700ml,메이커스마크,160.0,160.0,0.0,450,0,0.0,6,Y,1211:블렌디드 위스키,5796325,109831000036,https://www.shilladfs.com/estore/kr/ko/p/5796325
글렌피딕 22년 그랑 코르테스 700ml,글렌피딕,182.9,310.0,41.0,2948,17,9.76470588,6,Y,1220:싱글몰트 위스키,5479260,082331000053,https://www.shilladfs.com/estore/kr/ko/p/5479260
조니워커 블루 1000ml,조니워커,286.9,302.0,5.0,1854,8,8.75,6,Y,1211:블렌디드 위스키,287145,046331000001,https://www.shilladfs.com/estore/kr/ko/p/287145
카발란 포트 솔리스트 1000ml,카발란,174.4,218.0,20.0,3402,10,10.0,6,Y,1220:싱글몰트 위스키,5101642,249031000006,https://www.shilladfs.com/estore/kr/ko/p/5101642
발베니 Balvenie 15년 Madeira Cask 700ml,발베니,86.92,164.0,47.0,4078,15,9.86666667,6,Y,1220:싱글몰트 위스키,5108416,112231000025,https://www.shilladfs.com/estore/kr/ko/p/5108416
카발란 이엑스버번 솔리스트 1000ml,카발란,123.2,154.0,20.0,2679,13,10.0,6,Y,1220:싱글몰트 위스키,5101822,249031000003,https://www.shilladfs.com/estore/kr/ko/p/5101822
발렌타인 40년 700ml,발렌타인,9236.5,13195.0,30.0,8,0,0.0,0,N,1211:블렌디드 위스키,5070260,046131000023,https://www.shilladfs.com/estore/kr/ko/p/5070260
볼랭저 RD 2008 750ml,볼랭저,336.0,420.0,20.0,119,0,0.0,6,Y,1221:와인/샴페인,5804869,292831000005,https://www.shilladfs.com/estore/kr/ko/p/5804869
레어 2013 마제스틱 홀스 750ml,와인나라,152.1,234.0,35.0,530,4,10.0,6,Y,1221:와인/샴페인,5893753,115431000207,https://www.shilladfs.com/estore/kr/ko/p/5893753
조니워커 블루라벨 200ml,조니워커,60.8,64.0,5.0,342,0,0.0,6,Y,1211:블렌디드 위스키,5855845,046331000089,https://www.shilladfs.com/estore/kr/ko/p/5855845
로얄살루트 25년 700ml,로얄살루트,250.8,264.0,5.0,610,2,10.0,0,N,1211:블렌디드 위스키,4599460,110231000024,https://www.shilladfs.com/estore/kr/ko/p/4599460
시그나토리 로얄브라클라 2008 캐스크 스트렝스 16년 #2 700ml,시그나토리 빈티지,175.75,185.0,5.0,294,2,10.0,6,Y,1220:싱글몰트 위스키,5895330,288631000009,https://www.shilladfs.com/estore/kr/ko/p/5895330
발렌타인 21년 RESTAGE 700ml,발렌타인,161.5,170.0,5.0,2812,21,9.9047619,6,Y,1211:블렌디드 위스키,5068647,046131000043,https://www.shilladfs.com/estore/kr/ko/p/5068647
발베니 12년 Golden Cask 700ml ,발베니,44.8,80.0,44.0,4146,10,10.0,6,Y,1220:싱글몰트 위스키,5516907,112231000040,https://www.shilladfs.com/estore/kr/ko/p/5516907
글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,207.7,335.0,38.0,424,2,10.0,6,Y,1220:싱글몰트 위스키,5818667,265631000019,https://www.shilladfs.com/estore/kr/ko/p/5818667
레드브레스트 18년 700ml,제임슨,112.0,200.0,44.0,134,0,0.0,0,N,1211:블렌디드 위스키,5769824,110531000008,https://www.shilladfs.com/estore/kr/ko/p/5769824
수정방 750ml,수정방,171.0,180.0,5.0,1251,3,10.0,6,Y,1216:중국술,3631230,111331000001,https://www.shilladfs.com/estore/kr/ko/p/3631230
카발란 피노 솔리스트 1000ml,카발란,304.0,380.0,20.0,3185,11,9.81818182,6,Y,1220:싱글몰트 위스키,5101823,249031000008,https://www.shilladfs.com/estore/kr/ko/p/5101823
파 니엔테 샤도네이 2023 750ml,파 니엔테,109.25,115.0,5.0,2253,8,9.5,6,Y,1221:와인/샴페인,5478124,268331000037,https://www.shilladfs.com/estore/kr/ko/p/5478124
마오타이 귀주 마오타이 500ml,마오타이,232.5,465.0,50.0,1159,1,10.0,6,Y,1216:중국술,5070871,194431000001,https://www.shilladfs.com/estore/kr/ko/p/5070871
로얄브라클라 21년 700ml,로얄브라클라,160.08,348.0,54.0,1797,9,9.55555556,6,Y,1220:싱글몰트 위스키,5472422,113531000065,https://www.shilladfs.com/estore/kr/ko/p/5472422
케이머스 나파 밸리 카버네 소비뇽 2023 750ml,케이머스,109.25,115.0,5.0,377,0,0.0,6,Y,1221:와인/샴페인,5855099,268331000078,https://www.shilladfs.com/estore/kr/ko/p/5855099
양허 M6 플러스 500ml,양허,66.55,121.0,45.0,2045,13,10.0,6,Y,1216:중국술,5506527,067631000050,https://www.shilladfs.com/estore/kr/ko/p/5506527
우량예 52% 500ml,우량예,88.92,156.0,43.0,1246,6,9.66666667,6,Y,1216:중국술,5478338,067631000025,https://www.shilladfs.com/estore/kr/ko/p/5478338
티냐넬로 2022 750ml,와인나라,174.8,184.0,5.0,84,0,0.0,6,Y,1221:와인/샴페인,5949584,115431000209,https://www.shilladfs.com/estore/kr/ko/p/5949584
