위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
발렌타인 30년 RESTAGE 700ml,발렌타인,312.96705,30.0,424.65,447.0,5.0,5050,49,9.30612245,6,Y,1211:Blended Whisky,5086095,046131000048,https://www.shilladfs.com/estore/kr/ko/p/5086095
카발란 비노바리끄 솔리스트 1000ml,카발란,138.0,40.0,184.0,230.0,20.0,10205,51,9.68627451,6,Y,1220:싱글몰트 위스키,5101582,249031000005,https://www.shilladfs.com/estore/kr/ko/p/5101582
조니워커 블루 750ml,조니워커,146.642,35.0,215.65,227.0,5.0,7204,35,10.0,6,Y,1211:블렌디드 위스키,287148,046331000002,https://www.shilladfs.com/estore/kr/ko/p/287148
발베니 Balvenie 18년 Sherry Cask 700ml,발베니,145.3419,48.0,146.81,277.0,47.0,5261,35,9.65714286,6,Y,1220:싱글몰트 위스키,5108210,112231000026,https://www.shilladfs.com/estore/kr/ko/p/5108210
발베니  Balvenie 40 Rare Marriages 700ml,발베니,5442.12,46.0,5442.12,10078.0,46.0,142,0,0.0,1,Y,1220:싱글몰트 위스키,5108433,112231000028,https://www.shilladfs.com/estore/kr/ko/p/5108433
레어 2013 마제스틱 홀스 750ml,와인나라,152.1,35.0,152.1,234.0,35.0,543,4,10.0,6,Y,1221:와인/샴페인,5893753,115431000207,https://www.shilladfs.com/estore/kr/ko/p/5893753
글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,207.7,38.0,207.7,335.0,38.0,496,2,10.0,6,Y,1220:싱글몰트 위스키,5818667,265631000019,https://www.shilladfs.com/estore/kr/ko/p/5818667
조니워커 블루 1000ml,조니워커,195.09199999999996,35.0,286.9,302.0,5.0,1862,8,8.75,6,Y,1211:블렌디드 위스키,287145,046331000001,https://www.shilladfs.com/estore/kr/ko/p/287145
로얄살루트 21년 700ml,로얄살루트,123.22639999999998,30.0,167.2,176.0,5.0,4564,31,9.48387097,6,Y,1211:블렌디드 위스키,5081230,110231000020,https://www.shilladfs.com/estore/kr/ko/p/5081230
카발란 이엑스버번 솔리스트 1000ml,카발란,92.4,40.0,123.2,154.0,20.0,2697,13,10.0,6,Y,1220:싱글몰트 위스키,5101822,249031000003,https://www.shilladfs.com/estore/kr/ko/p/5101822
글렌피딕 23년 Grand Cru 700ml,글렌피딕,194.15,45.0,194.15,353.0,45.0,1745,9,9.77777778,6,Y,1220:싱글몰트 위스키,4554223,082331000035,https://www.shilladfs.com/estore/kr/ko/p/4554223
시그나토리 로얄브라클라 2008 캐스크 스트렝스 16년 #2 700ml,시그나토리 빈티지,130.055,30.0,175.75,185.0,5.0,315,2,10.0,6,Y,1220:싱글몰트 위스키,5895330,288631000009,https://www.shilladfs.com/estore/kr/ko/p/5895330
마오타이 귀주 마오타이 500ml,마오타이,232.5,50.0,232.5,465.0,50.0,1168,1,10.0,6,Y,1216:중국술,5070871,194431000001,https://www.shilladfs.com/estore/kr/ko/p/5070871
메이커스마크 셀러에이지드 2025 700ml,메이커스마크,160.0,0.0,160.0,160.0,0.0,482,0,0.0,6,Y,1211:블렌디드 위스키,5796325,109831000036,https://www.shilladfs.com/estore/kr/ko/p/5796325
카발란 포트 솔리스트 1000ml,카발란,130.8,40.0,174.4,218.0,20.0,3412,10,10.0,6,Y,1220:싱글몰트 위스키,5101642,249031000006,https://www.shilladfs.com/estore/kr/ko/p/5101642
글렌피딕 22년 그랑 코르테스 700ml,글렌피딕,182.9,41.0,182.9,310.0,41.0,2979,17,9.76470588,6,Y,1220:싱글몰트 위스키,5479260,082331000053,https://www.shilladfs.com/estore/kr/ko/p/5479260
볼랭저 RD 2008 750ml,볼랭저,336.0,20.0,336.0,420.0,20.0,128,0,0.0,6,Y,1221:와인/샴페인,5804869,292831000005,https://www.shilladfs.com/estore/kr/ko/p/5804869
발렌타인 40년 700ml,발렌타인,9236.5,30.0,9236.5,13195.0,30.0,10,0,0.0,0,N,1211:블렌디드 위스키,5070260,046131000023,https://www.shilladfs.com/estore/kr/ko/p/5070260
글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,285.2,38.0,285.2,460.0,38.0,430,1,8.0,6,Y,1220:싱글몰트 위스키,5818666,265631000020,https://www.shilladfs.com/estore/kr/ko/p/5818666
발베니 Balvenie 15년 Madeira Cask 700ml,발베니,86.0508,48.0,86.92,164.0,47.0,4101,15,9.86666667,6,Y,1220:싱글몰트 위스키,5108416,112231000025,https://www.shilladfs.com/estore/kr/ko/p/5108416
