순위,위스키명,브랜드,구매가능,가용사유,재고,라이브할인가,정상가,라이브할인율,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,피트분류,소분류,상품코드,SKU,상품URL
1,보모어 16년 700ml,보모어,Y,,6,77.0,110.0,30.0,374,1,70.5,19.2,83.2,51.9,"할인30%, 절감$33, 16년, 판매多",A,1220:싱글몰트 위스키,5524532,114231000053,https://www.shilladfs.com/estore/kr/ko/p/5524532
2,암룻 PEATED CASK STRENGTH 700ml,암룻,Y,,6,54.72,114.0,52.0,88,0,71.0,24.0,63.0,51.0,"할인52%, 절감$59, 한정/특별",A,1220:싱글몰트 위스키,5337845,275031000005,https://www.shilladfs.com/estore/kr/ko/p/5337845
3,시크릿 스페이사이드 Caperdonich 18년 Peated 700ml,글렌리벳,Y,,6,63.7,130.0,51.0,128,0,71.1,21.6,68.2,50.9,"할인51%, 절감$66, 18년, 판매多",A,1220:싱글몰트 위스키,5065829,110431000020,https://www.shilladfs.com/estore/kr/ko/p/5065829
4,보모어 14년 700ml,보모어,Y,,6,47.6,68.0,30.0,144,0,70.3,16.8,69.9,48.9,"할인30%, 절감$20, 14년, 판매多",A,1220:싱글몰트 위스키,5524536,114231000052,https://www.shilladfs.com/estore/kr/ko/p/5524536
5,라프로익 12년 700ml,라프로익,Y,,6,42.0,70.0,40.0,34,0,70.5,14.4,49.9,45.0,"할인40%, 절감$28, 12년",A,1220:싱글몰트 위스키,5917035,114131000053,https://www.shilladfs.com/estore/kr/ko/p/5917035
6,라프로익 레거시 에디션 700ml,라프로익,Y,,6,65.7,146.0,55.0,309,1,71.3,0.0,80.6,44.2,"할인55%, 절감$80, 판매多",A,1220:싱글몰트 위스키,3612827,114131000014,https://www.shilladfs.com/estore/kr/ko/p/3612827
7,보모어 11년 700ml,보모어,Y,,6,38.5,55.0,30.0,12,0,70.3,13.2,36.0,42.3,"할인30%, 절감$16, 11년",A,1220:싱글몰트 위스키,5833044,114231000059,https://www.shilladfs.com/estore/kr/ko/p/5833044
8,폴 존 피티드 1000ml,폴 존,Y,,6,43.0,100.0,57.0,64,0,70.9,0.0,58.6,40.7,"할인57%, 절감$57",A,1220:싱글몰트 위스키,5311922,249031000023,https://www.shilladfs.com/estore/kr/ko/p/5311922
9,히노토리 골드오락(그랜다이저) 피트 위스키 700ml,히노토리,Y,,6,47.25,105.0,55.0,51,0,71.0,0.0,55.5,40.3,"할인55%, 절감$58",A,1211:블렌디드 위스키,5392882,273831000001,https://www.shilladfs.com/estore/kr/ko/p/5392882
10,컴파스 박스 Peat Monster 700ml,컴파스 박스,Y,,6,33.88,77.0,56.0,37,0,70.7,0.0,51.1,39.5,"할인56%, 절감$43",A,1211:블렌디드 위스키,5229030,263731000002,https://www.shilladfs.com/estore/kr/ko/p/5229030
11,밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,Y,,6,40.95,105.0,61.0,20,0,71.1,0.0,42.7,38.4,"할인61%, 절감$64",A,1220:싱글몰트 위스키,5248992,266731000003,https://www.shilladfs.com/estore/kr/ko/p/5248992
12,엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,Y,,6,46.87,109.0,57.0,17,0,71.0,0.0,40.6,38.1,"할인57%, 절감$62",A,1211:블렌디드 위스키,5372478,276331000002,https://www.shilladfs.com/estore/kr/ko/p/5372478
