위스키명,브랜드,구매가능,신라면세가_USD,신라700ml환산_USD,HK_USD,JP_USD,TW_USD,해외최저_USD,해외중앙_USD,해외최고_USD,매칭지역수,신뢰도,가격매력도_vs최저_%,가격매력도_vs중앙_%,종합매력도,라이브할인율,비고,상품URL
보모어 30년 700ml,보모어,Y,1495.2,1495.2,2388.8,,,2388.8,2388.8,2388.8,1,MED(고숙성·에디션편차),37.4,37.4,76.9,52.0,동일숙성 매칭 2건/1개지역,https://www.shilladfs.com/estore/kr/ko/p/5298204
탈리스커 10년 1L ,탈리스커,Y,80.8,56.5,71.5,36.9,31.8,31.8,36.9,71.5,3,HIGH,-77.8,-53.2,22.3,5.0,동일숙성 매칭 6건/3개지역,https://www.shilladfs.com/estore/kr/ko/p/5604485
쿨일라 12년 750ml,쿨일라,Y,97.8,91.3,62.5,43.9,43.0,43.0,43.9,62.5,3,HIGH,-112.4,-108.0,21.0,5.0,동일숙성 매칭 4건/3개지역,https://www.shilladfs.com/estore/kr/ko/p/5082284
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,Y,2090.0,2090.0,,,,,,,0,,,,84.0,45.0,코어 증류소·동일숙성 해외 매칭 0건,https://www.shilladfs.com/estore/kr/ko/p/5489103
보모어 타임리스 33년 700ml,보모어,Y,1484.0,1484.0,,,,,,,0,,,,82.9,47.0,코어 증류소·동일숙성 해외 매칭 0건,https://www.shilladfs.com/estore/kr/ko/p/5265734
보모어 36년 FQ 2023 700ml,보모어,Y,2200.0,2200.0,,,,,,,0,,,,76.5,45.0,코어 증류소·동일숙성 해외 매칭 0건,https://www.shilladfs.com/estore/kr/ko/p/5221776
로얄살루트 62년 건 살루트 컬렉션 더 피티드 리저브 700ml,로얄살루트,Y,2340.8,2340.8,,,,,,,0,,,,71.5,30.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5739770
보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,Y,295.8,295.8,,,,,,,0,,,,67.9,42.0,코어 증류소·동일숙성 해외 매칭 0건,https://www.shilladfs.com/estore/kr/ko/p/5489102
시그나토리 쿨일라 2007 캐스크 스트렝스 17년 #3 700ml,시그나토리 빈티지,Y,224.0,224.0,,,,,,,0,,,,59.0,30.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5895329
발베니 Balvenie 19년 Week of Peat 700ml,발베니,Y,166.9,166.9,,,,,,,0,,,,56.6,47.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5108417
