예산대,순위,위스키명,브랜드,면세가_KRW,할인율_%,종합점수,평점,리뷰수,국내구매처,국내최저_KRW,국내현재_KRW,면세vs국내_%,상품URL
10만원 이하,1,라프로익 레거시 에디션 700ml,라프로익,94170,57.0,84.4,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/3612827
10만원 이하,2,발베니 12년 Golden Cask 700ml ,발베니,67200,44.0,83.9,10.0,10,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5516907
10만원 이하,3,글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,77220,48.0,81.4,9.3,6,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5105342
10만원 이하,4,탈리스커 써지 700ml,탈리스커,77490,58.0,79.1,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5185537
10만원 이하,5,발베니 Stories Creation Classic 700ml,발베니,89385,41.0,78.7,10.0,3,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108415
10만원 이하,6,탈리스커 다크 스톰 1000ml,탈리스커,85725,55.0,78.6,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5070436
10만원 이하,7,글렌피딕 Vat 1 Perpetual Collection 1000ml,글렌피딕,54990,53.0,74.8,9.0,4,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5105343
10만원 이하,8,발베니 11년 헝가리안 캐스크 700ml,발베니,95700,42.0,74.3,9.3,3,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5526820
10–20만원,1,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,130380,47.0,86.6,9.9,15,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108416
10–20만원,2,글렌알라키 15년 (24RB) 700ml,글렌알라키,121680,52.0,85.1,9.7,6,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5463432
10–20만원,3,글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,113100,48.0,83.9,9.2,13,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5105341
10–20만원,4,카이요 Japanese Mizunara Cask Strength 700ml,카이요 위스키,110025,55.0,72.5,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5437281
10–20만원,5,발렌타인 18년 GLENBURGIE 700ml,발렌타인,100215,49.0,71.9,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5524471
10–20만원,6,카발란 이엑스버번 솔리스트 1000ml,카발란,184800,20.0,71.8,10.0,13,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101822
10–20만원,7,글렌드로낙 16년 700ml,글렌드로낙,155925,23.0,71.3,9.8,9,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/4391067
10–20만원,8,BLADNOCH 16YO 700ml,블라드녹,152625,45.0,68.6,10.0,2,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5834298
20–30만원,1,로얄브라클라 21년 700ml,로얄브라클라,240120,54.0,88.8,9.6,9,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5472422
20–30만원,2,발베니 Balvenie 18년 Sherry Cask 700ml,발베니,220215,47.0,87.6,9.7,35,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108210
20–30만원,3,글렌피딕 23년 Grand Cru 700ml,글렌피딕,291225,45.0,83.5,9.8,9,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/4554223
20–30만원,4,글렌피딕 22년 그랑 코르테스 700ml,글렌피딕,269700,42.0,83.0,9.8,17,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5479260
20–30만원,5,발베니 Balvenie 19년 Week of Peat 700ml,발베니,250425,47.0,81.6,10.0,8,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108417
20–30만원,6,글렌피딕 21년 700ml,글렌피딕,209880,47.0,81.5,10.0,6,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/275686
20–30만원,7,카발란 비노바리끄 솔리스트 1000ml,카발란,276000,20.0,74.9,9.7,49,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101582
20–30만원,8,카발란 포트 솔리스트 1000ml,카발란,261600,20.0,69.2,10.0,10,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101642
30만원 이상,1,보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,443700,42.0,67.8,10.0,6,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5489102
30만원 이상,2,카발란 피노 솔리스트 1000ml,카발란,456000,20.0,67.4,9.8,11,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101823
30만원 이상,3,조니워커 블루 750ml,조니워커,323475,5.0,66.7,10.0,35,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/287148
30만원 이상,4,발베니 25년 Rare Marrige 700ml ,발베니,898200,40.0,65.2,10.0,4,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5188632
30만원 이상,5,글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,311550,38.0,63.9,10.0,2,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5818667
30만원 이상,6,발렌타인 30년 RESTAGE 700ml,발렌타인,636975,5.0,63.2,9.3,48,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5086095
30만원 이상,7,글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,427800,38.0,58.5,8.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5818666
30만원 이상,8,조니워커 블루 1000ml,조니워커,430350,5.0,56.9,8.8,8,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/287145
