rank,station,lat,lng,score,score_norm,cnt_회식,cnt_술집,cnt_이자카야,cnt_와인바,cnt_포차,source,as_of
1,강남역,37.497942,127.027621,1977,100.0,779,523,77,115,55,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
2,역삼역,37.500622,127.036456,1296,65.6,540,309,47,75,29,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
3,을지로3가역,37.566295,126.991053,1233,62.4,375,431,42,123,37,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
4,시청역,37.564718,126.977108,1027,51.9,448,234,26,64,8,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
5,삼성역,37.508844,127.06316,1009,51.0,449,217,35,49,16,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
6,합정역,37.549463,126.913739,977,49.4,241,366,79,100,31,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
7,사당역,37.476559,126.981633,968,49.0,332,307,66,44,33,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
8,선릉역,37.504503,127.049008,951,48.1,418,216,37,39,16,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
9,종각역,37.57042,126.982998,890,45.0,368,227,30,40,29,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
10,을지로입구역,37.565989,126.982624,865,43.8,367,198,15,65,17,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
11,성수역,37.544581,127.055961,855,43.2,230,317,43,101,12,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
12,홍대입구역,37.557527,126.924191,839,42.4,211,337,54,75,29,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
13,신사역,37.516382,127.020029,814,41.2,227,270,44,107,15,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
14,잠실역,37.513302,127.100165,789,39.9,269,235,54,52,23,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
15,교대역,37.493415,127.014277,789,39.9,340,180,25,46,12,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
16,강남구청역,37.517186,127.041011,782,39.6,263,216,27,96,18,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
17,건대입구역,37.540505,127.069126,769,38.9,244,275,43,31,45,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
18,문래역,37.518072,126.894651,736,37.2,223,254,50,52,25,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
19,신촌역,37.555134,126.936893,727,36.8,230,275,31,32,35,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
20,신논현역,37.504598,127.025116,726,36.7,252,223,40,41,29,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
21,이태원역,37.53452,126.994374,724,36.6,94,358,27,122,42,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
22,수유역,37.638146,127.025518,676,34.2,184,292,43,21,36,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
23,구로디지털단지역,37.485266,126.901401,672,34.0,289,173,29,14,15,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
24,신림역,37.484201,126.929715,577,29.2,157,243,28,21,47,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
25,영등포역,37.515496,126.907499,566,28.6,210,177,23,15,33,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
26,여의도역,37.52162,126.924191,562,28.4,260,103,20,33,2,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
27,왕십리역,37.561533,127.037684,538,27.2,198,170,23,13,33,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
28,노원역,37.655128,127.061368,460,23.3,141,179,29,9,29,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
29,종로3가역,37.571607,126.991806,431,21.8,110,198,8,11,55,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
30,판교역,37.394761,127.111217,428,21.6,166,112,19,31,5,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
31,혜화역,37.582336,127.001834,396,20.0,116,151,17,32,11,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
32,압구정로데오역,37.527341,127.040283,395,20.0,80,156,21,62,17,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
33,압구정역,37.527075,127.028642,256,12.9,74,82,12,34,5,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
34,강변역,37.535095,127.094681,186,9.4,67,62,10,6,5,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
35,서울역,37.554648,126.972559,153,7.7,68,37,5,5,2,DiningCode isearch total_cnt (키 불필요 내부검색 API),2026-05-31
