술이름,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
더 글렌리벳 15년,95900,코스트코,2026-05-30,WebSearch(thisisdevelop),중,"트레이더스 ₩95,800과 동급"
발베니 12년 더블우드,99000,코스트코,2026-05-30,WebSearch,낮음,"10만원 아래 최저가대(대략), 정밀 재확인 필요"
맥캘란 12년 더블캐스크,90000,코스트코,2026-05-30,WebSearch(나무위키),낮음,"90,000원대 정가, 현재 매니아 기피"
에반 윌리엄스 12년 750ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 0:19,중,조사 2026-05-27(촬영일)
더 글랜 그란트 익스플로레이션 넘버 1 700ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 0:29,중,조사 2026-05-27(촬영일)
글랜드로 오드투더 밸리 700ml,89400,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 0:35,중,조사 2026-05-27(촬영일)
글랜드로 오드 to투더 엠버스 700ml,99400,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 0:42,중,조사 2026-05-27(촬영일)
달모어 12년 700ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 0:50,중,조사 2026-05-27(촬영일)
발베니 12년 700ml,96800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 0:56,중,조사 2026-05-27(촬영일)
에버펠 16년 700ml,75800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 1:04,중,조사 2026-05-27(촬영일)
러셀 리저브 싱글 베럴 750ml,89400,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 1:10,중,조사 2026-05-27(촬영일)
아란쉐리 캐스크 700ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 1:25,중,조사 2026-05-27(촬영일)
글렌피딕 14년 버번 캐스크 700ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 1:39,중,조사 2026-05-27(촬영일)
맥캘란 12년 더블 캐스크 700ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 1:46,중,조사 2026-05-27(촬영일)
글렌리벳 15년 700ml,94800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 1:54,중,조사 2026-05-27(촬영일)
이글레어 10년 750ml,69800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 2:00,중,조사 2026-05-27(촬영일)
부시밀 15년 싱글 몰트 700ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 2:15,중,조사 2026-05-27(촬영일)
글렌피딕 12년 700ml,69800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 2:23,중,조사 2026-05-27(촬영일)
탈리스커 10년 700ml,69800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 2:29,중,조사 2026-05-27(촬영일)
탈리스커 와일드 블루 700ml,69400,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 2:36,중,조사 2026-05-27(촬영일)
포로지 지스 싱글 베럴 750ml,82800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 2:50,중,조사 2026-05-27(촬영일)
와일드 터키 레어브리드 750ml,79800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:05,중,조사 2026-05-27(촬영일)
더 글랜 그란트 12년 700ml,59400,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:20,중,조사 2026-05-27(촬영일)
듀어스 15년 파이노크 스페셜 리저브 700ml,59400,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:31,중,조사 2026-05-27(촬영일)
몽키 숄더 700ml,49980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:43,중,조사 2026-05-27(촬영일)
라프로익 10년 750mml,69800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:58,중,조사 2026-05-27(촬영일)
조니워커 그린납,69800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:05,중,조사 2026-05-27(촬영일)
조니워커 블랙라베 700ml,49980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:11,중,조사 2026-05-27(촬영일)
뱅크홀 싱글트 위스키 700ml,29940,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:37,중,조사 2026-05-27(촬영일)
골든 블루 사피루스 450ml,28980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:46,중,조사 2026-05-27(촬영일)
발렌타인 10년 700ml,39980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:52,중,조사 2026-05-27(촬영일)
1792 스몰 배치 750ml,44980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:59,중,조사 2026-05-27(촬영일)
듀어스 12년 퍼스트필 버번 캐스크 700ml,39980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:17,중,조사 2026-05-27(촬영일)
제임슨 스탠더드 700ml,27980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:10,중,조사 2026-05-27(촬영일)
진빔 화이트 750mml,19980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:17,중,조사 2026-05-27(촬영일)
에반 윌리엄스 블랙 1L,29980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:35,중,조사 2026-05-27(촬영일)
카발란 디스틸러리 셀렉트 싱글 몰트 700ml,69800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:50,중,조사 2026-05-27(촬영일)
글렌피딕 15년 700ml,99800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:55,중,조사 2026-05-27(촬영일)
조니워커 블랙루비 700ml,44800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:08,중,조사 2026-05-27(촬영일)
잭다니엘 애플 700ml 전용잔 패키지,39980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:15,중,조사 2026-05-27(촬영일)
잭다니엘 테네시 700ml 전용잔 패키지,39980,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:24,중,조사 2026-05-27(촬영일)
포 로지스 스몰 배치 셀렉트 750ml,116800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:13,중,조사 2026-05-27(촬영일)
발베니 14년 캐리비안 캐스크 700ml,139800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:25,중,조사 2026-05-27(촬영일)
