술이름,기준가_TWD,정가_TWD,환율_TWDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
蘇格登 12年 甜醺三桶,1200.0,,47.9489,57539,147042,122535,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/蘇格登-12年-甜醺三桶-the-singleton-glen-ord-12y-sweet-revelry-triple-wine-cask,
麥卡倫 18年雪莉雙桶 (2023年),9500.0,10800.0,47.9489,455515,1164078,970065,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-18年雪莉雙桶-2023年-the-macallan-double-cask-18y-2023,할인중
麥卡倫 18年雪莉雙桶 (2024年),9500.0,10800.0,47.9489,455515,1164078,970065,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-18年雪莉雙桶-2024年-the-macallan-double-cask-18y-2024,할인중
格蘭帝 坎貝爾鎮嘉年華 2026,2250.0,2480.0,47.9489,107885,275702,229752,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭帝-坎貝爾鎮嘉年華-2026-glen-scotia-campbeltown-festival-2026-limited-edition,할인중
托摩 傳承系列 #44038 2009 VINTAGE 台灣單桶,3850.0,4000.0,47.9489,184603,471757,393131,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/托摩-傳承系列-44038-2009-vintage-台灣單桶-tormore-legacy-casks-44038-2009-vintage,할인중
托摩 傳承系列 #44034 2009 VINTAGE 台灣單桶,3850.0,4000.0,47.9489,184603,471757,393131,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/托摩-傳承系列-44034-2009-vintage-台灣單桶-tormore-legacy-casks-44034-2009-vintage,할인중
美國時代(金標)波本威士忌,530.0,600.0,47.9489,25413,64943,54120,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/美國時代金標波本威士忌-early-times-gold-label-kentucky-straight-bourbon-whiskey,할인중
美國時代(白標)波本威士忌,380.0,450.0,47.9489,18221,46564,38803,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/美國時代白標波本威士忌-early-times-white-label-kentucky-straight-bourbon-whiskey,할인중
薩澤拉 黑麥威士忌,1350.0,1500.0,47.9489,64731,165421,137851,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/薩澤拉-黑麥威士忌-sazerac-rye-straight-rye-whiskey,할인중
山蹄士 白雪公主系列 NO.13,2600.0,3000.0,47.9489,124667,318589,265491,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/山蹄士-白雪公主系列-no-13-santis-malt-snow-white-no-13,할인중
詩貝 12年原酒 金色薄霧處女桶,1780.0,1880.0,47.9489,85349,218111,181759,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/詩貝-12年原酒-金色薄霧處女桶-spey-golden-mist-12y-cask-strength,할인중
齊克倫 重泥煤原酒系列 Batch 12,1800.0,3000.0,47.9489,86308,220562,183802,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊克倫-重泥煤原酒系列-batch-12-kilkerran-heavily-peated-batch-12-single-malt-scotch-whisky,할인중
三郎丸蒸餾所貯藏梅酒(紅),980.0,1150.0,47.9489,46990,120084,100070,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/三郎丸蒸餾所貯藏梅酒紅-saburomaru-distillery-ume-in-whisky,할인중
NIKKA 弗朗提亞威士忌,699.0,780.0,47.9489,33516,85651,71376,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/nikka-弗朗提亞威士忌-nikka-frontier-whisky,할인중
麥卡倫 HARMONY系列 紫月橡木,6990.0,8000.0,47.9489,335163,856516,713763,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-harmony系列-紫月橡木-the-macallan-harmony-collection-guardian-oak,할인중
