술이름,용량,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
에반 윌리엄스 12년,750ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌 그란트 익스플로레이션 넘버 1,700ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌드로 오드투더 밸리,700ML,89400,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌드로 오드 to투더 엠버스,700ML,99400,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
달모어 12년,700ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
발베니 12년,700ML,96800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
에버펠 16년,700ML,75800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
러셀 리저브 싱글 베럴,750ML,89400,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
글렌라사 샌드엔드,700ML,79800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
아란쉐리 캐스크,700ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
글렌라사 포트소이,700ML,89800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
글렌피딕 14년 법원 캐스크,700ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
맥캘란 12년 더블 캐스크,700ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌리벳 15년,700ML,94800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
이글레어 10년,750ML,69800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
라가불린 11년 스위트피트,700ML,89800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
부쉬밀 15년 싱글 몰트,700ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
글렌피딕 12년,700ML,69800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
탈리스커 10년,700ML,69800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
탈리스커 와일드 블루,700ML,69400,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
클라이넬리시 14년,700ML,84800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
포로지스 싱글 베럴,750ML,82800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
레미마틴 VSOP,700ML,79800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
