raw_name,가격_KRW,사유,video_id,t_start,비고
만 19세미만청소년에게는절대 판매하지요,99800,noise_blocklist,k3GQq_-rD1k,51.6,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
레이아린V.S.0.P700ml,79800,brand_lowconf,k3GQq_-rD1k,132.0,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
더그127000,59400,brand_lowconf,k3GQq_-rD1k,179.0,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
조니워커불랙라,49940,age_mismatch,k3GQq_-rD1k,199.6,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
다카라 미야자키망고 700ml,24980,brand_lowconf,k3GQq_-rD1k,250.6,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
탈리스만위스키1L,22980,age_mismatch,k3GQq_-rD1k,290.8,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
더 굴랜리넷 15년700m,94800,brand_lowconf,k3GQq_-rD1k,326.4,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
해산물,59400,noise_blocklist,k3GQq_-rD1k,362.2,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
과일·체소,34980,noise_blocklist,k3GQq_-rD1k,386.2,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
과일·채소,34980,noise_blocklist,k3GQq_-rD1k,388.0,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
남두15700m,15700,brand_lowconf,k3GQq_-rD1k,403.0,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
라이드199031년700m,699800,brand_shortfrag,k3GQq_-rD1k,443.4,프레임OCR 격리; @whiskeypick/k3GQq_-rD1k
"256,900원",256900,noise_blocklist,a9gHtD7E9AY,61.0,프레임OCR 격리; @whiskeypick/a9gHtD7E9AY
스처 워스키,36990,brand_lowconf,a9gHtD7E9AY,94.6,프레임OCR 격리; @whiskeypick/a9gHtD7E9AY
아이리위스,59900,brand_lowconf,a9gHtD7E9AY,169.8,프레임OCR 격리; @whiskeypick/a9gHtD7E9AY
개나디한워스키,39990,brand_lowconf,a9gHtD7E9AY,202.4,프레임OCR 격리; @whiskeypick/a9gHtD7E9AY
프렌치 보드카,29990,brand_lowconf,a9gHtD7E9AY,209.6,프레임OCR 격리; @whiskeypick/a9gHtD7E9AY
27.690원,15990,noise_blocklist,a9gHtD7E9AY,252.6,프레임OCR 격리; @whiskeypick/a9gHtD7E9AY
글렌피픽12년[500],49800,ambiguous_sku,I8pxUTDSqiw,148.8,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
시바스리갈13년세리,40000,age_mismatch,I8pxUTDSqiw,174.0,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
남두 21년,598000,brand_lowconf,I8pxUTDSqiw,211.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
은하철도999(50),89900,brand_lowconf,I8pxUTDSqiw,284.2,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
시그나토리에드라두어7년 이노규럴,279000,brand_lowconf,I8pxUTDSqiw,331.2,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
하이 웨스트버,69800,brand_lowconf,I8pxUTDSqiw,390.0,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
아드백 25년,1650000,brand_lowconf,I8pxUTDSqiw,531.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
맥캘란 30년세리오크,7500000,age_mismatch,I8pxUTDSqiw,547.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
클렌로티,1250000,brand_lowconf,I8pxUTDSqiw,573.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
글렌드로낙1,75900,age_mismatch,I8pxUTDSqiw,578.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
글렌드로낙21년,475000,age_mismatch,I8pxUTDSqiw,588.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
벤로막킬런드라이,129000,brand_lowconf,I8pxUTDSqiw,636.2,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
열로우로즈 아웃로우버번,239000,brand_lowconf,I8pxUTDSqiw,691.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
옐로우로즈서울에디션,78000,brand_lowconf,I8pxUTDSqiw,702.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
벤로막버진오크13,115000,brand_lowconf,I8pxUTDSqiw,706.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
아드백 스모크트레일,169000,brand_lowconf,I8pxUTDSqiw,722.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
너피브록CS,89000,brand_lowconf,I8pxUTDSqiw,759.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
드26년,74000,brand_lowconf,I8pxUTDSqiw,796.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
와일드터키101 (1L),77000,age_mismatch,I8pxUTDSqiw,801.0,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
사제락라이,77900,brand_lowconf,I8pxUTDSqiw,850.0,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
데이비스 카운티 스트레이트버벤,98500,brand_lowconf,I8pxUTDSqiw,949.0,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
2025 샌프란시스코,118000,brand_lowconf,I8pxUTDSqiw,1088.2,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
다이센 사쿠라 캐스크,45000,brand_lowconf,I8pxUTDSqiw,1120.2,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
일품진로 24년산,350000,brand_lowconf,I8pxUTDSqiw,1126.0,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
앱솔루트라즈베리,22500,brand_lowconf,I8pxUTDSqiw,1219.0,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
트 보드기,22000,brand_lowconf,I8pxUTDSqiw,1223.8,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
엑스레이티드,23000,brand_lowconf,I8pxUTDSqiw,1265.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
고량원장,15800,brand_lowconf,I8pxUTDSqiw,1286.8,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
캡린모건 스파이스트,23000,brand_lowconf,I8pxUTDSqiw,1291.6,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
공부가주자약40.8%,32900,brand_lowconf,I8pxUTDSqiw,1311.8,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
양하블루,39000,brand_lowconf,I8pxUTDSqiw,1322.8,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
가 정용,15000,brand_lowconf,I8pxUTDSqiw,1342.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
인태 와이트,20000,brand_lowconf,I8pxUTDSqiw,1347.4,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
연태 고량주 블루,44000,brand_lowconf,I8pxUTDSqiw,1353.2,프레임OCR 격리; @whiskeypick/I8pxUTDSqiw
글렌모렌지,79900,age_mismatch,AHC6A7ukkrM,14.6,프레임OCR 격리; @whiskeykey/AHC6A7ukkrM
발베니,115900,age_mismatch,AHC6A7ukkrM,72.6,프레임OCR 격리; @whiskeykey/AHC6A7ukkrM
12년아메리칸오크,115900,brand_lowconf,AHC6A7ukkrM,75.2,프레임OCR 격리; @whiskeykey/AHC6A7ukkrM
솔리스트비노바리끄,686127,brand_lowconf,AHC6A7ukkrM,156.4,프레임OCR 격리; @whiskeykey/AHC6A7ukkrM
봄베이 사파이어 진 750m,30980,brand_lowconf,dMF5i15ucJQ,366.2,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
12년세리캐스크,144900,brand_lowconf,HH8XhSDL9YY,21.8,프레임OCR 격리; @whiskeykey/HH8XhSDL9YY
글렌피릭12년700m,69800,ambiguous_sku,KNvhsGbAdvY,67.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
몽키슬더700m,49980,brand_lowconf,KNvhsGbAdvY,126.8,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
일라이저크레이그스몰배치1.75L,79400,brand_lowconf,KNvhsGbAdvY,214.6,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
카발란솔리스트포트캐스크700m,229800,brand_lowconf,KNvhsGbAdvY,281.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
탈리스만위스키1L,16980,age_mismatch,KNvhsGbAdvY,313.0,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
헤본힐BIB7년750ml,159800,brand_lowconf,KNvhsGbAdvY,329.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
헤븐힐BIB 7년750m,159800,brand_lowconf,KNvhsGbAdvY,331.6,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
도스브로스마가리타라임1.75L,22980,brand_lowconf,KNvhsGbAdvY,336.8,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
레미마틴V.S.O.P70OmI,79800,brand_lowconf,KNvhsGbAdvY,342.6,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
레미마틴V.S.O.P700ml,79800,brand_lowconf,KNvhsGbAdvY,345.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
바카디 모히또클래식 700m,21980,brand_lowconf,KNvhsGbAdvY,348.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
봄베이사파이어진750m,30980,brand_lowconf,KNvhsGbAdvY,364.6,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
앱솔루트 보드카 1L,25980,brand_lowconf,KNvhsGbAdvY,373.0,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
업타운마가리타1.5L,24980,brand_lowconf,KNvhsGbAdvY,378.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
페로네리몬첼로1L,29980,brand_lowconf,KNvhsGbAdvY,383.6,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
피치트리1L,25980,brand_lowconf,KNvhsGbAdvY,391.0,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
호세쿠엘보 에스페살 레포사도750ml,27980,brand_lowconf,KNvhsGbAdvY,397.0,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
글렌고인cS배치 11700ml,149800,brand_lowconf,KNvhsGbAdvY,408.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
글렌고인cs배치11700m,149800,brand_lowconf,KNvhsGbAdvY,410.2,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
글렌알리키18년700m,299800,age_mismatch,KNvhsGbAdvY,426.8,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
블랑톤 싱글배럴700m,189800,brand_lowconf,KNvhsGbAdvY,457.4,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
아벨라워아브나흐세리캐스크에디션700,235800,brand_lowconf,KNvhsGbAdvY,462.6,프레임OCR 격리; @whiskeykey/KNvhsGbAdvY
더글렌느로낙오드투더벨리700m,89400,brand_lowconf,dMF5i15ucJQ,58.0,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
일라이저크레이그스몰배치1.75L,79400,brand_lowconf,dMF5i15ucJQ,243.0,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
레미마틴V.S.O.P70Oml,79800,brand_lowconf,dMF5i15ucJQ,344.6,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
바카디모히또클래식700m,21980,brand_lowconf,dMF5i15ucJQ,350.6,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
봄베이사파이어진750m,30980,brand_lowconf,dMF5i15ucJQ,368.6,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
앱솔루트 보드카 1L,25980,brand_lowconf,dMF5i15ucJQ,372.2,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
업타운마가리타1.5L,24980,brand_lowconf,dMF5i15ucJQ,380.6,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
페로네리몬첼로1L,29980,brand_lowconf,dMF5i15ucJQ,384.2,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
피치트리 1L,25980,brand_lowconf,dMF5i15ucJQ,391.8,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
글렌고인25년700ml,818000,brand_lowconf,dMF5i15ucJQ,402.2,프레임OCR 격리; @whiskeykey/dMF5i15ucJQ
