name,category,price_vnd,price_krw,price_import_est_krw,url,collected_date,fx_vnd_per_usd,fx_krw_per_usd
GlenAllachie 12 Year-Old,위스키,1639000.0,95759,244714,https://winecellar.vn/en/whisky/glenallachie-12-year-old/,2026-07-05,26217,1531.72
GlenAllachie 15 Year-Old,위스키,2365000.0,138175,353109,https://winecellar.vn/en/whisky/glenallachie-15-year-old/,2026-07-05,26217,1531.72
Glengoyne 12 Year Old,위스키,1863400.0,108869,278217,https://winecellar.vn/en/whisky/glengoyne-12-year-old/,2026-07-05,26217,1531.72
Glengoyne 15 Year Old,위스키,3146000.0,183805,469717,https://winecellar.vn/en/whisky/glengoyne-15-year-old/,2026-07-05,26217,1531.72
Tamdhu 12 Year Old,위스키,2640000.0,154242,394169,https://winecellar.vn/en/whisky/tamdhu-12-year-old/,2026-07-05,26217,1531.72
Tamdhu 15 Year Old,위스키,5115000.0,298844,763702,https://winecellar.vn/en/whisky/tamdhu-15-year-old/,2026-07-05,26217,1531.72
Tamdhu 18 Year Old,위스키,8998000.0,525708,1343457,https://winecellar.vn/en/whisky/tamdhu-18-year-old/,2026-07-05,26217,1531.72
Tamdhu 2009,위스키,11682000.0,682521,1744196,https://winecellar.vn/en/whisky/tamdhu-2009/,2026-07-05,26217,1531.72
Tamdhu 21 Year Old,위스키,19734000.0,1152959,2946410,https://winecellar.vn/en/whisky/tamdhu-21-year-old/,2026-07-05,26217,1531.72
Tamdhu Distinction,위스키,5148000.0,300772,768629,https://winecellar.vn/en/whisky/tamdhu-distinction/,2026-07-05,26217,1531.72
Tamdhu Year Of The Horse,위스키,6435000.0,375965,960786,https://winecellar.vn/en/whisky/tamdhu-year-of-the-horse/,2026-07-05,26217,1531.72
Tamdhu Batch Strength Batch No. 008,위스키,4004000.0,233934,597823,https://winecellar.vn/en/whisky/tamdhu-batch-strength-batch-no-008/,2026-07-05,26217,1531.72
Tamdhu Cigar Malt III,위스키,10395000.0,607328,1552039,https://winecellar.vn/en/whisky/tamdhu-cigar-malt-iii/,2026-07-05,26217,1531.72
Tamdhu Year Of The Snake 2025,위스키,4290000.0,250643,640523,https://winecellar.vn/en/whisky/tamdhu-year-of-the-snake-2025/,2026-07-05,26217,1531.72
Glengoyne 30 Year Old,위스키,43560000.0,2544994,6503783,https://winecellar.vn/en/whisky/glengoyne-30-year-old/,2026-07-05,26217,1531.72
Glengoyne 18 Year Old,위스키,6594500.0,385284,984601,https://winecellar.vn/en/whisky/glengoyne-18-year-old/,2026-07-05,26217,1531.72
Glengoyne 21 Year Old,위스키,13673000.0,798845,2041464,https://winecellar.vn/en/whisky/glengoyne-21-year-old/,2026-07-05,26217,1531.72
Glengoyne White Oak,위스키,2783000.0,162597,415520,https://winecellar.vn/en/whisky/glengoyne-white-oak/,2026-07-05,26217,1531.72
Rosebank 31 Year Old,위스키,72600000.0,4241656,10839637,https://winecellar.vn/en/whisky/rosebank-31-year-old/,2026-07-05,26217,1531.72
GlenAllachie 10 (Batch 10),위스키,2123000.0,124036,316976,https://winecellar.vn/en/whisky/glenallachie-10-batch-10/,2026-07-05,26217,1531.72
GlenAllachie 10 (Batch 11),위스키,2123000.0,124036,316976,https://winecellar.vn/en/whisky/glenallachie-10-batch-11/,2026-07-05,26217,1531.72
GlenAllachie 10 (Batch 12),위스키,2123000.0,124036,316976,https://winecellar.vn/en/whisky/glenallachie-10-batch-12/,2026-07-05,26217,1531.72
GlenAllachie 18,위스키,5280000.0,308484,788337,https://winecellar.vn/en/whisky/glenallachie-18/,2026-07-05,26217,1531.72
GlenAllachie 8 Year-Old,위스키,1155000.0,67481,172449,https://winecellar.vn/en/whisky/glenallachie-8-year-old/,2026-07-05,26217,1531.72
Glengoyne 25 Year Old,위스키,21417000.0,1251289,3197694,https://winecellar.vn/en/whisky/glengoyne-25-year-old/,2026-07-05,26217,1531.72
Kilchoman 13 Years Old,위스키,3630000.0,212083,541982,https://winecellar.vn/en/whisky/kilchoman-13-years-old/,2026-07-05,26217,1531.72
Kilchoman 14 Years Old,위스키,5203000.0,303985,776840,https://winecellar.vn/en/whisky/kilchoman-14-years-old/,2026-07-05,26217,1531.72
Kilchoman 15 Years Old,위스키,6050000.0,353471,903302,https://winecellar.vn/en/whisky/kilchoman-15-years-old/,2026-07-05,26217,1531.72
Kilchoman Machir Bay,위스키,1650000.0,96401,246355,https://winecellar.vn/en/whisky/kilchoman-machir-bay/,2026-07-05,26217,1531.72
Kilchoman PX Sherry Cask Matured,위스키,4290000.0,250643,640523,https://winecellar.vn/en/whisky/kilchoman-px-sherry-cask-matured/,2026-07-05,26217,1531.72
Kilchoman Sanaig,위스키,1980000.0,115682,295628,https://winecellar.vn/en/whisky/kilchoman-sanaig/,2026-07-05,26217,1531.72
Hine Antique XO Cognac Grande Champagne (Premier Cru de Cognac),코냑/브랜디,6600000.0,385605,985421,https://winecellar.vn/en/cognac/hine-antique-xo-cognac-grande-champagne-premier-cru-de-cognac/,2026-07-05,26217,1531.72
Hine H By Hine VSOP Cognac Fine Champagne,코냑/브랜디,1650000.0,96401,246355,https://winecellar.vn/en/cognac/hine-h-by-hine-vsop-cognac-fine-champagne/,2026-07-05,26217,1531.72
Hine Rare The Original Cognac Fine Champagne,코냑/브랜디,2200000.0,128535,328474,https://winecellar.vn/en/cognac/hine-rare-the-original-cognac-fine-champagne/,2026-07-05,26217,1531.72
Glen Moray 12,위스키,1320000.0,77121,197084,https://winecellar.vn/en/whisky/glen-moray-12/,2026-07-05,26217,1531.72
Glen Moray Our Classic,위스키,968000.0,56555,144527,https://winecellar.vn/en/whisky/glen-moray-our-classic/,2026-07-05,26217,1531.72
Glen Moray 15,위스키,1958000.0,114396,292341,https://winecellar.vn/en/whisky/glen-moray-15/,2026-07-05,26217,1531.72
Glen Moray 18,위스키,4510000.0,263497,673372,https://winecellar.vn/en/whisky/glen-moray-18/,2026-07-05,26217,1531.72
Glen Moray 21,위스키,11000000.0,642675,1642369,https://winecellar.vn/en/whisky/glen-moray-21/,2026-07-05,26217,1531.72
Glen Moray Phoenix Rising,위스키,1650000.0,96401,246355,https://winecellar.vn/en/whisky/glen-moray-phoenix-rising/,2026-07-05,26217,1531.72
Glen Moray Sherry Cask Finish,위스키,968000.0,56555,144527,https://winecellar.vn/en/whisky/glen-moray-sherry-cask-finish/,2026-07-05,26217,1531.72
Glengoyne 10 Year Old,위스키,1573000.0,91903,234860,https://winecellar.vn/en/whisky/glengoyne-10-year-old/,2026-07-05,26217,1531.72
Osborne Vermouth Nordesía Vermú,리큐르/기타,770000.0,44987,114965,https://winecellar.vn/en/vermouth/osborne-vermouth-nordesia-vermu/,2026-07-05,26217,1531.72
Kill Devil Guyana 24,럼,11000000.0,642675,1642369,https://winecellar.vn/en/rum/kill-devil-guyana-24/,2026-07-05,26217,1531.72
Kill Devil Trinidad Caroni 24,럼,17000500.0,993254,2538280,https://winecellar.vn/en/rum/kill-devil-trinidad-caroni-24/,2026-07-05,26217,1531.72
The Original Islay Rum,럼,1600500.0,93509,238964,https://winecellar.vn/en/rum/the-original-islay-rum/,2026-07-05,26217,1531.72
First Editions Auchroisk 2007,위스키,5500000.0,321338,821186,https://winecellar.vn/en/whisky/first-editions-auchroisk-2007/,2026-07-05,26217,1531.72
First Editions Bunnahabhain 2007,위스키,6600000.0,385605,985421,https://winecellar.vn/en/whisky/first-editions-bunnahabhain-2007/,2026-07-05,26217,1531.72
First Editions Craigellachie 2007,위스키,,0,0,https://winecellar.vn/en/whisky/first-editions-craigellachie-2007/,2026-07-05,26217,1531.72
First Editions Glengoyne 2007,위스키,5000600.0,292160,746621,https://winecellar.vn/en/whisky/first-editions-glengoyne-2007/,2026-07-05,26217,1531.72
Kilchoman 100% Islay 14th Edition,위스키,3388000.0,197944,505850,https://winecellar.vn/en/whisky/kilchoman-100-islay-14th-edition/,2026-07-05,26217,1531.72
Kilchoman Batch Strength,위스키,3025000.0,176736,451652,https://winecellar.vn/en/whisky/kilchoman-batch-strength/,2026-07-05,26217,1531.72
Kilchoman Loch Gorm 2024,위스키,3146000.0,183805,469717,https://winecellar.vn/en/whisky/kilchoman-loch-gorm-2024/,2026-07-05,26217,1531.72
Kilchoman Loch Gorm 2025,위스키,3146000.0,183805,469717,https://winecellar.vn/en/whisky/kilchoman-loch-gorm-2025/,2026-07-05,26217,1531.72
Kilchoman Port Cask Matured 2024 Edition,위스키,3388000.0,197944,505850,https://winecellar.vn/en/whisky/kilchoman-port-cask-matured-2024-edition/,2026-07-05,26217,1531.72
Kilchoman 100% Islay Sherry Cask 11 Years Old (Copy),위스키,3388000.0,197944,505850,https://winecellar.vn/en/whisky/kilchoman-100-islay-sherry-cask-11-years-old-copy/,2026-07-05,26217,1531.72
Kilchoman 100% Islay Sherry Cask 11 Years Old,위스키,4620000.0,269924,689796,https://winecellar.vn/en/whisky/kilchoman-100-islay-sherry-cask-11-years-old/,2026-07-05,26217,1531.72
Kilchoman Sanaig Cask Strength,위스키,3025000.0,176736,451652,https://winecellar.vn/en/whisky/kilchoman-sanaig-cask-strength/,2026-07-05,26217,1531.72
Kilchoman Sauternes Cask Matured 2024 Edition,위스키,3388000.0,197944,505850,https://winecellar.vn/en/whisky/kilchoman-sauternes-cask-matured-2024-edition/,2026-07-05,26217,1531.72
Meikle Tòir The Chinquapin 5,위스키,1595000.0,93188,238144,https://winecellar.vn/en/whisky/meikle-toir-the-chinquapin-5/,2026-07-05,26217,1531.72
Meikle Tòir The Original 5,위스키,1595000.0,93188,238144,https://winecellar.vn/en/whisky/meikle-toir-the-original-5/,2026-07-05,26217,1531.72
Meikle Tòir The Sherry One 5,위스키,1595000.0,93188,238144,https://winecellar.vn/en/whisky/meikle-toir-the-sherry-one-5/,2026-07-05,26217,1531.72
Old And Rare Ardmore 1990,위스키,25003000.0,1460801,3733106,https://winecellar.vn/en/whisky/old-and-rare-ardmore-1990/,2026-07-05,26217,1531.72
"Old And Rare Bunnahabhain 1991, 31 Years Old",위스키,25003000.0,1460801,3733106,https://winecellar.vn/en/whisky/old-and-rare-bunnahabhain-1991-31-years-old/,2026-07-05,26217,1531.72
"Old And Rare Caol Ila 1991, 32 Years Old",위스키,25003000.0,1460801,3733106,https://winecellar.vn/en/whisky/old-and-rare-caol-ila-1991-32-years-old/,2026-07-05,26217,1531.72
"Old And Rare Pittyvaich 1990, 33 Years Old",위스키,20000200.0,1168512,2986156,https://winecellar.vn/en/whisky/old-and-rare-pittyvaich-1990-33-years-old/,2026-07-05,26217,1531.72
Old And Rare Auchentoshan 1991,위스키,19503000.0,1139463,2911920,https://winecellar.vn/en/whisky/old-and-rare-auchentoshan-1991/,2026-07-05,26217,1531.72
Old And Rare Cragganmore 1995,위스키,19503000.0,1139463,2911920,https://winecellar.vn/en/whisky/old-and-rare-cragganmore-1995/,2026-07-05,26217,1531.72
Old And Rare Glen Elgin 1992,위스키,27005000.0,1577768,4032018,https://winecellar.vn/en/whisky/old-and-rare-glen-elgin-1992/,2026-07-05,26217,1531.72
Old And Rare Glen Grant 1994,위스키,23001000.0,1343834,3434195,https://winecellar.vn/en/whisky/old-and-rare-glen-grant-1994/,2026-07-05,26217,1531.72
Old And Rare Knockdhu 1991,위스키,22000000.0,1285350,3284738,https://winecellar.vn/en/whisky/old-and-rare-knockdhu-1991/,2026-07-05,26217,1531.72
Old And Rare Tormore 1988,위스키,28996000.0,1694092,4329286,https://winecellar.vn/en/whisky/old-and-rare-tormore-1988/,2026-07-05,26217,1531.72
Old And Rare Tullibardine 1989,위스키,28996000.0,1694092,4329286,https://winecellar.vn/en/whisky/old-and-rare-tullibardine-1989/,2026-07-05,26217,1531.72
Scarabus 10,위스키,1400300.0,81813,209075,https://winecellar.vn/en/whisky/scarabus-10/,2026-07-05,26217,1531.72
Silver Seal Linkwood 14,위스키,6900300.0,403150,1030258,https://winecellar.vn/en/whisky/silver-seal-linkwood-14/,2026-07-05,26217,1531.72
The Ileach,위스키,1080200.0,63111,161281,https://winecellar.vn/en/whisky/the-ileach/,2026-07-05,26217,1531.72
The Ileach Cask Strength,위스키,1650000.0,96401,246355,https://winecellar.vn/en/whisky/the-ileach-cask-strength/,2026-07-05,26217,1531.72
Ben Nevis 21 batch 8,위스키,6380000.0,372752,952575,https://winecellar.vn/en/whisky/ben-nevis-21-batch-8/,2026-07-05,26217,1531.72
Cadenhead Girvan Grain 28 YO,위스키,5500000.0,321338,821186,https://winecellar.vn/en/whisky/cadenhead-girvan-grain-28-yo/,2026-07-05,26217,1531.72
Guyana Uitvlugt 25,럼,9999000.0,584192,1492914,https://winecellar.vn/en/rum/guyana-uitvlugt-25/,2026-07-05,26217,1531.72
Cadenhead  Glenrothes-Glenlivet 23,위스키,7480000.0,437019,1116811,https://winecellar.vn/en/whisky/cadenhead-glenrothes-glenlivet-23/,2026-07-05,26217,1531.72
Cadenhead Caol Ila 10,위스키,2601500.0,151993,388421,https://winecellar.vn/en/whisky/cadenhead-caol-ila-10/,2026-07-05,26217,1531.72
Clynelish 21 batch 7,위스키,7260000.0,424166,1083965,https://winecellar.vn/en/whisky/clynelish-21-batch-7/,2026-07-05,26217,1531.72
Petite Champagne 1978,코냑/브랜디,26488000.0,1547562,3954826,https://winecellar.vn/en/cognac/petite-champagne-1978/,2026-07-05,26217,1531.72
Petite Champagne 1979,코냑/브랜디,26488000.0,1547562,3954826,https://winecellar.vn/en/cognac/petite-champagne-1979/,2026-07-05,26217,1531.72
Darkness 8,위스키,1870000.0,109255,279203,https://winecellar.vn/en/whisky/darkness-8/,2026-07-05,26217,1531.72
Gin Gold,진,1430000.0,83548,213509,https://winecellar.vn/en/gin/gin-gold/,2026-07-05,26217,1531.72
Glenallachie 2008 Oloroso Hogshead Cask no. 7690,위스키,6545000.0,382392,977210,https://winecellar.vn/en/whisky/glenallachie-2008-oloroso-hogshead-cask-no-7690/,2026-07-05,26217,1531.72
GlenAllachie 2008 Oloroso Puncheon Cask no. 303,위스키,6545000.0,382392,977210,https://winecellar.vn/en/whisky/glenallachie-2008-oloroso-puncheon-cask-no-303/,2026-07-05,26217,1531.72
GlenAllachie 2008 Oloroso Puncheon Cask no. 800502,위스키,6545000.0,382392,977210,https://winecellar.vn/en/whisky/glenallachie-2008-oloroso-puncheon-cask-no-800502/,2026-07-05,26217,1531.72
GlenAllachie 2008 PX Hogshead Cask no. 6521,위스키,6545000.0,382392,977210,https://winecellar.vn/en/whisky/glenallachie-2008-px-hogshead-cask-no-6521/,2026-07-05,26217,1531.72
GlenAllachie 2011 Oloroso Hogshead – Cask no. 1929,위스키,,0,0,https://winecellar.vn/en/whisky/glenallachie-2011-oloroso-hogshead-cask-no-1929/,2026-07-05,26217,1531.72
GlenAllachie 2011 Oloroso Hogshead Cask no. 1950,위스키,,0,0,https://winecellar.vn/en/whisky/glenallachie-2011-oloroso-hogshead-cask-no-1950/,2026-07-05,26217,1531.72
Glenallachie 2011 PX Puncheon Cask no. 803432,위스키,,0,0,https://winecellar.vn/en/whisky/glenallachie-2011-px-puncheon-cask-no-803432/,2026-07-05,26217,1531.72
GlenAllachie 21 YO Batch 6,위스키,13233000.0,773138,1975770,https://winecellar.vn/en/whisky/glenallachie-21-yo-batch-6/,2026-07-05,26217,1531.72
GlenAllachie 17 YO Mizunara Oloroso Cask,위스키,7322700.0,427829,1093326,https://winecellar.vn/en/whisky/glenallachie-17-yo-mizunara-oloroso-cask/,2026-07-05,26217,1531.72
MacNair’s Lum Reek Peated 12,위스키,1500400.0,87661,224019,https://winecellar.vn/en/whisky/macnairs-lum-reek-peated-12/,2026-07-05,26217,1531.72
MacNair’s Lum Reek Peated 21 YO,위스키,6000500.0,350579,895912,https://winecellar.vn/en/whisky/macnairs-lum-reek-peated-21-yo/,2026-07-05,26217,1531.72
Nordés Gin,진,1177000.0,68766,175733,https://winecellar.vn/en/gin/nordes-gin/,2026-07-05,26217,1531.72
