술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
듀어스 15년 700ml,59400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 88초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스15년파인오크스페셜리저브700m'→듀어스 15년; id=w056; brand_score=1.0
에버펠디 16년 700ml,75800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 196초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에버펠디16년700ml'→에버펠디 16년; id=w027; brand_score=1.0
발렌타인 21년 700ml,224800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 430초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인21년700m'→발렌타인 21년; id=w047; brand_score=1.0
조니워커 블루라벨 500ml,189800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 449초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블루라벨 500m'→조니워커 블루라벨; id=w053; brand_score=0.8
1792 스몰배치 750ml,44980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 17초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '1792스몰배치 750ml'→1792 스몰배치; id=w070; brand_score=1.0
골든블루 다이아몬드,44980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 24초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '골든블루다이아몬드 450m'→골든블루 다이아몬드; id=w063; brand_score=0.82
골든블루 사피루스,28980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 30초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '골든블루사피루스 450m'→골든블루 사피루스; id=w064; brand_score=0.8
글렌그란트 12년 700ml,59800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 36초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트12년700m'→글렌그란트 12년; id=w013; brand_score=0.91
글렌그란트 익스플로레이션 No.1 700ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 41초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트익스플로레이션넘버원700m'→글렌그란트 익스플로레이션 No.1; id=w015; brand_score=0.69
글렌그란트 15년 700ml,97800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 48초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트15년700m'→글렌그란트 15년; id=w014; brand_score=0.91
글렌드로낙 12년 700ml,79800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 54초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌드로낙12년700m'→글렌드로낙 12년; id=w018; brand_score=0.91
글렌리벳 12년 1L,69800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 60초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더 글렌리벳 12년 1L'→글렌리벳 12년; id=w001; brand_score=0.89
글렌리벳 15년 700ml,94800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 66초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳15년700m'→글렌리벳 15년; id=w002; brand_score=0.89
글렌피딕 12년 700ml,84800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 72초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피딕12년700m'→글렌피딕 12년; id=w005; brand_score=alias_exact
글렌피딕 14년 버번배럴 700ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 78초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피릭14년버번 캐스크 700m'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
듀어스 12년 700ml,45980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 82초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스12년퍼스트 필버번캐스크700m'→듀어스 12년; id=w055; brand_score=1.0
