술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
글렌피딕 15년 700ml,99800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 46초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '글렌피릭15년700ml'→글렌피딕 15년; id=w007; brand_score=0.75
포 로지스 싱글배럴 750ml,82800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 99초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '포로지스 싱글배털 750m'→포 로지스 싱글배럴; id=w078; brand_score=0.7
이글 레어 10년 750ml,69800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 104초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '이글레어10년750ml'→이글 레어 10년; id=w076; brand_score=1.0
메이커스 마크 1L,49980,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 159초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '메이커스마크1L'→메이커스 마크; id=w071; brand_score=1.0
조니워커 블랙 루비 700ml,54800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 189초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '조니워커블랙루비700ml'→조니워커 블랙 루비; id=w052; brand_score=1.0
커티삭 프로히비션 1L,39980,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 234초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '커티삭프로히비션 1L'→커티삭 프로히비션; id=w058; brand_score=1.0
달모어 12년 700ml,99800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 315초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '날모어 12년 700ml'→달모어 12년; id=w023; brand_score=0.67
달모어 2005 빈티지 700ml,678000,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 433초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '달오어2005빈터지700m'→달모어 2005 빈티지; id=w024; brand_score=0.67
버팔로 트레이스 750ml,45000,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 341초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '버팔로트레이스'→버팔로 트레이스; id=w069; brand_score=1.0
카발란 디스틸러리 셀렉트,85000,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 489초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '카발란 디스틸러리 설렉트'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.91
듀어스 15년 700ml,66500,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 653초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '듀어스15년'→듀어스 15년; id=w056; brand_score=1.0
1792 스몰배치,99800,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 877초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '1792 스올배치'→1792 스몰배치; id=w070; brand_score=0.88
조니워커 블랙 루비 750ml,259000,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 926초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '조니워커블루'→조니워커 블랙 루비; id=w052; brand_score=0.86
에반 윌리엄스 12년 750ml,99800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 185초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반 월리엄스 12년 750ml'→에반 윌리엄스 12년; id=w081; brand_score=0.83
탈리스만 9년 포르투기즈 캐스크,25980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 299초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스만9년포르투기즈캐스크에디션700'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
글렌글라사 포트소이 700ml,109800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 389초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글랜글라사포트소이 700m'→글렌글라사 포트소이; id=w030; brand_score=0.73
