수집일,위스키명,가격_KRW,데일리샷상품명,정확도,할인율,국내위치,URL,비고
2026-07-03,1792 스몰배치,49000,1792 스몰 배치 700ml,정확,0,이마트 / 트레이더스,https://dailyshot.co/m/product/14532,"셀러 1/4 중 최저 / 페이지최저 49,000(셀러:AS(알코올수지))[검색 65,500]"
2026-07-03,가쿠빈,29800,산토리 가쿠빈,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/2981,"셀러 6/39 중 최저 / 페이지최저 29,800(셀러:로랜드 주류상회)[검색 37,900]"
2026-07-03,골든블루 다이아몬드,44000,골든블루 더 다이아몬드,근접,0,트레이더스,https://dailyshot.co/m/product/4975,"셀러 4/4 중 최저 / 페이지최저 44,000(셀러:슈어와인낫)[검색 49,000]"
2026-07-03,골든블루 사피루스,25200,골든블루 더 사피루스 330ml,근접,0,트레이더스,https://dailyshot.co/m/product/24358,"셀러 6/6 중 최저 / 페이지최저 25,200(셀러:산내암소마을)"
2026-07-03,글랜그란트 12년,,,,,트레이더스,,MISS / 검색후보 16
2026-07-03,글랜드로 오드 to투더 엠버스,,,,,트레이더스,,MISS / 검색후보 17
2026-07-03,글랜드로 오드투더 다크,,,,,트레이더스,,MISS / 검색후보 27
2026-07-03,글랜드로 오드투더 밸리,,,,,트레이더스,,MISS / 검색후보 22
2026-07-03,글랜드로나 12년,,,,,트레이더스,,MISS / 검색후보 55
2026-07-03,글랜파 클라스 12년,,,,,트레이더스,,MISS / 검색후보 54
2026-07-03,글램 모렌지 D 오리지널 12년,,,,,코스트코,,MISS / 검색후보 51
2026-07-03,글렌그란트 12년,57000,더 글렌그란트 12년,근접,0,트레이더스,https://dailyshot.co/m/product/3155,"셀러 3/8 중 최저 / 페이지최저 57,000(셀러:오앤오샷앤바틀 기흥점)[검색 59,900]"
2026-07-03,글렌그란트 15년,94000,더 글렌그란트 15년 배치 스트렝스,근접,37,트레이더스,https://dailyshot.co/m/product/4307,"셀러 3/7 중 최저 / 노출가 할인 37% / 페이지최저 94,000(셀러:캐스크앤뀌베 서면점)[검색 105,000]"
2026-07-03,글렌드로낙 12년,73000,더 글렌드로낙 12년,근접,0,트레이더스,https://dailyshot.co/m/product/23310,"셀러 3/19 중 최저 / 페이지최저 73,000(셀러:오앤오샷앤바틀 기흥점)[검색 77,000]"
2026-07-03,글렌라키 10년 루비 포트,,,,,트레이더스,,MISS / 검색후보 46
2026-07-03,글렌리벳 12년,57000,더 글렌리벳 12년,근접,0,트레이더스,https://dailyshot.co/m/product/2330,"셀러 5/12 중 최저 / 페이지최저 57,000(셀러:오앤오샷앤바틀 기흥점)[검색 60,900]"
2026-07-03,글렌리벳 15년,86000,더 글렌리벳 15년,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/1649,"셀러 2/7 중 최저 / 페이지최저 86,000(셀러:오앤오샷앤바틀 기흥점)[검색 89,000]"
2026-07-03,글렌리벳 17년 스몰 배치 2,,,,,트레이더스,,MISS / 검색후보 2
2026-07-03,글렌리벳 19년 스몰배치,381000,더 글렌리벳 19년 스몰 배치 2,근접,0,트레이더스,https://dailyshot.co/m/product/34653,"셀러 2/2 중 최저 / 페이지최저 381,000(셀러:CU 용인프린스점)"
2026-07-03,글렌모렌지 12년,74800,글렌모렌지 라산타 12년,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/8196,"셀러 2/6 중 최저 / 페이지최저 74,800(셀러:오앤오샷앤바틀 기흥점)[검색 92,000]"
2026-07-03,글렌모렌지 15년,96000,글렌모렌지 더 라산타 15년,근접,0,트레이더스,https://dailyshot.co/m/product/29554,"셀러 2/2 중 최저 / 페이지최저 96,000(셀러:보틀즈 논현)[검색 97,000]"
2026-07-03,글렌모렌지 익스플로전 No.1,,,,,트레이더스,,MISS / 검색후보 43
2026-07-03,글렌알라키 10년 루비 포트,185000,글렌알라키 10년 루비 포트 우드 피니시,근접,0,트레이더스,https://dailyshot.co/m/product/23695,"셀러 1/5 중 최저 / 페이지최저 185,000(셀러:루원주류마켓)"
2026-07-03,글렌파클라스 15년,137000,글렌파클라스 15년,근접,0,트레이더스,https://dailyshot.co/m/product/4312,"셀러 2/4 중 최저 / 페이지최저 137,000(셀러:가자주류백화점 일산점)[검색 166,300]"
2026-07-03,글렌피딕 12년,59000,글렌피딕 12년 700ml,근접,0,트레이더스,https://dailyshot.co/m/product/2329,"셀러 7/21 중 최저 / 페이지최저 59,000(셀러:오앤오샷앤바틀 기흥점)[검색 68,000]"
2026-07-03,글렌피딕 12년 쉐리케스크,,,,,코스트코,,MISS / 검색후보 5
