술이름,기준가_HKD,정가_HKD,환율_HKDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
"Tankyu Distillery - Whisky New Make, 63%, 10cl",220.0,,189.558899,41703,106573,88811,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/tankyu-distillery-whisky-new-make-63-10cl,
"Michel Couvreur - CAP A PIE, Whisky, 45%",1050.0,,189.558899,199037,508643,423869,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-the-unique-whisky-44-700ml,
"Michel Couvreur - The Unique, Whisky, 44%",900.0,,189.558899,170603,435979,363316,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-the-unique-whisky-700ml,
"Michel Couvreur - Special Vatting, Malt Whisky, 45%",2100.0,,189.558899,398074,1017286,847738,N,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-special-vatting-malt-whisky-45-700ml,재고없음
"Michel Couvreur - Overaged Malt, Whisky, 43%",1180.0,,189.558899,223680,571619,476349,N,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-overaged-malt-whisky-43-700ml,재고없음
"Michel Couvreur - Candid, Malt Whisky, 49%",1460.0,,189.558899,276756,707255,589380,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-candid-malt-whisky-49,
"Michel Couvreur -  Pale Single-Single Malt Whisky, 45%",1460.0,,189.558899,276756,707255,589380,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-pale-single-single-whisky-50,
"Michel Couvreur -  Intravagan'za, Whisky, 50%",1050.0,,189.558899,199037,508643,423869,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-intravaganza-whisky-50,
"Michel Couvreur - Couvreur's Clearach, Edition 2019-2022, 43%",900.0,,189.558899,170603,435979,363316,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/michel-couvreur-couvreurs-clearach-boisson-spiritueuse-de-cereales-2019-2022-43-700ml,
"Hazelburn -  10y, 46%, 70cl",880.0,,189.558899,166812,426291,355243,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/hazelburn-10y-46-70cl,
"Kilkerran -  8y, Port Cask Matured, 57.9%",1580.0,,189.558899,299503,765386,637822,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/kilkerran-8y-port-cask-matured-57-9,
"Springbank - 10y, Sherry Fino Cask Matured 55%, 70cl",2680.0,,189.558899,508018,1298250,1081875,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/springbank-10y-sherry-fino-cask-matured-55-70cl,
"Springbank - 10y, Local Barley, 55.2%, 70cl",2980.0,,189.558899,564886,1443577,1202981,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/springbank-local-barley-10y-55-2-70cl,
"Adelphi Selection - Linkwood 14y, 2008, 1st Fill Olo Sherry HHD, 50.9%, 267b",1460.0,,189.558899,276756,707255,589380,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-linkwood-14y-2008-50-9-b,
"Macallan - Rare Cask, 2024 Release, 43%",2788.0,,189.558899,528490,1350567,1125472,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-rare-cask-2024-release-43,
"Macallan - A Night On Earth in JEREZ, 2024 Release, 43%",968.0,,189.558899,183493,468920,390767,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-a-night-on-earth-in-scotland-2024-release-43,
"Ardbeg - 19y, 46.2%",2880.0,,189.558899,545930,1395135,1162613,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/ardbeg-19y-v6-46-2,
"The First Editions Authors' Series - Littlemill 30y, 1990, 47.8%, 263b",13800.0,,189.558899,2615913,6685018,5570848,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/authors-series-littlemill-30y-1990-47-8-263b,
"Balvenie - 16y, French Oak, 47.6%",1560.0,,189.558899,295712,755698,629748,N,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/balvenie-16y-french-oak-47-6,재고없음
"Berry's - Craigellachie 13y, 2000, 46%",980.0,,189.558899,185768,474734,395612,N,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/berry-0010,재고없음
"Drunken Master - WHITE CAT Secret Speyside, 19y, 44.8%, 300b, Blended Malt (Macallan Sherry+Highland Park)",2400.0,,189.558899,454941,1162611,968842,N,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/drunken-master-secret-speyside-sherry-cask-blended-whisky-19y-44-8-300b,재고없음
"Macallan - Classic Cut, 2023 Release, 50.3%",1200.0,,189.558899,227471,581307,484422,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-classic-cut-2023-release-50-3,
"Macallan - Sherry Oak, 30y, 2023 release, 43%",42800.0,,189.558899,8113121,20733243,17277702,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-sherry-oak-30y-2023-release-43,
"Miyagikyo - 宮城峽 Single Malt Whisky NAS, 45%, 50ml",120.0,,189.558899,22747,58130,48442,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/miyagikyo-宮城峽-single-malt-whisky-nas-45-50ml,
"Taketsuru - 竹鶴 Pure Malt Whisky NAS, 43%, 50ml",120.0,,189.558899,22747,58130,48442,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/taketsuru-竹鶴-pure-malt-43-50ml,
"Yoichi - 余市 Single Malt Whisky NAS, 45%, 50ml",120.0,,189.558899,22747,58130,48442,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/yoichi-余市-single-malt-whisky-45-50ml,
"Yoichi - 余市 Single Malt Whisky 10YO, 45%, 70cl",1560.0,,189.558899,295712,755698,629748,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/yoichi-余市-single-malt-whisky-10yo-45,
"Macallan - Double Cask, 30y, 2022 Release, 43%",34380.0,,189.558899,6517035,16654413,13878678,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-double-cask-30y-2022-release-43,
Gift Box - Whisky 11oz,20.0,,189.558899,3791,9688,8073,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/gift-box-whisky-11oz,
"Ardnamurchan - AD/ Heritage Barley Release 2025, Golden Promise 6y, 59.2%, 70cl, 10000B",880.0,,189.558899,166812,426291,355243,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/rdnamurchan-ad-heritage-barley-59-2-2025-release-single-malt-scotch-whisky-70cl,
"Adelphi Selection - Benrinnes 11y, 2011, 56.2%, 341b",1260.0,,189.558899,238844,610371,508642,N,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-benrinnes-11y-56-2-b,재고없음
"Macallan - James Bond Diamonds are Forever 55th Anniversary 2025 Release, 18y, 45.5%",5680.0,,189.558899,1076695,2751516,2292930,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-james-bond-diamonds-are-forever-55th-anniversary-2025-release-45-5,
"Macallan - Sherry Oak, 18y, 2026 release, 43%",3388.0,,189.558899,642226,1641221,1367684,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-sherry-oak-18y-2026-release-43,
"Macallan - Double Cask, 12y, 2025 release, 40%",698.0,,189.558899,132312,338126,281772,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-double-cask-12y-2025-release-40,
"Adelphi - Private Stock Reserve 8y, Peated blend, 46%, 70cl, 1800B",580.0,,189.558899,109944,280964,234137,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-private-stock-reserve-peated-blended-scotch-46,
"Adelphi - Speyside (Glen Elgin) 10y, Single Malt Whisky, 46%,70cl, 1800B",690.0,,189.558899,130796,334252,278543,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-10y-speyside-single-malt-whisky-46-70cl,
"Adelphi - Islay (Caol Ila) 10y, Single Malt Whisky, 46%,70cl, 1800B",720.0,,189.558899,136482,348782,290652,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-10y-islay-single-malt-whisky-46-70cl,
"Adelphi Selection - Ardmore 8y Refill Oloroso Butt, 2016, 59.7%, 632b",1050.0,,189.558899,199037,508643,423869,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-ardmore-8y-refill-oloroso-butt-2016-57-6-632b,
"Adelphi Selection - Linkwood 10y Refill Oloroso HHD 2015, 56.4%, 238b",1150.0,,189.558899,217993,557085,464238,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-linkwood-10y-refill-oloroso-butt-2015-56-4-238b,
"Adelphi Selection - Dailuaine 12y Refill Oloroso HHD 2013, 53.5%, 265b",1190.0,,189.558899,225575,576461,480385,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-dailuaine-12y-refill-oloroso-hhd-2013-53-5-265b,
"Adelphi Selection - Ben Nevis 11y Refill Oloroso Butt 2013, 59.9%, 624b",1480.0,,189.558899,280547,716943,597453,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-ben-nevis-11y-refill-oloroso-butt-2013-59-9-624b,
"Adelphi Selection - Benrinnes 14y Refill Oloroso HHD 2011, 56.2%, 282b",1450.0,,189.558899,274860,702410,585342,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-benrinnes-14y-refill-oloroso-hhd-2011-56-2-282b,
"Adelphi Selection - Clynelish 9y, Refill Oloroso Butt, 2015-2024, 54.5%, 477b",1390.0,,189.558899,263487,673346,561122,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-clynelish-9y-refill-oloroso-butt-2015-54-5-477b,
"Adelphi Selection - Teaninch 16y, Refill Oloroso Sherry Cask, 56.4%, 207b",1480.0,,189.558899,280547,716943,597453,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-teaninch-16y-refill-oloroso-sherry-cask-56-4-207b,
"Adelphi Selection - Lochranza, Isle of Arran 10y, 1st Fill Bourbon (Peated) 2014, 57.1%, 230b",1360.0,,189.558899,257800,658813,549011,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/adelphi-selection-isle-of-arran-10y-1st-fill-bourbon-asb-peated-2014-57-1-230b,
"Master of Malt -  Linkwood 16y, 56.5%, 70cl, 278B",1080.0,,189.558899,204724,523176,435980,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-linkwood-16y-56-5-70cl,
"Master of Malt - Glenlivet 26y 1998, 55.7%, 70cl, 99B",2380.0,,189.558899,451150,1152923,960769,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-glenlivet-26y-55-7-70cl,
"Master of Malt -  Dailuaine 9y, 59.1%, 70cl, 320B",720.0,,189.558899,136482,348782,290652,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-dailuaine-9y-59-1-70cl,
"Master of Malt -  Mortlach 12y, 61.6%, 70cl, 300B",890.0,,189.558899,168707,431134,359278,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-mortlach-12y-61-6-70cl,
"Master of Malt - Ben Nevis 26y 1998, 45.5%, 70cl, 301B",3300.0,,189.558899,625544,1598590,1332159,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-ben-nevis-25y-1998-45-5-70cl,
"Master of Malt - Cambus 34y 1990, 47.2%, Single Grain, 70cl, 259B",2180.0,,189.558899,413238,1056038,880032,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-cambus-34y-1990-47-2-70cl,
"Master of Malt - Bunnahabhain 15y 2009, 50.9%, 70cl, 324B",1200.0,,189.558899,227471,581307,484422,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-bunnahabhain-15y-2009-50-9-70cl,
"Master of Malt - Glen Elgin 16y 2006, 51%, 70cl, 271B",1060.0,,189.558899,200932,513486,427905,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-glen-elgin-16y-2006-51-70cl,
"Master of Malt - Ledaig 23y 1995, 47.4%, 70cl, 188B",2200.0,,189.558899,417030,1065729,888107,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-ledaig-23y-1995-47-4-70cl,
"Master of Malt - A Secret Islay Distillery 31y 1990, 47.4%, 70cl, 186B",3780.0,,189.558899,716533,1831114,1525929,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/master-of-malt-a-secret-islay-distillery-31y-1990-47-4-70cl,
"Glenrothes - Glenrothes 15, 43%, 2024 release",780.0,,189.558899,147856,377849,314874,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/glenrothes-glenrothes-15-43-2024,
"Macallan - A Night On Earth THE FIRST LIGHT, 2025 Release, 43%",980.0,,189.558899,185768,474734,395612,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-a-night-on-earth-in-scotland-2025-release-43,
"Macallan - Sherry Oak 25y, 43%, 2025 release",19600.0,,189.558899,3715354,9494661,7912218,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/macallan-sherry-oak-25y-43-2025-release,
"Glenfarclas - 25y, 43%",1980.0,,189.558899,375327,959156,799296,N,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/glenfarclas-25y-43,재고없음
"Caskells x Kowloon Spirits – 2026 Year of the Horse, Limited Edition (mini 100ml)",398.0,,189.558899,75444,192799,160666,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/caskells-horse-cny2026,
"Woodrow's - Blended Malt Scotch Whisky, 50%ABV, 700ml",590.0,,189.558899,111840,285809,238174,Y,Caskells(Shopify products.json),2026-07-20,https://www.caskells.com/products/woodrows-blended-malt-scotch-whisky-50,
