수집일,위스키명,top_product_id,데일리샷상품명,seller_id,셀러명,업종,지역,가격_KRW,할인율,sales_count,vivino_score,review_count,국내위치,정확도
2026-08-16,1792 스몰배치,14532,1792 스몰 배치 700ml,18609,스마일 슈퍼 강동점,주류전문샵,서울 강동구,59000,0,,,2,이마트 / 트레이더스,정확
2026-08-16,가쿠빈,2981,산토리 가쿠빈,14600,CU 서초동아타워점,CU편의점,서울특별시 서초구,35800,20,"구매 8,000+",,3642,코스트코 / 트레이더스,근접
2026-08-16,가쿠빈,2981,산토리 가쿠빈,52133,이마트24 서초네오점,이마트24,서울특별시 서초구,35840,20,"구매 8,000+",,3642,코스트코 / 트레이더스,근접
2026-08-16,가쿠빈,2981,산토리 가쿠빈,16362,리쿼하우스,주류전문샵,서울 강남구,37900,0,"구매 8,000+",,3642,코스트코 / 트레이더스,근접
2026-08-16,가쿠빈,2981,산토리 가쿠빈,51587,팔도밀방 강남본점,픽업제휴,서울 강남구,37900,11,"구매 8,000+",,3642,코스트코 / 트레이더스,근접
2026-08-16,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,15038,보틀즈 논현,주류전문샵,서울 강남구,49000,0,,,18,트레이더스,근접
2026-08-16,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,46605,이마트24 역삼초교점,이마트24,서울특별시 강남구,57000,0,,,18,트레이더스,근접
2026-08-16,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,41431,참치집 진주초전점,픽업제휴,경남 진주시,50200,0,,,18,트레이더스,근접
2026-08-16,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,41525,CU 서초삼성타운점,CU편의점,서울특별시 서초구,59000,0,,,18,트레이더스,근접
2026-08-16,골든블루 사피루스,24358,골든블루 더 사피루스 330ml,41431,참치집 진주초전점,픽업제휴,경남 진주시,25200,0,,,1,트레이더스,근접
2026-08-16,글렌그란트 12년,3155,더 글렌그란트 12년,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,57800,46,"구매 5,700+",,875,트레이더스,근접
2026-08-16,글렌그란트 12년,3155,더 글렌그란트 12년,16362,리쿼하우스,주류전문샵,서울 강남구,59900,0,"구매 5,700+",,875,트레이더스,근접
2026-08-16,글렌그란트 12년,3155,더 글렌그란트 12년,53934,나무소리,픽업제휴,경기 가평군,72000,33,"구매 5,700+",,875,트레이더스,근접
2026-08-16,글렌그란트 15년,4307,더 글렌그란트 15년 배치 스트렝스,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,109000,31,"구매 6,200+",,756,트레이더스,근접
2026-08-16,글렌그란트 15년,4307,더 글렌그란트 15년 배치 스트렝스,51587,팔도밀방 강남본점,픽업제휴,서울 강남구,142900,0,"구매 6,200+",,756,트레이더스,근접
2026-08-16,글렌그란트 15년,4307,더 글렌그란트 15년 배치 스트렝스,38330,CU 반포미도점,CU편의점,서울특별시 서초구,139000,0,"구매 6,200+",,756,트레이더스,근접
2026-08-16,글렌드로낙 12년,23310,더 글렌드로낙 12년,16362,리쿼하우스,주류전문샵,서울 강남구,77000,0,"구매 3,500+",,245,트레이더스,근접
2026-08-16,글렌드로낙 12년,23310,더 글렌드로낙 12년,16300,60계치킨 천안직산점,픽업제휴,충남 천안시,94900,20,"구매 3,500+",,245,트레이더스,근접
2026-08-16,글렌드로낙 12년,23310,더 글렌드로낙 12년,52133,이마트24 서초네오점,이마트24,서울특별시 서초구,108000,10,"구매 3,500+",,245,트레이더스,근접
2026-08-16,글렌리벳 12년,2330,더 글렌리벳 12년,16362,리쿼하우스,주류전문샵,서울 강남구,60900,0,구매 1만+,,1559,트레이더스,근접
2026-08-16,글렌리벳 12년,2330,더 글렌리벳 12년,42344,CU 역삼HK스퀘어점,CU편의점,서울 강남구,78000,29,구매 1만+,,1559,트레이더스,근접
2026-08-16,글렌리벳 12년,2330,더 글렌리벳 12년,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,78000,29,구매 1만+,,1559,트레이더스,근접
2026-08-16,글렌리벳 12년,2330,더 글렌리벳 12년,910,오향한방족발,픽업제휴,경기 수원시,78000,26,구매 1만+,,1559,트레이더스,근접
2026-08-16,글렌리벳 15년,1649,더 글렌리벳 15년,16362,리쿼하우스,주류전문샵,서울 강남구,89000,0,"구매 3,000+",,404,코스트코 / 트레이더스,근접
2026-08-16,글렌리벳 15년,1649,더 글렌리벳 15년,46605,이마트24 역삼초교점,이마트24,서울특별시 강남구,116000,26,"구매 3,000+",,404,코스트코 / 트레이더스,근접
2026-08-16,글렌리벳 15년,1649,더 글렌리벳 15년,41431,참치집 진주초전점,픽업제휴,경남 진주시,106700,0,"구매 3,000+",,404,코스트코 / 트레이더스,근접
2026-08-16,글렌리벳 17년 스몰배치,34654,더 글렌리벳 17년 스몰 배치 2,37542,모닝와인 성남점,주류전문샵,경기 성남시,255000,0,,,4,트레이더스,근접
2026-08-16,글렌리벳 19년 스몰배치,34345,더 글렌리벳 19년 스몰 배치,14553,보틀벙커 잠실점,주류전문샵,서울 송파구,380000,0,,,1,트레이더스,근접
2026-08-16,글렌모렌지 12년,8196,글렌모렌지 라산타 12년,16362,리쿼하우스,주류전문샵,서울 강남구,92000,0,,,230,코스트코 / 트레이더스,근접
2026-08-16,글렌모렌지 12년,8196,[마지막재고 찬스] 글렌모렌지 라산타 12년,51587,팔도밀방 강남본점,픽업제휴,서울 강남구,99900,0,,,230,코스트코 / 트레이더스,근접
2026-08-16,글렌모렌지 15년,29554,글렌모렌지 더 라산타 15년,16362,리쿼하우스,주류전문샵,서울 강남구,97000,0,,,14,트레이더스,근접
2026-08-16,글렌모렌지 15년,29554,글렌모렌지 더 라산타 15년,51587,팔도밀방 강남본점,픽업제휴,서울 강남구,136600,14,,,14,트레이더스,근접
2026-08-16,글렌알라키 10년 루비 포트,23695,글렌알라키 10년 루비 포트 우드 피니시,17260,루원주류마켓,주류전문샵,인천 서구,179100,0,,,3,트레이더스,근접
2026-08-16,글렌피딕 12년,2329,글렌피딕 12년 700ml,16362,리쿼하우스,주류전문샵,서울 강남구,72000,0,구매 1만+,,1346,트레이더스,근접
2026-08-16,글렌피딕 12년,2329,글렌피딕 12년 700ml,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,73900,19,구매 1만+,,1346,트레이더스,근접
2026-08-16,글렌피딕 12년,2329,글렌피딕 12년 700ml,46605,이마트24 역삼초교점,이마트24,서울특별시 강남구,74900,35,구매 1만+,,1346,트레이더스,근접
2026-08-16,글렌피딕 12년,2329,글렌피딕 12년 700ml,51587,팔도밀방 강남본점,픽업제휴,서울 강남구,86900,0,구매 1만+,,1346,트레이더스,근접
2026-08-16,글렌피딕 12년,2329,글렌피딕 12년 700ml,52133,이마트24 서초네오점,이마트24,서울특별시 서초구,93000,21,구매 1만+,,1346,트레이더스,근접
2026-08-16,글렌피딕 12년,2329,글렌피딕 12년 700ml,36600,CU 서초에피소드점,CU편의점,서울 서초구,89000,0,구매 1만+,,1346,트레이더스,근접
2026-08-16,글렌피딕 14년 버번배럴,22707,글렌피딕 14년 버번 배럴 리저브,52133,이마트24 서초네오점,이마트24,서울특별시 서초구,111000,17,,,74,트레이더스,근접
2026-08-16,글렌피딕 14년 버번배럴,22707,글렌피딕 14년 버번 배럴 리저브,16362,리쿼하우스,주류전문샵,서울 강남구,105000,0,,,74,트레이더스,근접
2026-08-16,글렌피딕 14년 버번배럴,22707,글렌피딕 14년 버번 배럴 리저브,41431,참치집 진주초전점,픽업제휴,경남 진주시,135300,0,,,74,트레이더스,근접
2026-08-16,글렌피딕 14년 버번배럴,22707,글렌피딕 14년 버번 배럴 리저브,5366,CU 서초도씨에빛점,CU편의점,서울특별시 서초구,120000,0,,,74,트레이더스,근접
2026-08-16,글렌피딕 15년,1650,글렌피딕 15년,2827,와인파크 역삼점,주류전문샵,서울 강남구,169000,0,"구매 5,600+",,1669,코스트코 / 트레이더스,근접
2026-08-16,글렌피딕 15년,1650,글렌피딕 15년,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,104900,23,"구매 5,600+",,1669,코스트코 / 트레이더스,근접
2026-08-16,글렌피딕 15년,1650,글렌피딕 15년,46605,이마트24 역삼초교점,이마트24,서울특별시 강남구,108900,32,"구매 5,600+",,1669,코스트코 / 트레이더스,근접
2026-08-16,글렌피딕 15년,1650,글렌피딕 15년,42275,땅땅치킨 매천점,픽업제휴,대구 북구,119900,22,"구매 5,600+",,1669,코스트코 / 트레이더스,근접
2026-08-16,글렌피딕 15년,1650,글렌피딕 15년,42953,CU 서초우리점,CU편의점,서울 서초구,132000,0,"구매 5,600+",,1669,코스트코 / 트레이더스,근접
2026-08-16,글렌피딕 15년,1650,글렌피딕 15년,52133,이마트24 서초네오점,이마트24,서울특별시 서초구,158000,0,"구매 5,600+",,1669,코스트코 / 트레이더스,근접
