술이름,브랜드,숙성년수,용량_ml,원가격_JPY,통화,환율_1JPY_KRW,가격_KRW,관세_KRW,주세_KRW,교육세_KRW,부가세_KRW,한국반입추정가_KRW,반입배수,국가,셀러,URL,itemCode,가져온날짜,출처,신뢰도,비고
야마자키 NAS 700ml,yamazaki,,700,13800,JPY,9.460043,130549,26110,112794,33838,30329,333620,2.5555,일본(JP),リカーショップ大山,https://item.rakuten.co.jp/oyama/yamazaki-nv/,oyama:10000123,2026-05-30,Rakuten Ichiba API (サントリー 山崎),중,
야마자키 12년 700ml,yamazaki,12,700,34800,JPY,9.460043,329209,65842,284437,85331,76482,841301,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai/yamazaki12/,sakai:551200,2026-05-30,Rakuten Ichiba API (サントリー 山崎),중,
야마자키 18년 700ml,yamazaki,18,700,148000,JPY,9.460043,1400086,280017,1209675,362902,325268,3577949,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya/yamazaki18/,shinanoya:88120,2026-05-30,Rakuten Ichiba API (サントリー 山崎),중,
야마자키 NAS 50ml,yamazaki,,50,2980,JPY,9.460043,28191,5638,24357,7307,6549,72042,2.5555,일본(JP),ミニボトル館,https://item.rakuten.co.jp/mini/yamazaki50/,mini:50ml-y,2026-05-30,Rakuten Ichiba API (サントリー 山崎),중,"소용량(50ml) — 700ml 환산 아님, 직접비교 주의"
하쿠슈 NAS 700ml,hakushu,,700,12500,JPY,9.460043,118251,23650,102168,30651,27472,302192,2.5555,일본(JP),リカーショップ大山,https://item.rakuten.co.jp/oyama/hakushu-nv/,oyama:10000222,2026-05-30,Rakuten Ichiba API (サントリー 白州),중,
하쿠슈 12년 700ml,hakushu,12,700,39800,JPY,9.460043,376510,75302,325304,97591,87471,962178,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai/hakushu12/,sakai:551300,2026-05-30,Rakuten Ichiba API (サントリー 白州),중,
하쿠슈 NAS 350ml,hakushu,,350,7800,JPY,9.460043,73788,14758,63753,19126,17143,188568,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya/hakushu350/,shinanoya:88230,2026-05-30,Rakuten Ichiba API (サントリー 白州),중,"소용량(350ml) — 700ml 환산 아님, 직접비교 주의"
히비키 NAS 700ml,hibiki,,700,16800,JPY,9.460043,158929,31786,137314,41194,36922,406146,2.5555,일본(JP),リカーズハセガワ,https://item.rakuten.co.jp/hasegawa/hibiki-jh/,hasegawa:7001,2026-05-30,Rakuten Ichiba API (サントリー 響),중,
히비키 17년 700ml,hibiki,17,700,198000,JPY,9.460043,1873089,374618,1618348,485505,435156,4786715,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai/hibiki17/,sakai:551400,2026-05-30,Rakuten Ichiba API (サントリー 響),중,
히비키 21년 700ml,hibiki,21,700,360000,JPY,9.460043,3405615,681123,2942452,882736,791193,8703118,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya/hibiki21/,shinanoya:88340,2026-05-30,Rakuten Ichiba API (サントリー 響),중,
히비키 NAS 700ml,hibiki,,700,22800,JPY,9.460043,215689,43138,186355,55907,50109,551198,2.5555,일본(JP),リカーズハセガワ,https://item.rakuten.co.jp/hasegawa/hibiki-ms/,hasegawa:7002,2026-05-30,Rakuten Ichiba API (サントリー 響),중,
타케츠루 NAS 700ml,taketsuru,,700,9800,JPY,9.460043,92708,18542,80100,24030,21538,236918,2.5555,일본(JP),リカーマウンテン楽天市場店,https://item.rakuten.co.jp/likaman/taketsuru-pm/,likaman:tk-pm,2026-05-30,Rakuten Ichiba API (ニッカ 竹鶴),중,
타케츠루 17년 700ml,taketsuru,17,700,88000,JPY,9.460043,832484,166497,719266,215780,193403,2127429,2.5555,일본(JP),オールドボトル専門店,https://item.rakuten.co.jp/oldbottle/taketsuru17/,oldbottle:tk17,2026-05-30,Rakuten Ichiba API (ニッカ 竹鶴),중,
타케츠루 NAS 180ml,taketsuru,,180,2480,JPY,9.460043,23461,4692,20270,6081,5450,59955,2.5555,일본(JP),ミニボトル館,https://item.rakuten.co.jp/mini/taketsuru180/,mini:tk180,2026-05-30,Rakuten Ichiba API (ニッカ 竹鶴),중,"소용량(180ml) — 700ml 환산 아님, 직접비교 주의"
요이치 NAS 700ml,yoichi,,700,11800,JPY,9.460043,111629,22326,96447,28934,25934,285269,2.5555,일본(JP),リカーマウンテン楽天市場店,https://item.rakuten.co.jp/likaman/yoichi-nv/,likaman:yo-nv,2026-05-30,Rakuten Ichiba API (ニッカ 余市),중,
요이치 10년 700ml,yoichi,10,700,49800,JPY,9.460043,471110,94222,407039,122112,109448,1203931,2.5555,일본(JP),オールドボトル専門店,https://item.rakuten.co.jp/oldbottle/yoichi10/,oldbottle:yo10,2026-05-30,Rakuten Ichiba API (ニッカ 余市),중,
요이치 NAS 500ml,yoichi,,500,16500,JPY,9.460043,156091,31218,134862,40459,36263,398893,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya/yoichi-bc/,shinanoya:88450,2026-05-30,Rakuten Ichiba API (ニッカ 余市),중,
미야기쿄 NAS 700ml,miyagikyo,,700,11500,JPY,9.460043,108790,21758,93995,28198,25274,278016,2.5555,일본(JP),リカーマウンテン楽天市場店,https://item.rakuten.co.jp/likaman/miyagikyo-nv/,likaman:mg-nv,2026-05-30,Rakuten Ichiba API (ニッカ 宮城峡),중,
니카 프롬더배럴 NAS 500ml,nikka_from_the_barrel,,500,4280,JPY,9.460043,40489,8098,34982,10495,9406,103470,2.5555,일본(JP),リカーズハセガワ,https://item.rakuten.co.jp/hasegawa/from-the-barrel/,hasegawa:ftb,2026-05-30,Rakuten Ichiba API (ニッカ フロムザバレル),중,
니카 세션 NAS 700ml,nikka_session,,700,4980,JPY,9.460043,47111,9422,40704,12211,10945,120393,2.5555,일본(JP),リカーマウンテン楽天市場店,https://item.rakuten.co.jp/likaman/nikka-session/,likaman:session,2026-05-30,Rakuten Ichiba API (ニッカ セッション),중,
니카 카페그레인 NAS 700ml,nikka_coffey_grain,,700,6280,JPY,9.460043,59409,11882,51329,15399,13802,151821,2.5555,일본(JP),リカーズハセガワ,https://item.rakuten.co.jp/hasegawa/coffey-grain/,hasegawa:coffey,2026-05-30,Rakuten Ichiba API (ニッカ カフェグレーン),중,
치타 NAS 700ml,chita,,700,4180,JPY,9.460043,39543,7909,34165,10250,9187,101053,2.5555,일본(JP),リカーマウンテン楽天市場店,https://item.rakuten.co.jp/likaman/chita/,likaman:chita,2026-05-30,Rakuten Ichiba API (サントリー 知多),중,
후지 NAS 700ml,fuji,,700,5480,JPY,9.460043,51841,10368,44791,13437,12044,132481,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai/fuji-sg/,sakai:fuji-sg,2026-05-30,Rakuten Ichiba API (キリン 富士),중,
후지 NAS 700ml,fuji,,700,6980,JPY,9.460043,66031,13206,57051,17115,15340,168744,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai/fujisanroku/,sakai:fsr,2026-05-30,Rakuten Ichiba API (キリン 富士),중,
이치로스 몰트 NAS 700ml,ichiros_malt,,700,5280,JPY,9.460043,49949,9990,43156,12947,11604,127646,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya/ichiros-white/,shinanoya:ich-w,2026-05-30,Rakuten Ichiba API (イチローズモルト),중,
이치로스 몰트 NAS 700ml,ichiros_malt,,700,18800,JPY,9.460043,177849,35570,153661,46098,41318,454496,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya/ichiros-mwr/,shinanoya:ich-mwr,2026-05-30,Rakuten Ichiba API (イチローズモルト),중,
마르스 코마가타케 NAS 700ml,mars_komagatake,,700,9800,JPY,9.460043,92708,18542,80100,24030,21538,236918,2.5555,일본(JP),リカーズハセガワ,https://item.rakuten.co.jp/hasegawa/komagatake/,hasegawa:koma,2026-05-30,Rakuten Ichiba API (マルス 駒ヶ岳),중,
앗케시 NAS 700ml,akkeshi,,700,26800,JPY,9.460043,253529,50706,219049,65715,58900,647899,2.5555,일본(JP),オールドボトル専門店,https://item.rakuten.co.jp/oldbottle/akkeshi/,oldbottle:akk,2026-05-30,Rakuten Ichiba API (厚岸 ウイスキー),중,
앗케시 NAS 200ml,akkeshi,,200,4800,JPY,9.460043,45408,9082,39233,11770,10549,116042,2.5555,일본(JP),ミニボトル館,https://item.rakuten.co.jp/mini/akkeshi200/,mini:akk200,2026-05-30,Rakuten Ichiba API (厚岸 ウイスキー),중,"소용량(200ml) — 700ml 환산 아님, 직접비교 주의"
