술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
ブラントン ブラック,11420,,9.501545,108508,277294,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0612,
ノックニーアン カスクストレングス,13259,,9.501545,125981,321947,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1455,
日置 Hioki,3797,,9.501545,36077,92195,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1454,
ハイランドパーク 25年,115154,,9.501545,1094141,2796099,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0654,재고없음
フレンチウイスキー バスティーユ 1789,6107,,9.501545,58026,148287,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1784,재고없음
スプリングバンク 12年 カスクストレングス 55.4度,52285,,9.501545,496788,1269552,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0246,
スペイ トゥルティーナ 46%,7724,,9.501545,73390,187550,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0906,
ザ グレンタレット 7年 ピートスモークド 2024リリース,6743,,9.501545,64069,163730,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0927,
ザ グレンタレット トリプルウッド 2025リリース,6269,,9.501545,59565,152220,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0916,
ザ ホイッスラー トリプルオーク スモールバッチ アイリッシュウイスキー,2527,,9.501545,24010,61358,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1373,
新 バランタイン シングルモルト グレンバーギー 18年,15557,,9.501545,147816,377747,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0840,
新 バランタイン シングルモルト グレンバーギー 15年,8879,,9.501545,84364,215594,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0837,
新 バランタイン シングルモルト グレンバーギー 12年,5887,,9.501545,55936,142946,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0833,
デュワーズ 12年 ミズナラ,3902,,9.501545,37075,94746,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0774,
アードベッグ ドルチェ,19404,,9.501545,184368,471156,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1807,
ボウモア シェリー 18年,17602,,9.501545,167246,427400,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1388,재고없음
ボウモア シェリー 15年,12277,,9.501545,116650,298101,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1294,
ボウモア シェリー 12年,6800,,9.501545,64611,165115,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1281,
OHTANI WHISKY zodiac sign No.2 Capricorn,10912,,9.501545,103681,264959,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/1057,
シングルモルト ジャパニーズ ウイスキー Kuju THE FIRST,16031,,9.501545,152319,389254,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0622,재고없음
シングルモルト ジャパニーズ ウイスキー Kuju sora,13514,,9.501545,128404,328139,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-29,https://www.syurui.co.jp/products/0635,
