name,price,volume_ml,n_frames,t_start,t_end
1792스몰배치 750m,39980,750,1,39.0,39.0
골든블루 다이아몬드 450m,44980,,1,45.0,45.0
골든블루 사피루스 450m,28980,,1,51.0,51.0
더글렌그란트 12년 700m 100m1당9.971원,69800,700,1,58.8,58.8
"더글렌그란트15년700m 100mI당 13,971",97800,700,1,63.0,63.0
"더글렌그란트 익스플로레이션넘버원700m 100mi당 14,257년",99800,700,1,69.0,69.0
"더글렌그란트 익스플로레이션넘버원700m 100mi당 14,257번",99800,700,1,71.8,71.8
더글렌드로낙12년700m,79800,700,1,75.0,75.0
더 글렌리벳 12년 1L,69800,1000,1,81.0,81.0
"글렌피픽 12년 700ml 100m1당 12,114",84800,700,1,93.0,93.0
글렌피릭14년버번캐스크700m,99800,700,1,99.0,99.0
듀어스12년퍼스트필버번캐스크700m 100m1당6.569원,45980,700,1,105.6,105.6
"듀어스12년퍼스트필버번캐스크700ml 100m1당6,569",45980,700,1,108.8,108.8
듀어스15년파인 오크스페셜리저브 700n -2024년까지 6년 연속 세계 1위 마스터 불벤다름 수심한 스대파니,59400,,1,111.0,111.0
라가불린 11년 스윗피트 700m 신상품,89800,700,1,117.0,117.0
러셀리저브싱글배럴750m,99800,750,3,123.0,124.2
로얄 브라클라12년 700mI,89800,700,2,129.0,130.8
맥캔란12년 더블캐스크700m 100m1당14.257원,99800,700,1,135.0,135.0
몽키슬더700m 100m단7.1408,44980,700,1,141.0,141.0
발렌타인10년700m,39980,700,1,147.0,147.0
발렌타인 싱글몰트 글렌버기15년700mi,94800,,2,153.0,154.0
발렌타인 파이니스트1L,28980,1000,1,159.0,159.0
기급이제 뱅크홀싱글몰트위스키700m,37980,700,1,177.0,177.0
"뱅크홀싱글몰트위스키700m 100m1당5,426인",37980,700,1,179.6,179.6
버팔로트레이스1L,49980,1000,1,183.0,183.0
산토리가쿠빈 700m 필본 위스기 대표주자 신로리 가부보,32980,700,1,189.0,189.0
아란쉐리캐스크700m,99800,700,1,195.0,195.0
에반월리엄스 12년 750m,99800,750,2,201.0,203.2
에반 월리엄스 블랙 1L -버번의 대명사로 불리우는 전행의 미국 벤터키 버번,33980,1000,1,207.8,207.8
에반 윌리엄스 블랙 1.75L,47980,1750,1,213.0,213.0
오반14년700ml,89400,700,1,219.0,219.0
"와일드터키8년 1L 100m당4,998일",49980,1000,1,225.0,225.0
와일드터키레어브리드 750m 100m1510.640원4,79800,750,1,231.0,231.0
와일드터키캔터키스피릿싱글배럴750m 100m1당9.253원,69400,750,1,237.0,237.0
이글레어10년 750m,74800,750,3,243.0,244.8
제임슨 스탠다드 700m -아이리시 위스기 증유소로 1780년 다불린에서설립,27980,700,1,263.2,263.2
조니워커 그린라벨 700m,74800,700,1,267.0,267.0
조니워커 더블블랙 1L 위스키,59800,1000,1,273.0,273.0
조니워커 레드 1.75L,54800,1750,1,279.0,279.0
조니워커블랙 루비 700m 100m1 7.829원,54800,700,1,291.0,291.0
조니워커블랙라벨700m,39980,700,1,297.0,297.0
짐빔화이트750ml 100m1당 3.731원,27980,750,1,303.6,303.6
카발란디스틸러리셀렉트싱글물트700m 100m1당 9.9712,69800,700,1,309.0,309.0
커티삭 프로히비션 1L 100m1당 3.994원,39940,1000,1,321.0,321.0
클라이넬리쉬14년700mI 100m1당 11.343원,500028,700,1,327.0,327.0
탈리스만9년포르투기즈캐스크에디션 700 100m1당 3.711원,25980,,1,333.0,333.0
탈리스만 위스키 1L,16980,1000,1,339.0,339.0
탈리스커10년700ml 100m1당9.971원,69800,700,1,345.0,345.0
탈리스커와일드블루700ml,74800,700,3,351.0,352.6
포로지스 싱글배럴750mI 100mI당 11.040원,82800,,1,357.0,357.0
레미마틴V.S.O.P700mI 100m당 11.400원,79800,,1,363.0,363.0
바카디 모히또 클래식 700m,18980,700,1,369.0,369.0
봄베이사파이어750m+375ml 국내 판매 1위 진,39980,375,2,387.0,390.8
봄베이 사파이어 진 750m,30980,750,1,393.0,393.0
비스킷앤드보세꼬낙VSOP700ml 신상품,54800,700,1,399.0,399.0
앱솔루트 보드카 1L 100mi담 2.598원,25980,1000,1,405.0,405.0
페로네리몬첼로1L,24980,1000,1,411.0,411.0
피치트리 1L -복승아술의 대명사 피치트리,25980,1000,1,417.0,417.0
호세쿠엘보 에스페살 레포사도 750m 100m1당 3.731원,27980,750,1,423.0,423.0
달모어2005빈티지700m,678000,700,1,429.0,429.0
듀어스 18년 750ml,99800,750,1,435.0,435.0
로알살루트21년700m,279800,700,1,441.0,441.0
발렌타인21년700ml,224800,700,1,447.0,447.0
비스킷앤드보세 꼬낙X0700m,189800,700,1,453.0,453.0
아벨라워아브나흐세리캐스크에다션700,235800,,1,459.0,459.0
조니워커블루라벨500m,189800,500,1,465.0,465.0
조니워커블루라벨 750m,259800,750,1,471.0,471.0
포로지스스몰배치셀렉트 750m,116800,750,1,477.0,477.0
