video_id,t_sec,hhmmss,path,mean_diff,n_frames
-t-Q7jSi14g,17.8,000018,-t-Q7jSi14g_000018.jpg,2.065,2
-t-Q7jSi14g,18.2,000018,-t-Q7jSi14g_000018_1.jpg,2.322,2
-t-Q7jSi14g,20.0,000020,-t-Q7jSi14g_000020.jpg,2.061,5
-t-Q7jSi14g,21.4,000021,-t-Q7jSi14g_000021.jpg,0.296,3
-t-Q7jSi14g,23.2,000023,-t-Q7jSi14g_000023.jpg,0.922,8
-t-Q7jSi14g,24.4,000024,-t-Q7jSi14g_000024.jpg,0.0,5
-t-Q7jSi14g,28.2,000028,-t-Q7jSi14g_000028.jpg,2.007,17
-t-Q7jSi14g,33.4,000033,-t-Q7jSi14g_000033.jpg,0.733,26
-t-Q7jSi14g,39.4,000039,-t-Q7jSi14g_000039.jpg,1.46,25
-t-Q7jSi14g,44.0,000044,-t-Q7jSi14g_000044.jpg,1.932,10
-t-Q7jSi14g,46.4,000046,-t-Q7jSi14g_000046.jpg,2.496,15
-t-Q7jSi14g,52.2,000052,-t-Q7jSi14g_000052.jpg,1.985,18
-t-Q7jSi14g,57.2,000057,-t-Q7jSi14g_000057.jpg,2.324,22
-t-Q7jSi14g,62.8,000103,-t-Q7jSi14g_000103.jpg,1.703,21
-t-Q7jSi14g,65.4,000105,-t-Q7jSi14g_000105.jpg,1.636,5
-t-Q7jSi14g,69.4,000109,-t-Q7jSi14g_000109.jpg,0.849,26
-t-Q7jSi14g,81.4,000121,-t-Q7jSi14g_000121.jpg,0.642,26
-t-Q7jSi14g,86.6,000127,-t-Q7jSi14g_000127.jpg,2.197,8
-t-Q7jSi14g,88.6,000129,-t-Q7jSi14g_000129.jpg,0.995,13
-t-Q7jSi14g,93.4,000133,-t-Q7jSi14g_000133.jpg,1.706,25
-t-Q7jSi14g,98.4,000138,-t-Q7jSi14g_000138.jpg,2.235,15
-t-Q7jSi14g,101.0,000141,-t-Q7jSi14g_000141.jpg,2.221,10
