name,price,volume_ml,n_frames,t_start,t_end
글렌모렌지 디오리지널12년,79900,700,2,13.6,16.4
15년싱글몰트 위스키700ML,96900,700,1,18.8,18.8
12년세리캐스크 시트위스키700ML,144900,700,1,24.8,24.8
로일브라클라 12년,103900,700,1,30.8,30.8
21년,204900,700,2,36.8,40.4
메이커스마크 버번위스키,36990,750,3,48.8,53.4
몽키슬더,49790,700,1,54.8,54.8
발베니 12년 싱글,118900,750,1,72.8,72.8
발베닉 14년캐리비안캐스크,134900,,1,78.8,78.8
스카치위스키,20990,1000,1,88.6,88.6
산토리위스키,27690,700,1,90.8,90.8
켄터키스트레이트 버번위스키1L,79900,1000,1,96.8,96.8
테네시에플위스키,55900,,1,102.8,102.8
테네시키,55900,1000,1,108.8,108.8
블루말띠대만 에디션750ML,309900,750,2,132.8,135.4
조니워커 불루레이블,256900,750,1,138.8,138.8
조니워커블루레이블 조니워커블루러,256900,,1,142.6,142.6
버번위스키,25490,1000,1,144.8,144.8
커클랜드 상품입니다,147900,750,2,150.4,153.2
런던드라이진,28990,1750,1,156.2,156.2
스카치 위스키,36990,,2,162.2,165.4
스파이스드럼,32990,1750,2,168.2,170.4
아이리쉬위스키,1175355,1750,2,174.2,178.2
안 위스키,39990,,1,186.2,186.2
프렌치 보드카,29990,1750,1,192.2,192.2
깔루아리큐르,23790,1000,1,198.0,198.0
데킬라블랑코,76900,750,1,204.2,204.2
꼬낙VSOP,77900,700,1,210.2,210.2
캐리비안럼,24390,1000,2,216.0,220.4
슈페리에럼,19990,1000,2,222.2,225.4
기타주류입니다,31990,,1,228.0,228.0
보드카,24890,1000,1,234.2,234.2
예거마이스터,39990,1000,1,240.4,240.4
모닉VSOP,74900,700,1,246.0,246.0
기타 주류입니다,45790,700,1,252.2,252.2
레포사도데킬라,34990,,1,258.2,258.2
