video_id,t_sec,hhmmss,path,mean_diff,n_frames
10D-R05-sSU,1.2,000001,10D-R05-sSU_000001.jpg,2.959,2
10D-R05-sSU,3.0,000003,10D-R05-sSU_000003.jpg,2.955,2
10D-R05-sSU,7.4,000007,10D-R05-sSU_000007.jpg,2.167,8
10D-R05-sSU,21.2,000021,10D-R05-sSU_000021.jpg,0.334,16
10D-R05-sSU,27.4,000027,10D-R05-sSU_000027.jpg,0.043,15
10D-R05-sSU,33.8,000034,10D-R05-sSU_000034.jpg,0.219,15
10D-R05-sSU,39.4,000039,10D-R05-sSU_000039.jpg,0.132,15
10D-R05-sSU,44.6,000045,10D-R05-sSU_000045.jpg,0.129,15
10D-R05-sSU,50.2,000050,10D-R05-sSU_000050.jpg,0.303,16
10D-R05-sSU,56.4,000056,10D-R05-sSU_000056.jpg,0.135,15
10D-R05-sSU,62.4,000102,10D-R05-sSU_000102.jpg,0.283,16
10D-R05-sSU,66.8,000107,10D-R05-sSU_000107.jpg,0.15,15
10D-R05-sSU,72.8,000113,10D-R05-sSU_000113.jpg,0.106,15
10D-R05-sSU,78.2,000118,10D-R05-sSU_000118.jpg,0.042,15
10D-R05-sSU,85.0,000125,10D-R05-sSU_000125.jpg,0.275,15
10D-R05-sSU,90.8,000131,10D-R05-sSU_000131.jpg,0.306,16
10D-R05-sSU,96.0,000136,10D-R05-sSU_000136.jpg,0.139,16
10D-R05-sSU,102.6,000143,10D-R05-sSU_000143.jpg,0.052,15
10D-R05-sSU,106.2,000146,10D-R05-sSU_000146.jpg,0.268,15
10D-R05-sSU,112.6,000153,10D-R05-sSU_000153.jpg,0.069,15
10D-R05-sSU,118.4,000158,10D-R05-sSU_000158.jpg,0.091,16
10D-R05-sSU,124.6,000205,10D-R05-sSU_000205.jpg,0.414,16
10D-R05-sSU,130.8,000211,10D-R05-sSU_000211.jpg,0.413,16
10D-R05-sSU,137.0,000217,10D-R05-sSU_000217.jpg,0.035,15
10D-R05-sSU,141.6,000222,10D-R05-sSU_000222.jpg,0.314,17
10D-R05-sSU,147.0,000227,10D-R05-sSU_000227.jpg,0.132,15
10D-R05-sSU,152.2,000232,10D-R05-sSU_000232.jpg,0.159,15
10D-R05-sSU,158.2,000238,10D-R05-sSU_000238.jpg,0.032,15
10D-R05-sSU,163.0,000243,10D-R05-sSU_000243.jpg,0.061,15
10D-R05-sSU,168.2,000248,10D-R05-sSU_000248.jpg,0.168,16
10D-R05-sSU,173.8,000254,10D-R05-sSU_000254.jpg,0.199,15
10D-R05-sSU,177.8,000258,10D-R05-sSU_000258.jpg,0.223,16
10D-R05-sSU,183.0,000303,10D-R05-sSU_000303.jpg,0.206,16
10D-R05-sSU,188.8,000309,10D-R05-sSU_000309.jpg,0.149,15
10D-R05-sSU,194.2,000314,10D-R05-sSU_000314.jpg,0.214,15
10D-R05-sSU,200.0,000320,10D-R05-sSU_000320.jpg,0.198,16
10D-R05-sSU,206.4,000326,10D-R05-sSU_000326.jpg,0.157,15
10D-R05-sSU,212.2,000332,10D-R05-sSU_000332.jpg,0.234,16
10D-R05-sSU,216.2,000336,10D-R05-sSU_000336.jpg,0.66,18
10D-R05-sSU,222.8,000343,10D-R05-sSU_000343.jpg,0.104,15
10D-R05-sSU,229.0,000349,10D-R05-sSU_000349.jpg,0.164,15
10D-R05-sSU,234.0,000354,10D-R05-sSU_000354.jpg,0.293,16
10D-R05-sSU,239.4,000359,10D-R05-sSU_000359.jpg,0.25,16
10D-R05-sSU,244.8,000405,10D-R05-sSU_000405.jpg,0.226,15
10D-R05-sSU,251.4,000411,10D-R05-sSU_000411.jpg,0.204,15
10D-R05-sSU,254.8,000415,10D-R05-sSU_000415.jpg,0.219,15
10D-R05-sSU,256.8,000417,10D-R05-sSU_000417.jpg,2.872,2
10D-R05-sSU,257.4,000417,10D-R05-sSU_000417_1.jpg,2.851,2
10D-R05-sSU,263.0,000423,10D-R05-sSU_000423.jpg,0.166,15
10D-R05-sSU,268.4,000428,10D-R05-sSU_000428.jpg,2.531,2
10D-R05-sSU,274.4,000434,10D-R05-sSU_000434.jpg,1.946,6
10D-R05-sSU,275.2,000435,10D-R05-sSU_000435.jpg,2.48,3
