video_id,t_sec,hhmmss,path,mean_diff,n_frames
1iGtaA_QLRk,6.6,000007,1iGtaA_QLRk_000007.jpg,0.575,15
1iGtaA_QLRk,11.4,000011,1iGtaA_QLRk_000011.jpg,0.225,3
1iGtaA_QLRk,12.8,000013,1iGtaA_QLRk_000013.jpg,0.813,5
1iGtaA_QLRk,13.8,000014,1iGtaA_QLRk_000014.jpg,0.0,5
1iGtaA_QLRk,16.8,000017,1iGtaA_QLRk_000017.jpg,2.251,25
1iGtaA_QLRk,23.0,000023,1iGtaA_QLRk_000023.jpg,1.65,26
1iGtaA_QLRk,28.8,000029,1iGtaA_QLRk_000029.jpg,0.694,25
1iGtaA_QLRk,33.6,000034,1iGtaA_QLRk_000034.jpg,1.417,13
1iGtaA_QLRk,36.2,000036,1iGtaA_QLRk_000036.jpg,2.419,12
1iGtaA_QLRk,40.8,000041,1iGtaA_QLRk_000041.jpg,1.067,25
1iGtaA_QLRk,47.0,000047,1iGtaA_QLRk_000047.jpg,2.852,2
1iGtaA_QLRk,48.4,000048,1iGtaA_QLRk_000048.jpg,2.365,10
1iGtaA_QLRk,53.0,000053,1iGtaA_QLRk_000053.jpg,1.087,26
1iGtaA_QLRk,59.0,000059,1iGtaA_QLRk_000059.jpg,2.45,9
1iGtaA_QLRk,60.6,000101,1iGtaA_QLRk_000101.jpg,1.945,7
1iGtaA_QLRk,65.0,000105,1iGtaA_QLRk_000105.jpg,1.167,26
1iGtaA_QLRk,70.8,000111,1iGtaA_QLRk_000111.jpg,0.833,25
1iGtaA_QLRk,76.8,000117,1iGtaA_QLRk_000117.jpg,1.124,25
1iGtaA_QLRk,83.0,000123,1iGtaA_QLRk_000123.jpg,0.574,26
1iGtaA_QLRk,94.8,000135,1iGtaA_QLRk_000135.jpg,2.069,25
1iGtaA_QLRk,99.2,000139,1iGtaA_QLRk_000139.jpg,2.097,8
1iGtaA_QLRk,101.6,000142,1iGtaA_QLRk_000142.jpg,1.981,17
1iGtaA_QLRk,107.0,000147,1iGtaA_QLRk_000147.jpg,1.458,26
1iGtaA_QLRk,118.2,000158,1iGtaA_QLRk_000158.jpg,1.85,18
1iGtaA_QLRk,120.6,000201,1iGtaA_QLRk_000201.jpg,1.725,7
1iGtaA_QLRk,125.0,000205,1iGtaA_QLRk_000205.jpg,0.971,26
1iGtaA_QLRk,129.0,000209,1iGtaA_QLRk_000209.jpg,2.938,2
1iGtaA_QLRk,131.0,000211,1iGtaA_QLRk_000211.jpg,2.736,2
1iGtaA_QLRk,132.4,000212,1iGtaA_QLRk_000212.jpg,2.535,10
1iGtaA_QLRk,134.6,000215,1iGtaA_QLRk_000215.jpg,2.644,3
1iGtaA_QLRk,137.0,000217,1iGtaA_QLRk_000217.jpg,2.124,21
1iGtaA_QLRk,142.8,000223,1iGtaA_QLRk_000223.jpg,1.647,25
1iGtaA_QLRk,147.0,000227,1iGtaA_QLRk_000227.jpg,2.731,2
1iGtaA_QLRk,153.2,000233,1iGtaA_QLRk_000233.jpg,2.513,9
1iGtaA_QLRk,160.8,000241,1iGtaA_QLRk_000241.jpg,1.626,25
1iGtaA_QLRk,167.0,000247,1iGtaA_QLRk_000247.jpg,0.888,26
1iGtaA_QLRk,172.4,000252,1iGtaA_QLRk_000252.jpg,2.258,21
1iGtaA_QLRk,174.8,000255,1iGtaA_QLRk_000255.jpg,2.774,2
1iGtaA_QLRk,178.8,000259,1iGtaA_QLRk_000259.jpg,1.509,25
1iGtaA_QLRk,183.6,000304,1iGtaA_QLRk_000304.jpg,2.352,13
1iGtaA_QLRk,185.2,000305,1iGtaA_QLRk_000305.jpg,2.907,3
