video_id,t_sec,hhmmss,path,mean_diff,n_frames
3Cxa6iOEbxY,4.4,000004,3Cxa6iOEbxY_000004_3.jpg,2.659,6
3Cxa6iOEbxY,8.2,000008,3Cxa6iOEbxY_000008_3.jpg,1.312,33
3Cxa6iOEbxY,22.8,000023,3Cxa6iOEbxY_000023_3.jpg,0.009,15
3Cxa6iOEbxY,29.2,000029,3Cxa6iOEbxY_000029_3.jpg,0.048,16
3Cxa6iOEbxY,34.2,000034,3Cxa6iOEbxY_000034_3.jpg,0.198,16
3Cxa6iOEbxY,40.0,000040,3Cxa6iOEbxY_000040_3.jpg,0.035,15
3Cxa6iOEbxY,45.2,000045,3Cxa6iOEbxY_000045_3.jpg,0.032,15
3Cxa6iOEbxY,50.4,000050,3Cxa6iOEbxY_000050_3.jpg,0.031,15
3Cxa6iOEbxY,56.6,000057,3Cxa6iOEbxY_000057_3.jpg,0.042,15
3Cxa6iOEbxY,59.6,000100,3Cxa6iOEbxY_000100_3.jpg,0.001,15
3Cxa6iOEbxY,65.0,000105,3Cxa6iOEbxY_000105_3.jpg,0.023,15
3Cxa6iOEbxY,69.2,000109,3Cxa6iOEbxY_000109_3.jpg,0.068,15
3Cxa6iOEbxY,75.2,000115,3Cxa6iOEbxY_000115_3.jpg,0.042,15
3Cxa6iOEbxY,81.0,000121,3Cxa6iOEbxY_000121_3.jpg,0.036,15
3Cxa6iOEbxY,86.6,000127,3Cxa6iOEbxY_000127_3.jpg,0.212,16
3Cxa6iOEbxY,92.2,000132,3Cxa6iOEbxY_000132_3.jpg,0.071,16
3Cxa6iOEbxY,97.4,000137,3Cxa6iOEbxY_000137_3.jpg,0.041,15
3Cxa6iOEbxY,102.8,000143,3Cxa6iOEbxY_000143_3.jpg,0.136,15
3Cxa6iOEbxY,109.2,000149,3Cxa6iOEbxY_000149_3.jpg,0.04,15
3Cxa6iOEbxY,115.0,000155,3Cxa6iOEbxY_000155_3.jpg,0.032,15
3Cxa6iOEbxY,120.6,000201,3Cxa6iOEbxY_000201_3.jpg,0.044,15
3Cxa6iOEbxY,126.0,000206,3Cxa6iOEbxY_000206_3.jpg,0.027,15
3Cxa6iOEbxY,131.4,000211,3Cxa6iOEbxY_000211_3.jpg,0.044,15
