name,price,volume_ml,n_frames,t_start,t_end
발렌타인 파이니스! 발렌타인10년,45000,700,1,22.8,22.8
렌버기15년 발렌타인 글렌버기 18년,154000,700,1,34.2,34.2
조니워커레드 초특가,24900,700,1,50.4,50.4
코퍼독 글렌모레이피티드싱글몰트,49800,700,1,65.0,65.0
글렌피닥18년(500) 블랙보틀 스카치위스키,24900,500,1,75.2,75.2
산토리가쿠빈 벤치마크NO.8,22800,700,1,81.0,81.0
우성식지 커티삭프로히비션,33000,700,1,86.6,86.6
탐나불린소비능블 탐나불린 세리캐스크,39900,700,1,102.8,102.8
화이트앤 액케이(1L) 사제락라이,25000,1000,1,120.6,120.6
짐빔화이트 그란츠트리플우드,15800,750,1,131.4,131.4
조니워커블루라벨 초특기,249000,750,1,140.4,140.4
우성식자재할 조지레무스버번,98500,700,1,162.4,162.4
발블레어12년 초특가,110000,700,1,168.8,168.8
믹터스 아메링칸 믹터스 라이,176000,,1,180.6,180.6
제퍼슨버번 번하임오리지널7년,59800,750,1,192.4,192.4
제임슨 블랙배럼 제퍼슨,24900,700,1,198.2,198.2
베이커스7닌 하이 웨스트 AMND,260000,750,1,204.4,204.4
베이커스7년 와일드터키라이,39900,1000,1,209.8,209.8
포로지스 버번,53500,1000,1,221.0,221.0
메이커스 마크46 메이커스마크101,55000,1000,1,232.2,232.2
에반월리엄스블랙 책다니엘애플,29900,750,1,238.4,238.4
에반월리엄스파이어 초특가,23500,750,1,243.6,243.6
글렌터너헤리티지 글렌터너12년,144000,,1,253.2,253.2
더글렌리벳 15년 더글렌리벳 18년,89000,700,1,259.4,259.4
오켄토션 쓰리우드 탈리스커와일드블루,108000,,1,271.6,271.6
그렌드로낙 18년 옥토모어15.2,158000,700,1,284.8,284.8
우성식자재할 글렌드로,85000,700,1,290.0,290.0
아드벨 우것다일 아드벡10년,59800,700,1,307.8,307.8
부쉬밀 오리지널 부쉬밀,59000,700,1,340.0,340.0
벤리네스 21년SR 2024 초특가,550000,700,1,350.0,350.0
로알살루트 21년 몰트락 SR 2023,139000,,1,355.4,355.4
로알살루트21년 초특가,185000,700,1,362.0,362.0
글렌피릭 18년 글렌피릭12년,79000,700,1,367.8,367.8
맥캘란 쉐리오크 18년 맥캘란더블캐스크 18년,459000,700,1,379.2,379.2
아벨라워16년,90000,,1,406.6,406.6
나흐세리 로크로몬드오리지날,49000,700,1,417.6,417.6
듀어스 캐리비안스무스 듀어스15년,75000,700,1,434.4,434.4
글렌모레이10년 글렌모레이12년,149800,,1,445.2,445.2
로알브라클라21년 초특가,329000,700,1,450.2,450.2
달모어(2009) 글렌드로낙 21년,21303,,1,464.0,464.0
우성식자재인시 달모어 18년,458000,,1,471.6,471.6
에버펠디21년 초특가,289000,700,1,495.2,495.2
닛카 프론티어,64900,,1,500.4,500.4
탐두15년 탐두12년,199000,,1,511.8,511.8
기원(호람이) 기원(유니콘),99000,700,1,517.8,517.8
마쓰이산인 마쓰이더피티드,155000,,1,523.8,523.8
올드파12Y 싱글몰트 우지,49800,700,1,541.6,541.6
하이랜드파크 12년 초특가,179000,700,1,568.0,568.0
레드브레스트 15년 레드브레스트12년,79800,700,1,573.8,573.8
스트라스밀12년 오크로이스크10년,185000,,1,586.0,586.0
카발란 솔리스트 포트CS 카발란솔리스트올로써세리(S,319000,700,1,591.8,591.8
카발란 디스틸러리셀렉트 초특가,99000,700,1,597.4,597.4
헨리무니에VSOP 초특가,198000,,1,614.4,614.4
레미마틴XO 초특가,320000,,1,631.4,631.4
불라깔바도스VSOP 꾸니에르나폴레용,75000,,1,637.2,637.2
볼스 전제품 초특가,15000,700,1,654.0,654.0
글렌피릭18년 글렌피릭 12년세트,88900,,1,692.8,692.8
시바스리갈18년 스모크헤드스타우트,99900,700,1,715.2,715.2
우성식자재합인명사 조니워커18년,139000,750,2,725.8,738.2
