video_id,t_sec,frame,crop,method,w,h
7g3YR_98FLY,2.0,7g3YR_98FLY_000002.jpg,7g3YR_98FLY_000002.jpg,white_rect,493,221
7g3YR_98FLY,2.8,7g3YR_98FLY_000003.jpg,7g3YR_98FLY_000003.jpg,white_rect,391,222
7g3YR_98FLY,3.6,7g3YR_98FLY_000004.jpg,7g3YR_98FLY_000004.jpg,white_rect,384,224
7g3YR_98FLY,4.2,7g3YR_98FLY_000004_1.jpg,7g3YR_98FLY_000004_1.jpg,white_rect,382,223
7g3YR_98FLY,4.8,7g3YR_98FLY_000005.jpg,7g3YR_98FLY_000005.jpg,white_rect,384,223
7g3YR_98FLY,6.4,7g3YR_98FLY_000006.jpg,7g3YR_98FLY_000006.jpg,white_rect,387,192
7g3YR_98FLY,9.4,7g3YR_98FLY_000009.jpg,7g3YR_98FLY_000009.jpg,white_rect,386,190
7g3YR_98FLY,14.0,7g3YR_98FLY_000014.jpg,7g3YR_98FLY_000014.jpg,white_rect,387,192
7g3YR_98FLY,15.6,7g3YR_98FLY_000016.jpg,7g3YR_98FLY_000016.jpg,white_rect,410,191
7g3YR_98FLY,16.6,7g3YR_98FLY_000017.jpg,7g3YR_98FLY_000017.jpg,white_rect,409,191
7g3YR_98FLY,17.6,7g3YR_98FLY_000018.jpg,7g3YR_98FLY_000018.jpg,white_rect,387,191
7g3YR_98FLY,20.4,7g3YR_98FLY_000020.jpg,7g3YR_98FLY_000020.jpg,white_rect,552,302
7g3YR_98FLY,25.0,7g3YR_98FLY_000025.jpg,7g3YR_98FLY_000025.jpg,white_rect,384,151
7g3YR_98FLY,30.8,7g3YR_98FLY_000031.jpg,7g3YR_98FLY_000031.jpg,white_rect,547,211
7g3YR_98FLY,36.4,7g3YR_98FLY_000036.jpg,7g3YR_98FLY_000036.jpg,white_rect,422,302
7g3YR_98FLY,41.2,7g3YR_98FLY_000041.jpg,7g3YR_98FLY_000041.jpg,white_rect,455,230
7g3YR_98FLY,46.6,7g3YR_98FLY_000047.jpg,7g3YR_98FLY_000047.jpg,white_rect,622,196
7g3YR_98FLY,52.8,7g3YR_98FLY_000053.jpg,7g3YR_98FLY_000053.jpg,white_rect,522,140
7g3YR_98FLY,56.4,7g3YR_98FLY_000056.jpg,7g3YR_98FLY_000056.jpg,white_rect,440,140
7g3YR_98FLY,61.8,7g3YR_98FLY_000102.jpg,7g3YR_98FLY_000102.jpg,white_rect,622,139
7g3YR_98FLY,67.0,7g3YR_98FLY_000107.jpg,7g3YR_98FLY_000107.jpg,white_rect,567,173
7g3YR_98FLY,72.4,7g3YR_98FLY_000112.jpg,7g3YR_98FLY_000112.jpg,white_rect,397,138
7g3YR_98FLY,77.2,7g3YR_98FLY_000117.jpg,7g3YR_98FLY_000117.jpg,white_rect,175,102
7g3YR_98FLY,82.0,7g3YR_98FLY_000122.jpg,7g3YR_98FLY_000122.jpg,white_rect,223,160
7g3YR_98FLY,86.8,7g3YR_98FLY_000127.jpg,7g3YR_98FLY_000127.jpg,white_rect,487,144
