name,price,volume_ml,n_frames,t_start,t_end
글렌피릭15년700ml,99800,700,1,20.4,20.4
글산글라사 포트스이700m,89800,700,1,36.4,36.4
더글렌드로낙 을로로쓰 12년11 트레이디스는 성성카드,99800,,1,41.2,41.2
만19세미만청소년에게는절,159800,750,1,46.6,46.6
백걸란더블캐스크 12년700ml,99800,700,1,82.0,82.0
와일드터키레어브리드750ml,79800,750,1,91.8,91.8
이글레어10년 750ml,74800,750,1,96.8,96.8
부쉬일 15년싱글을트700ml,99800,700,1,108.0,108.0
생플입니다,69800,,1,117.6,117.6
글랜피닥12년700ml,69800,700,1,127.6,127.6
버탈로트레이스1L,49980,1000,1,143.2,143.2
듀어스 15년 파인오크스페널 리저브 700m,59400,700,1,149.2,149.2
조니워커레드1.75,49940,700,1,168.4,168.4
조니워커플랙라700ml,44800,700,2,173.2,178.4
위스키700ml,49940,700,1,209.4,209.4
몸해이사파이어진750m,30980,750,1,223.8,223.8
골든플루사피루스 450mi,28980,,1,229.0,229.0
탈리스만 위스키1L,16980,1000,1,234.0,234.0
파이어 750 mL+ 시그니처 글라스 1개),34980,750,1,244.8,244.8
"달모어12년700ml 100mI당 14,2578",99800,700,1,349.4,349.4
