video_id,t_sec,hhmmss,path,mean_diff,n_frames
AHC6A7ukkrM,8.6,000009,AHC6A7ukkrM_000009.jpg,1.04,3
AHC6A7ukkrM,10.4,000010,AHC6A7ukkrM_000010.jpg,1.357,6
AHC6A7ukkrM,11.4,000011,AHC6A7ukkrM_000011.jpg,0.946,5
AHC6A7ukkrM,14.6,000015,AHC6A7ukkrM_000015.jpg,2.857,2
AHC6A7ukkrM,15.6,000016,AHC6A7ukkrM_000016.jpg,2.625,2
AHC6A7ukkrM,16.6,000017,AHC6A7ukkrM_000017.jpg,2.516,2
AHC6A7ukkrM,72.6,000113,AHC6A7ukkrM_000113.jpg,2.505,2
AHC6A7ukkrM,73.6,000114,AHC6A7ukkrM_000114.jpg,2.679,3
AHC6A7ukkrM,74.6,000115,AHC6A7ukkrM_000115.jpg,2.749,2
AHC6A7ukkrM,75.2,000115,AHC6A7ukkrM_000115_1.jpg,2.888,2
AHC6A7ukkrM,76.2,000116,AHC6A7ukkrM_000116.jpg,2.728,8
AHC6A7ukkrM,156.4,000236,AHC6A7ukkrM_000236.jpg,2.668,4
AHC6A7ukkrM,157.2,000237,AHC6A7ukkrM_000237.jpg,2.79,5
AHC6A7ukkrM,158.4,000238,AHC6A7ukkrM_000238.jpg,2.72,4
AHC6A7ukkrM,159.0,000239,AHC6A7ukkrM_000239.jpg,2.889,3
AHC6A7ukkrM,159.6,000240,AHC6A7ukkrM_000240.jpg,2.159,2
AHC6A7ukkrM,160.2,000240,AHC6A7ukkrM_000240_1.jpg,2.927,2
AHC6A7ukkrM,160.6,000241,AHC6A7ukkrM_000241.jpg,2.49,2
AHC6A7ukkrM,310.0,000510,AHC6A7ukkrM_000510.jpg,0.037,50
