video_id,t_sec,hhmmss,path,mean_diff,n_frames
GTnHWxwFsTc,26.8,000027,GTnHWxwFsTc_000027.jpg,0.846,8
GTnHWxwFsTc,28.8,000029,GTnHWxwFsTc_000029.jpg,0.0,6
GTnHWxwFsTc,31.6,000032,GTnHWxwFsTc_000032.jpg,2.004,23
GTnHWxwFsTc,37.8,000038,GTnHWxwFsTc_000038.jpg,0.899,25
GTnHWxwFsTc,41.8,000042,GTnHWxwFsTc_000042.jpg,2.879,2
GTnHWxwFsTc,42.8,000043,GTnHWxwFsTc_000043.jpg,2.757,2
GTnHWxwFsTc,44.8,000045,GTnHWxwFsTc_000045.jpg,1.998,15
GTnHWxwFsTc,47.8,000048,GTnHWxwFsTc_000048.jpg,2.073,4
GTnHWxwFsTc,50.8,000051,GTnHWxwFsTc_000051.jpg,2.113,8
GTnHWxwFsTc,51.8,000052,GTnHWxwFsTc_000052.jpg,2.567,2
GTnHWxwFsTc,54.2,000054,GTnHWxwFsTc_000054.jpg,1.681,8
GTnHWxwFsTc,56.6,000057,GTnHWxwFsTc_000057.jpg,1.495,17
GTnHWxwFsTc,74.0,000114,GTnHWxwFsTc_000114.jpg,2.542,9
GTnHWxwFsTc,75.6,000116,GTnHWxwFsTc_000116.jpg,1.425,7
GTnHWxwFsTc,79.8,000120,GTnHWxwFsTc_000120.jpg,1.619,25
GTnHWxwFsTc,84.0,000124,GTnHWxwFsTc_000124.jpg,2.285,7
GTnHWxwFsTc,86.0,000126,GTnHWxwFsTc_000126.jpg,2.482,10
GTnHWxwFsTc,89.8,000130,GTnHWxwFsTc_000130.jpg,2.81,2
GTnHWxwFsTc,92.4,000132,GTnHWxwFsTc_000132.jpg,1.955,19
GTnHWxwFsTc,97.6,000138,GTnHWxwFsTc_000138.jpg,2.011,23
GTnHWxwFsTc,100.2,000140,GTnHWxwFsTc_000140.jpg,2.391,2
GTnHWxwFsTc,103.2,000143,GTnHWxwFsTc_000143.jpg,2.236,18
GTnHWxwFsTc,105.6,000146,GTnHWxwFsTc_000146.jpg,1.392,7
GTnHWxwFsTc,109.8,000150,GTnHWxwFsTc_000150.jpg,0.995,25
GTnHWxwFsTc,115.8,000156,GTnHWxwFsTc_000156.jpg,0.855,25
GTnHWxwFsTc,128.2,000208,GTnHWxwFsTc_000208.jpg,2.3,17
GTnHWxwFsTc,130.2,000210,GTnHWxwFsTc_000210.jpg,2.016,2
GTnHWxwFsTc,133.8,000214,GTnHWxwFsTc_000214.jpg,1.555,25
GTnHWxwFsTc,138.2,000218,GTnHWxwFsTc_000218.jpg,2.752,8
GTnHWxwFsTc,143.8,000224,GTnHWxwFsTc_000224.jpg,2.73,2
GTnHWxwFsTc,145.8,000226,GTnHWxwFsTc_000226.jpg,2.613,2
GTnHWxwFsTc,146.8,000227,GTnHWxwFsTc_000227.jpg,2.789,2
GTnHWxwFsTc,147.8,000228,GTnHWxwFsTc_000228.jpg,2.719,2
GTnHWxwFsTc,151.2,000231,GTnHWxwFsTc_000231.jpg,2.454,8
GTnHWxwFsTc,157.6,000238,GTnHWxwFsTc_000238.jpg,2.374,23
GTnHWxwFsTc,160.2,000240,GTnHWxwFsTc_000240.jpg,1.965,2
GTnHWxwFsTc,163.8,000244,GTnHWxwFsTc_000244.jpg,1.728,25
GTnHWxwFsTc,169.8,000250,GTnHWxwFsTc_000250.jpg,1.318,25
GTnHWxwFsTc,183.2,000303,GTnHWxwFsTc_000303.jpg,2.392,12
GTnHWxwFsTc,187.8,000308,GTnHWxwFsTc_000308.jpg,0.803,25
GTnHWxwFsTc,192.6,000313,GTnHWxwFsTc_000313.jpg,2.728,8
GTnHWxwFsTc,193.8,000314,GTnHWxwFsTc_000314.jpg,2.671,2
GTnHWxwFsTc,194.2,000314,GTnHWxwFsTc_000314_1.jpg,2.97,2
GTnHWxwFsTc,195.8,000316,GTnHWxwFsTc_000316.jpg,2.788,2
GTnHWxwFsTc,196.2,000316,GTnHWxwFsTc_000316_1.jpg,2.995,2
GTnHWxwFsTc,205.8,000326,GTnHWxwFsTc_000326.jpg,0.521,25
GTnHWxwFsTc,211.8,000332,GTnHWxwFsTc_000332.jpg,1.268,25
GTnHWxwFsTc,215.8,000336,GTnHWxwFsTc_000336.jpg,2.919,2
GTnHWxwFsTc,219.4,000339,GTnHWxwFsTc_000339.jpg,2.548,5
GTnHWxwFsTc,220.2,000340,GTnHWxwFsTc_000340.jpg,2.33,2
GTnHWxwFsTc,223.8,000344,GTnHWxwFsTc_000344.jpg,1.443,25
GTnHWxwFsTc,228.6,000349,GTnHWxwFsTc_000349.jpg,1.721,13
GTnHWxwFsTc,231.2,000351,GTnHWxwFsTc_000351.jpg,1.588,12
GTnHWxwFsTc,234.2,000354,GTnHWxwFsTc_000354.jpg,1.873,8
GTnHWxwFsTc,236.6,000357,GTnHWxwFsTc_000357.jpg,2.022,17
GTnHWxwFsTc,241.8,000402,GTnHWxwFsTc_000402.jpg,0.758,25
GTnHWxwFsTc,247.8,000408,GTnHWxwFsTc_000408.jpg,1.079,25
GTnHWxwFsTc,252.2,000412,GTnHWxwFsTc_000412.jpg,2.672,9
GTnHWxwFsTc,254.2,000414,GTnHWxwFsTc_000414.jpg,2.735,8
GTnHWxwFsTc,255.6,000416,GTnHWxwFsTc_000416.jpg,2.43,7
GTnHWxwFsTc,261.0,000421,GTnHWxwFsTc_000421.jpg,2.768,9
GTnHWxwFsTc,265.8,000426,GTnHWxwFsTc_000426.jpg,1.244,26
GTnHWxwFsTc,269.6,000430,GTnHWxwFsTc_000430.jpg,2.306,3
GTnHWxwFsTc,271.6,000432,GTnHWxwFsTc_000432.jpg,2.325,16
GTnHWxwFsTc,277.8,000438,GTnHWxwFsTc_000438.jpg,1.272,25
GTnHWxwFsTc,283.8,000444,GTnHWxwFsTc_000444.jpg,2.911,2
GTnHWxwFsTc,284.4,000444,GTnHWxwFsTc_000444_1.jpg,2.43,5
GTnHWxwFsTc,285.2,000445,GTnHWxwFsTc_000445.jpg,2.754,2
GTnHWxwFsTc,286.0,000446,GTnHWxwFsTc_000446.jpg,2.724,4
GTnHWxwFsTc,289.8,000450,GTnHWxwFsTc_000450.jpg,1.368,25
GTnHWxwFsTc,301.8,000502,GTnHWxwFsTc_000502.jpg,1.417,25
GTnHWxwFsTc,307.6,000508,GTnHWxwFsTc_000508.jpg,1.517,23
GTnHWxwFsTc,310.2,000510,GTnHWxwFsTc_000510.jpg,2.435,2
GTnHWxwFsTc,312.8,000513,GTnHWxwFsTc_000513.jpg,2.99,2
GTnHWxwFsTc,314.0,000514,GTnHWxwFsTc_000514.jpg,2.481,8
GTnHWxwFsTc,319.8,000520,GTnHWxwFsTc_000520.jpg,1.18,25
