video_id,t_sec,hhmmss,path,mean_diff,n_frames
I8pxUTDSqiw,0.2,000000,I8pxUTDSqiw_000000.jpg,2.215,2
I8pxUTDSqiw,5.2,000005,I8pxUTDSqiw_000005.jpg,1.632,43
I8pxUTDSqiw,12.4,000012,I8pxUTDSqiw_000012.jpg,2.05,12
I8pxUTDSqiw,14.8,000015,I8pxUTDSqiw_000015.jpg,2.589,2
I8pxUTDSqiw,15.2,000015,I8pxUTDSqiw_000015_1.jpg,2.79,2
I8pxUTDSqiw,15.8,000016,I8pxUTDSqiw_000016.jpg,2.562,4
I8pxUTDSqiw,17.2,000017,I8pxUTDSqiw_000017.jpg,2.762,6
I8pxUTDSqiw,18.6,000019,I8pxUTDSqiw_000019.jpg,2.237,4
I8pxUTDSqiw,20.8,000021,I8pxUTDSqiw_000021.jpg,1.472,2
I8pxUTDSqiw,22.6,000023,I8pxUTDSqiw_000023.jpg,1.808,10
I8pxUTDSqiw,26.6,000027,I8pxUTDSqiw_000027.jpg,1.564,30
I8pxUTDSqiw,31.2,000031,I8pxUTDSqiw_000031.jpg,0.14,15
I8pxUTDSqiw,36.8,000037,I8pxUTDSqiw_000037.jpg,0.171,16
I8pxUTDSqiw,42.0,000042,I8pxUTDSqiw_000042.jpg,0.051,15
I8pxUTDSqiw,46.6,000047,I8pxUTDSqiw_000047.jpg,0.212,16
I8pxUTDSqiw,51.4,000051,I8pxUTDSqiw_000051.jpg,0.179,15
I8pxUTDSqiw,57.0,000057,I8pxUTDSqiw_000057.jpg,0.188,16
I8pxUTDSqiw,60.4,000100,I8pxUTDSqiw_000100.jpg,0.262,16
I8pxUTDSqiw,62.4,000102,I8pxUTDSqiw_000102.jpg,2.77,4
I8pxUTDSqiw,65.2,000105,I8pxUTDSqiw_000105.jpg,0.363,15
I8pxUTDSqiw,70.4,000110,I8pxUTDSqiw_000110.jpg,0.353,15
I8pxUTDSqiw,75.6,000116,I8pxUTDSqiw_000116.jpg,0.352,15
I8pxUTDSqiw,80.4,000120,I8pxUTDSqiw_000120.jpg,0.262,16
I8pxUTDSqiw,85.4,000125,I8pxUTDSqiw_000125.jpg,0.341,15
I8pxUTDSqiw,90.8,000131,I8pxUTDSqiw_000131.jpg,0.267,15
I8pxUTDSqiw,94.6,000135,I8pxUTDSqiw_000135.jpg,0.369,16
I8pxUTDSqiw,100.0,000140,I8pxUTDSqiw_000140.jpg,0.22,15
I8pxUTDSqiw,105.0,000145,I8pxUTDSqiw_000145.jpg,0.112,16
I8pxUTDSqiw,109.8,000150,I8pxUTDSqiw_000150.jpg,0.19,15
I8pxUTDSqiw,115.0,000155,I8pxUTDSqiw_000155.jpg,0.311,15
I8pxUTDSqiw,119.8,000200,I8pxUTDSqiw_000200.jpg,0.281,15
I8pxUTDSqiw,124.4,000204,I8pxUTDSqiw_000204.jpg,0.37,16
I8pxUTDSqiw,129.8,000210,I8pxUTDSqiw_000210.jpg,0.208,15
I8pxUTDSqiw,133.6,000214,I8pxUTDSqiw_000214.jpg,0.238,16
I8pxUTDSqiw,139.0,000219,I8pxUTDSqiw_000219.jpg,0.222,16
I8pxUTDSqiw,144.0,000224,I8pxUTDSqiw_000224.jpg,0.233,15
I8pxUTDSqiw,148.8,000229,I8pxUTDSqiw_000229.jpg,0.275,15
I8pxUTDSqiw,154.0,000234,I8pxUTDSqiw_000234.jpg,0.294,15
I8pxUTDSqiw,158.8,000239,I8pxUTDSqiw_000239.jpg,0.255,16
I8pxUTDSqiw,163.4,000243,I8pxUTDSqiw_000243.jpg,0.27,16
I8pxUTDSqiw,168.8,000249,I8pxUTDSqiw_000249.jpg,0.212,15
I8pxUTDSqiw,174.0,000254,I8pxUTDSqiw_000254.jpg,0.194,15
I8pxUTDSqiw,180.2,000300,I8pxUTDSqiw_000300.jpg,0.161,15
I8pxUTDSqiw,185.2,000305,I8pxUTDSqiw_000305.jpg,0.076,16
I8pxUTDSqiw,190.6,000311,I8pxUTDSqiw_000311.jpg,0.27,15
I8pxUTDSqiw,195.4,000315,I8pxUTDSqiw_000315.jpg,0.242,15
I8pxUTDSqiw,201.0,000321,I8pxUTDSqiw_000321.jpg,0.234,16
I8pxUTDSqiw,206.6,000327,I8pxUTDSqiw_000327.jpg,0.161,15
I8pxUTDSqiw,211.4,000331,I8pxUTDSqiw_000331.jpg,0.006,15
I8pxUTDSqiw,215.4,000335,I8pxUTDSqiw_000335.jpg,0.359,16
I8pxUTDSqiw,220.4,000340,I8pxUTDSqiw_000340.jpg,0.315,15
I8pxUTDSqiw,225.8,000346,I8pxUTDSqiw_000346.jpg,0.286,16
I8pxUTDSqiw,231.8,000352,I8pxUTDSqiw_000352.jpg,0.073,15
I8pxUTDSqiw,237.2,000357,I8pxUTDSqiw_000357.jpg,0.056,15
I8pxUTDSqiw,242.4,000402,I8pxUTDSqiw_000402.jpg,0.117,15
I8pxUTDSqiw,247.8,000408,I8pxUTDSqiw_000408.jpg,0.056,15
I8pxUTDSqiw,253.6,000414,I8pxUTDSqiw_000414.jpg,0.137,15
I8pxUTDSqiw,259.0,000419,I8pxUTDSqiw_000419.jpg,0.125,15
I8pxUTDSqiw,264.6,000425,I8pxUTDSqiw_000425.jpg,0.213,15
I8pxUTDSqiw,269.6,000430,I8pxUTDSqiw_000430.jpg,0.188,15
I8pxUTDSqiw,274.8,000435,I8pxUTDSqiw_000435.jpg,0.238,16
I8pxUTDSqiw,278.8,000439,I8pxUTDSqiw_000439.jpg,0.202,15
I8pxUTDSqiw,284.2,000444,I8pxUTDSqiw_000444.jpg,0.198,15
I8pxUTDSqiw,289.4,000449,I8pxUTDSqiw_000449.jpg,0.174,16
I8pxUTDSqiw,294.8,000455,I8pxUTDSqiw_000455.jpg,0.126,15
I8pxUTDSqiw,300.0,000500,I8pxUTDSqiw_000500.jpg,0.298,16
I8pxUTDSqiw,305.0,000505,I8pxUTDSqiw_000505.jpg,0.164,16
I8pxUTDSqiw,310.6,000511,I8pxUTDSqiw_000511.jpg,0.171,15
I8pxUTDSqiw,315.4,000515,I8pxUTDSqiw_000515.jpg,0.235,15
I8pxUTDSqiw,320.4,000520,I8pxUTDSqiw_000520.jpg,0.245,15
I8pxUTDSqiw,326.2,000526,I8pxUTDSqiw_000526.jpg,0.408,16
I8pxUTDSqiw,331.2,000531,I8pxUTDSqiw_000531.jpg,0.166,16
I8pxUTDSqiw,336.8,000537,I8pxUTDSqiw_000537.jpg,0.091,15
I8pxUTDSqiw,341.4,000541,I8pxUTDSqiw_000541.jpg,0.295,16
I8pxUTDSqiw,347.2,000547,I8pxUTDSqiw_000547.jpg,0.074,15
I8pxUTDSqiw,352.4,000552,I8pxUTDSqiw_000552.jpg,0.244,16
I8pxUTDSqiw,357.4,000557,I8pxUTDSqiw_000557.jpg,0.0,15
I8pxUTDSqiw,362.8,000603,I8pxUTDSqiw_000603.jpg,0.061,15
I8pxUTDSqiw,368.0,000608,I8pxUTDSqiw_000608.jpg,0.118,15
I8pxUTDSqiw,374.0,000614,I8pxUTDSqiw_000614.jpg,0.317,16
I8pxUTDSqiw,378.8,000619,I8pxUTDSqiw_000619.jpg,0.198,15
I8pxUTDSqiw,384.6,000625,I8pxUTDSqiw_000625.jpg,0.259,15
I8pxUTDSqiw,390.0,000630,I8pxUTDSqiw_000630.jpg,0.316,16
I8pxUTDSqiw,395.0,000635,I8pxUTDSqiw_000635.jpg,0.254,15
I8pxUTDSqiw,400.4,000640,I8pxUTDSqiw_000640.jpg,0.29,15
I8pxUTDSqiw,404.4,000644,I8pxUTDSqiw_000644.jpg,0.281,15
I8pxUTDSqiw,410.0,000650,I8pxUTDSqiw_000650.jpg,0.213,16
I8pxUTDSqiw,415.4,000655,I8pxUTDSqiw_000655.jpg,0.113,15
I8pxUTDSqiw,421.4,000701,I8pxUTDSqiw_000701.jpg,0.006,15
I8pxUTDSqiw,426.8,000707,I8pxUTDSqiw_000707.jpg,0.002,15
I8pxUTDSqiw,431.6,000712,I8pxUTDSqiw_000712.jpg,0.181,15
I8pxUTDSqiw,436.8,000717,I8pxUTDSqiw_000717.jpg,0.049,16
I8pxUTDSqiw,442.8,000723,I8pxUTDSqiw_000723.jpg,0.087,16
I8pxUTDSqiw,448.0,000728,I8pxUTDSqiw_000728.jpg,0.031,15
I8pxUTDSqiw,454.2,000734,I8pxUTDSqiw_000734.jpg,0.266,16
I8pxUTDSqiw,459.4,000739,I8pxUTDSqiw_000739.jpg,0.178,16
I8pxUTDSqiw,463.2,000743,I8pxUTDSqiw_000743.jpg,0.07,16
I8pxUTDSqiw,468.2,000748,I8pxUTDSqiw_000748.jpg,0.162,16
I8pxUTDSqiw,473.4,000753,I8pxUTDSqiw_000753.jpg,0.049,15
I8pxUTDSqiw,478.8,000759,I8pxUTDSqiw_000759.jpg,0.081,15
I8pxUTDSqiw,484.4,000804,I8pxUTDSqiw_000804.jpg,0.251,15
I8pxUTDSqiw,489.4,000809,I8pxUTDSqiw_000809.jpg,0.247,15
I8pxUTDSqiw,495.2,000815,I8pxUTDSqiw_000815.jpg,0.189,15
I8pxUTDSqiw,501.0,000821,I8pxUTDSqiw_000821.jpg,0.279,16
I8pxUTDSqiw,505.8,000826,I8pxUTDSqiw_000826.jpg,0.143,15
I8pxUTDSqiw,511.0,000831,I8pxUTDSqiw_000831.jpg,0.099,15
I8pxUTDSqiw,515.6,000836,I8pxUTDSqiw_000836.jpg,0.09,15
I8pxUTDSqiw,521.4,000841,I8pxUTDSqiw_000841.jpg,0.248,16
