name,price,volume_ml,n_frames,t_start,t_end
글렌피픽12년[500],49800,,1,148.8,148.8
시바스리갈13년세리,40000,700,1,174.0,174.0
남두 21년,598000,,1,211.4,211.4
토알살루트21년몰트,225000,700,1,225.8,225.8
몰트락20년,575000,700,1,259.0,259.0
은하철도999(50),89900,700,1,284.2,284.2
시그나토리에드라두어7년 이노규럴,279000,700,1,331.2,331.2
버팔로트레이스,45000,750,1,341.4,341.4
하이 웨스트버,69800,700,1,390.0,390.0
카발란 디스틸러리 설렉트,85000,,1,489.4,489.4
아드백 25년,1650000,,1,531.6,531.6
맥캘란 30년세리오크,7500000,,1,547.4,547.4
클렌로티,1250000,,1,573.6,573.6
글렌드로낙1,75900,700,1,578.6,578.6
글렌드로낙21년,475000,700,1,588.6,588.6
탐나불린쉐리캐스크,39800,700,1,620.4,620.4
벤로막킬런드라이,129000,700,1,636.2,636.2
듀어스15년,66500,700,1,653.0,653.0
열로우로즈 아웃로우버번,239000,,2,691.6,697.0
옐로우로즈서울에디션,78000,700,1,702.4,702.4
벤로막버진오크13,115000,,1,706.6,706.6
벤로막 15년,159800,700,1,711.6,711.6
아드백 스모크트레일,169000,,1,722.4,722.4
너피브록CS,89000,,1,759.6,759.6
드26년,74000,,1,796.4,796.4
와일드터키101 (1L),77000,1000,1,801.0,801.0
사제락라이,77900,,1,850.0,850.0
1792 스올배치,99800,,1,877.2,877.2
조니워커블루,259000,750,1,926.4,926.4
데이비스 카운티 스트레이트버벤,98500,,1,949.0,949.0
보모어18년(구행),169800,,2,1042.6,1044.2
2025 샌프란시스코,118000,,1,1088.2,1088.2
다이센 사쿠라 캐스크,45000,,1,1120.2,1120.2
일품진로 24년산,350000,,1,1126.0,1126.0
앱솔루트라즈베리,22500,,1,1219.0,1219.0
트 보드기,22000,,1,1223.8,1223.8
엑스레이티드,23000,,1,1265.4,1265.4
고량원장,15800,480,1,1286.8,1286.8
캡린모건 스파이스트,23000,,1,1291.6,1291.6
공부가주자약40.8%,32900,,1,1311.8,1311.8
양하블루,39000,,2,1322.8,1327.8
가 정용,15000,,1,1342.4,1342.4
인태 와이트,20000,,1,1347.4,1347.4
연태 고량주 블루,44000,,1,1353.2,1353.2
