video_id,t_sec,hhmmss,path,mean_diff,n_frames
KNvhsGbAdvY,13.6,000014,KNvhsGbAdvY_000014.jpg,0.813,8
KNvhsGbAdvY,15.0,000015,KNvhsGbAdvY_000015.jpg,0.351,3
KNvhsGbAdvY,15.8,000016,KNvhsGbAdvY_000016.jpg,0.0,5
KNvhsGbAdvY,18.2,000018,KNvhsGbAdvY_000018.jpg,2.003,18
KNvhsGbAdvY,20.6,000021,KNvhsGbAdvY_000021.jpg,2.486,7
KNvhsGbAdvY,22.8,000023,KNvhsGbAdvY_000023.jpg,2.568,5
KNvhsGbAdvY,24.2,000024,KNvhsGbAdvY_000024.jpg,2.973,2
KNvhsGbAdvY,27.2,000027,KNvhsGbAdvY_000027.jpg,2.923,2
KNvhsGbAdvY,29.2,000029,KNvhsGbAdvY_000029.jpg,1.342,8
KNvhsGbAdvY,31.6,000032,KNvhsGbAdvY_000032.jpg,2.179,17
KNvhsGbAdvY,34.6,000035,KNvhsGbAdvY_000035.jpg,2.389,3
KNvhsGbAdvY,37.2,000037,KNvhsGbAdvY_000037.jpg,2.172,22
KNvhsGbAdvY,42.2,000042,KNvhsGbAdvY_000042.jpg,1.914,18
KNvhsGbAdvY,44.2,000044,KNvhsGbAdvY_000044.jpg,2.735,2
KNvhsGbAdvY,45.2,000045,KNvhsGbAdvY_000045.jpg,2.806,2
KNvhsGbAdvY,55.0,000055,KNvhsGbAdvY_000055.jpg,0.744,26
KNvhsGbAdvY,61.0,000101,KNvhsGbAdvY_000101.jpg,0.808,26
KNvhsGbAdvY,64.6,000105,KNvhsGbAdvY_000105.jpg,2.068,3
KNvhsGbAdvY,67.2,000107,KNvhsGbAdvY_000107.jpg,1.754,23
KNvhsGbAdvY,72.6,000113,KNvhsGbAdvY_000113.jpg,1.865,23
KNvhsGbAdvY,75.2,000115,KNvhsGbAdvY_000115.jpg,1.817,2
KNvhsGbAdvY,78.8,000119,KNvhsGbAdvY_000119.jpg,1.738,25
KNvhsGbAdvY,83.2,000123,KNvhsGbAdvY_000123.jpg,2.579,2
KNvhsGbAdvY,84.0,000124,KNvhsGbAdvY_000124.jpg,2.842,5
KNvhsGbAdvY,86.2,000126,KNvhsGbAdvY_000126.jpg,2.913,2
KNvhsGbAdvY,87.0,000127,KNvhsGbAdvY_000127.jpg,2.595,3
