video_id,t_sec,hhmmss,path,mean_diff,n_frames
KoaUsHp5By8,1.0,000001,KoaUsHp5By8_000001_start.jpg,0.0,1
KoaUsHp5By8,17.0,000017,KoaUsHp5By8_000017.jpg,1.184,2
KoaUsHp5By8,19.4,000019,KoaUsHp5By8_000019.jpg,0.0,2
KoaUsHp5By8,20.8,000021,KoaUsHp5By8_000021.jpg,1.969,2
KoaUsHp5By8,26.6,000027,KoaUsHp5By8_000027.jpg,0.598,2
KoaUsHp5By8,32.8,000033,KoaUsHp5By8_000033.jpg,2.515,2
KoaUsHp5By8,38.8,000039,KoaUsHp5By8_000039.jpg,2.284,2
KoaUsHp5By8,44.8,000045,KoaUsHp5By8_000045.jpg,2.61,2
KoaUsHp5By8,46.4,000046,KoaUsHp5By8_000046.jpg,3.625,2
KoaUsHp5By8,50.8,000051,KoaUsHp5By8_000051.jpg,2.65,2
KoaUsHp5By8,56.6,000057,KoaUsHp5By8_000057.jpg,1.745,2
KoaUsHp5By8,62.8,000103,KoaUsHp5By8_000103.jpg,3.317,2
KoaUsHp5By8,68.8,000109,KoaUsHp5By8_000109.jpg,1.786,2
KoaUsHp5By8,76.6,000117,KoaUsHp5By8_000117.jpg,3.009,2
KoaUsHp5By8,80.8,000121,KoaUsHp5By8_000121.jpg,2.387,2
KoaUsHp5By8,86.6,000127,KoaUsHp5By8_000127.jpg,0.818,2
KoaUsHp5By8,92.8,000133,KoaUsHp5By8_000133.jpg,1.575,2
KoaUsHp5By8,98.6,000139,KoaUsHp5By8_000139.jpg,0.786,2
KoaUsHp5By8,104.8,000145,KoaUsHp5By8_000145.jpg,2.256,2
KoaUsHp5By8,110.8,000151,KoaUsHp5By8_000151.jpg,1.565,2
KoaUsHp5By8,116.6,000157,KoaUsHp5By8_000157.jpg,1.506,2
KoaUsHp5By8,122.6,000203,KoaUsHp5By8_000203.jpg,1.795,2
KoaUsHp5By8,126.8,000207,KoaUsHp5By8_000207.jpg,2.99,2
KoaUsHp5By8,129.2,000209,KoaUsHp5By8_000209.jpg,2.741,2
KoaUsHp5By8,134.8,000215,KoaUsHp5By8_000215.jpg,0.792,2
KoaUsHp5By8,140.8,000221,KoaUsHp5By8_000221.jpg,1.309,2
KoaUsHp5By8,144.8,000225,KoaUsHp5By8_000225.jpg,3.792,2
KoaUsHp5By8,146.8,000227,KoaUsHp5By8_000227.jpg,3.458,2
KoaUsHp5By8,149.8,000230,KoaUsHp5By8_000230.jpg,3.857,2
KoaUsHp5By8,152.8,000233,KoaUsHp5By8_000233.jpg,3.014,2
KoaUsHp5By8,158.8,000239,KoaUsHp5By8_000239.jpg,2.134,2
KoaUsHp5By8,164.8,000245,KoaUsHp5By8_000245.jpg,3.55,2
KoaUsHp5By8,165.8,000246,KoaUsHp5By8_000246.jpg,3.705,2
KoaUsHp5By8,170.8,000251,KoaUsHp5By8_000251.jpg,2.985,2
KoaUsHp5By8,173.8,000254,KoaUsHp5By8_000254.jpg,3.429,2
KoaUsHp5By8,176.8,000257,KoaUsHp5By8_000257.jpg,1.284,2
KoaUsHp5By8,182.8,000303,KoaUsHp5By8_000303.jpg,1.743,2
KoaUsHp5By8,188.6,000309,KoaUsHp5By8_000309.jpg,1.184,2
KoaUsHp5By8,200.8,000321,KoaUsHp5By8_000321.jpg,2.727,2
KoaUsHp5By8,206.8,000327,KoaUsHp5By8_000327.jpg,3.259,2
KoaUsHp5By8,212.8,000333,KoaUsHp5By8_000333.jpg,2.746,2
KoaUsHp5By8,218.8,000339,KoaUsHp5By8_000339.jpg,3.762,2
KoaUsHp5By8,224.6,000345,KoaUsHp5By8_000345.jpg,1.236,2
KoaUsHp5By8,230.8,000351,KoaUsHp5By8_000351.jpg,3.461,2
KoaUsHp5By8,234.2,000354,KoaUsHp5By8_000354.jpg,3.514,2
KoaUsHp5By8,236.8,000357,KoaUsHp5By8_000357.jpg,3.309,2
KoaUsHp5By8,242.6,000403,KoaUsHp5By8_000403.jpg,1.494,2
KoaUsHp5By8,251.8,000412,KoaUsHp5By8_000412.jpg,3.698,2
KoaUsHp5By8,254.8,000415,KoaUsHp5By8_000415.jpg,1.93,2
KoaUsHp5By8,260.8,000421,KoaUsHp5By8_000421.jpg,2.735,2
KoaUsHp5By8,266.8,000427,KoaUsHp5By8_000427.jpg,2.856,2
KoaUsHp5By8,270.8,000431,KoaUsHp5By8_000431.jpg,3.443,2
KoaUsHp5By8,278.6,000439,KoaUsHp5By8_000439.jpg,0.756,2
KoaUsHp5By8,284.8,000445,KoaUsHp5By8_000445.jpg,1.867,2
KoaUsHp5By8,289.2,000449,KoaUsHp5By8_000449.jpg,3.102,2
KoaUsHp5By8,296.8,000457,KoaUsHp5By8_000457.jpg,0.822,2
KoaUsHp5By8,308.8,000509,KoaUsHp5By8_000509.jpg,2.922,2
KoaUsHp5By8,314.6,000515,KoaUsHp5By8_000515.jpg,0.712,2
KoaUsHp5By8,321.2,000521,KoaUsHp5By8_000521.jpg,3.199,2
KoaUsHp5By8,326.8,000527,KoaUsHp5By8_000527.jpg,3.075,2
KoaUsHp5By8,332.8,000533,KoaUsHp5By8_000533.jpg,0.638,2
KoaUsHp5By8,338.8,000539,KoaUsHp5By8_000539.jpg,2.718,2
KoaUsHp5By8,344.6,000545,KoaUsHp5By8_000545.jpg,1.22,2
KoaUsHp5By8,356.6,000557,KoaUsHp5By8_000557.jpg,0.36,2
KoaUsHp5By8,362.8,000603,KoaUsHp5By8_000603.jpg,2.933,2
KoaUsHp5By8,365.2,000605,KoaUsHp5By8_000605.jpg,3.888,2
KoaUsHp5By8,368.6,000609,KoaUsHp5By8_000609.jpg,1.394,2
KoaUsHp5By8,374.8,000615,KoaUsHp5By8_000615.jpg,1.417,2
KoaUsHp5By8,380.8,000621,KoaUsHp5By8_000621.jpg,0.852,2
KoaUsHp5By8,386.8,000627,KoaUsHp5By8_000627.jpg,3.021,2
KoaUsHp5By8,392.8,000633,KoaUsHp5By8_000633.jpg,3.848,2
KoaUsHp5By8,396.6,000637,KoaUsHp5By8_000637.jpg,2.844,2
KoaUsHp5By8,398.6,000639,KoaUsHp5By8_000639.jpg,1.539,2
KoaUsHp5By8,404.8,000645,KoaUsHp5By8_000645.jpg,2.559,2
KoaUsHp5By8,410.6,000651,KoaUsHp5By8_000651.jpg,0.842,2
KoaUsHp5By8,416.6,000657,KoaUsHp5By8_000657.jpg,1.014,2
KoaUsHp5By8,422.6,000703,KoaUsHp5By8_000703.jpg,1.01,2
KoaUsHp5By8,428.8,000709,KoaUsHp5By8_000709.jpg,1.366,2
KoaUsHp5By8,434.6,000715,KoaUsHp5By8_000715.jpg,0.687,2
KoaUsHp5By8,440.8,000721,KoaUsHp5By8_000721.jpg,3.218,2
KoaUsHp5By8,446.8,000727,KoaUsHp5By8_000727.jpg,1.134,2
KoaUsHp5By8,452.8,000733,KoaUsHp5By8_000733.jpg,2.9,2
KoaUsHp5By8,454.8,000735,KoaUsHp5By8_000735.jpg,2.723,2
KoaUsHp5By8,457.6,000738,KoaUsHp5By8_000738.jpg,0.003,2
