video_id,t_sec,hhmmss,path,mean_diff,n_frames
NjmXN3IY9CE,13.6,000014,NjmXN3IY9CE_000014.jpg,2.748,2
NjmXN3IY9CE,22.6,000023,NjmXN3IY9CE_000023.jpg,0.083,43
NjmXN3IY9CE,35.4,000035,NjmXN3IY9CE_000035.jpg,0.142,39
NjmXN3IY9CE,48.0,000048,NjmXN3IY9CE_000048.jpg,0.139,39
NjmXN3IY9CE,53.6,000054,NjmXN3IY9CE_000054.jpg,0.01,14
NjmXN3IY9CE,62.2,000102,NjmXN3IY9CE_000102.jpg,0.068,38
NjmXN3IY9CE,68.4,000108,NjmXN3IY9CE_000108.jpg,0.138,22
NjmXN3IY9CE,77.8,000118,NjmXN3IY9CE_000118.jpg,0.079,38
NjmXN3IY9CE,83.0,000123,NjmXN3IY9CE_000123.jpg,0.276,12
NjmXN3IY9CE,91.4,000131,NjmXN3IY9CE_000131.jpg,0.073,38
NjmXN3IY9CE,95.8,000136,NjmXN3IY9CE_000136.jpg,0.413,4
NjmXN3IY9CE,100.0,000140,NjmXN3IY9CE_000140.jpg,2.259,2
NjmXN3IY9CE,104.4,000144,NjmXN3IY9CE_000144.jpg,0.06,38
NjmXN3IY9CE,112.2,000152,NjmXN3IY9CE_000152.jpg,0.096,38
NjmXN3IY9CE,121.2,000201,NjmXN3IY9CE_000201.jpg,0.07,38
NjmXN3IY9CE,126.2,000206,NjmXN3IY9CE_000206.jpg,0.061,11
NjmXN3IY9CE,135.2,000215,NjmXN3IY9CE_000215.jpg,0.074,38
NjmXN3IY9CE,140.4,000220,NjmXN3IY9CE_000220.jpg,0.254,12
NjmXN3IY9CE,150.2,000230,NjmXN3IY9CE_000230.jpg,0.091,38
NjmXN3IY9CE,154.4,000234,NjmXN3IY9CE_000234.jpg,0.325,3
NjmXN3IY9CE,163.8,000244,NjmXN3IY9CE_000244.jpg,0.078,38
NjmXN3IY9CE,168.2,000248,NjmXN3IY9CE_000248.jpg,0.262,4
NjmXN3IY9CE,177.0,000257,NjmXN3IY9CE_000257.jpg,0.081,38
NjmXN3IY9CE,183.2,000303,NjmXN3IY9CE_000303.jpg,0.05,23
NjmXN3IY9CE,190.2,000310,NjmXN3IY9CE_000310.jpg,0.106,36
NjmXN3IY9CE,203.2,000323,NjmXN3IY9CE_000323.jpg,0.068,38
NjmXN3IY9CE,207.4,000327,NjmXN3IY9CE_000327.jpg,0.765,3
NjmXN3IY9CE,216.6,000337,NjmXN3IY9CE_000337.jpg,0.092,38
NjmXN3IY9CE,221.0,000341,NjmXN3IY9CE_000341.jpg,0.101,5
NjmXN3IY9CE,229.2,000349,NjmXN3IY9CE_000349.jpg,0.186,39
NjmXN3IY9CE,233.6,000354,NjmXN3IY9CE_000354.jpg,0.008,2
NjmXN3IY9CE,243.4,000403,NjmXN3IY9CE_000403.jpg,0.076,38
NjmXN3IY9CE,247.8,000408,NjmXN3IY9CE_000408.jpg,0.856,5
NjmXN3IY9CE,256.2,000416,NjmXN3IY9CE_000416.jpg,0.165,39
NjmXN3IY9CE,262.0,000422,NjmXN3IY9CE_000422.jpg,0.004,16
NjmXN3IY9CE,270.8,000431,NjmXN3IY9CE_000431.jpg,0.151,39
NjmXN3IY9CE,275.2,000435,NjmXN3IY9CE_000435.jpg,0.019,3
NjmXN3IY9CE,284.4,000444,NjmXN3IY9CE_000444.jpg,0.054,38
NjmXN3IY9CE,290.4,000450,NjmXN3IY9CE_000450.jpg,0.083,21
NjmXN3IY9CE,297.2,000457,NjmXN3IY9CE_000457.jpg,0.062,38
NjmXN3IY9CE,301.6,000502,NjmXN3IY9CE_000502.jpg,0.503,4
NjmXN3IY9CE,310.0,000510,NjmXN3IY9CE_000510.jpg,0.077,38
NjmXN3IY9CE,314.4,000514,NjmXN3IY9CE_000514.jpg,0.429,5
NjmXN3IY9CE,322.6,000523,NjmXN3IY9CE_000523.jpg,0.087,38
NjmXN3IY9CE,335.6,000536,NjmXN3IY9CE_000536.jpg,0.073,38
NjmXN3IY9CE,340.4,000540,NjmXN3IY9CE_000540.jpg,0.135,9
NjmXN3IY9CE,349.6,000550,NjmXN3IY9CE_000550.jpg,0.073,38
NjmXN3IY9CE,354.6,000555,NjmXN3IY9CE_000555.jpg,0.221,10
NjmXN3IY9CE,363.6,000604,NjmXN3IY9CE_000604.jpg,0.075,38
