name,price,volume_ml,n_frames,t_start,t_end
백젤란 12년더불캐스크700m,99800,700,1,150.2,150.2
라가불린 11년스윗피트700m!,89800,700,2,163.8,168.2
아란 쉐리캐스크700m,99800,700,1,190.2,190.2
탈리스거와일드볼부700m,84800,700,1,216.6,216.6
탈리스거와일드루700m,84800,700,1,221.0,221.0
일라이저 크레이그 스를 배치 1.75L,79400,1750,1,229.2,229.2
일라이저크레이그스을 배치 1.75L,79400,1750,1,233.6,233.6
러셀 리저브싱글배절750ml,99800,750,2,243.4,247.8
글랜피닥12년700,69800,,1,310.0,310.0
글랜피덕12년700m,69800,700,1,314.4,314.4
생플입니다,69800,,1,322.6,322.6
와일드터키 8년 1L,49980,1000,1,419.8,419.8
와일드터키 8년 11,49980,,1,424.2,424.2
조니워커불랙라벨700ml,49980,700,2,445.0,450.8
1792스치750ml,44980,750,1,537.6,537.6
1792치750ml,44980,750,1,542.6,542.6
루시스450m,28980,,1,563.8,563.8
발벤타인파이니스트1,28980,,1,702.2,702.2
칼라일 불렌디드스카치 위스키 1.51,23980,,2,710.4,715.0
과일·체소계란,99800,,4,760.0,778.8
