video_id,t_sec,hhmmss,path,mean_diff,n_frames
QeGCpiC3ewI,1.0,000001,QeGCpiC3ewI_000001_start.jpg,0.0,1
QeGCpiC3ewI,25.0,000025,QeGCpiC3ewI_000025_2.jpg,3.579,2
QeGCpiC3ewI,27.8,000028,QeGCpiC3ewI_000028_2.jpg,3.072,2
QeGCpiC3ewI,28.4,000028,QeGCpiC3ewI_000028_3.jpg,2.35,2
QeGCpiC3ewI,30.0,000030,QeGCpiC3ewI_000030_2.jpg,2.736,2
QeGCpiC3ewI,30.8,000031,QeGCpiC3ewI_000031_2.jpg,3.182,2
QeGCpiC3ewI,33.2,000033,QeGCpiC3ewI_000033_2.jpg,0.103,2
QeGCpiC3ewI,34.0,000034,QeGCpiC3ewI_000034.jpg,3.792,2
QeGCpiC3ewI,36.0,000036,QeGCpiC3ewI_000036_2.jpg,0.0,2
QeGCpiC3ewI,37.0,000037,QeGCpiC3ewI_000037.jpg,0.988,2
QeGCpiC3ewI,43.0,000043,QeGCpiC3ewI_000043.jpg,1.183,2
QeGCpiC3ewI,49.0,000049,QeGCpiC3ewI_000049.jpg,1.438,2
QeGCpiC3ewI,52.6,000053,QeGCpiC3ewI_000053_2.jpg,2.739,2
QeGCpiC3ewI,55.0,000055,QeGCpiC3ewI_000055.jpg,2.583,2
QeGCpiC3ewI,61.0,000101,QeGCpiC3ewI_000101.jpg,1.063,2
QeGCpiC3ewI,71.2,000111,QeGCpiC3ewI_000111.jpg,3.729,2
QeGCpiC3ewI,74.4,000114,QeGCpiC3ewI_000114.jpg,2.713,2
QeGCpiC3ewI,79.0,000119,QeGCpiC3ewI_000119.jpg,1.459,2
QeGCpiC3ewI,85.0,000125,QeGCpiC3ewI_000125.jpg,2.304,2
QeGCpiC3ewI,91.0,000131,QeGCpiC3ewI_000131.jpg,1.515,2
QeGCpiC3ewI,97.0,000137,QeGCpiC3ewI_000137.jpg,1.082,2
QeGCpiC3ewI,103.0,000143,QeGCpiC3ewI_000143.jpg,2.572,2
QeGCpiC3ewI,109.0,000149,QeGCpiC3ewI_000149.jpg,0.852,2
QeGCpiC3ewI,115.0,000155,QeGCpiC3ewI_000155_2.jpg,2.642,2
QeGCpiC3ewI,121.0,000201,QeGCpiC3ewI_000201_2.jpg,2.107,2
QeGCpiC3ewI,130.0,000210,QeGCpiC3ewI_000210_2.jpg,3.517,2
QeGCpiC3ewI,140.0,000220,QeGCpiC3ewI_000220_2.jpg,2.903,2
QeGCpiC3ewI,145.0,000225,QeGCpiC3ewI_000225.jpg,0.728,2
QeGCpiC3ewI,151.0,000231,QeGCpiC3ewI_000231.jpg,2.164,2
QeGCpiC3ewI,157.0,000237,QeGCpiC3ewI_000237_2.jpg,3.372,2
QeGCpiC3ewI,163.0,000243,QeGCpiC3ewI_000243.jpg,1.186,2
QeGCpiC3ewI,169.0,000249,QeGCpiC3ewI_000249.jpg,0.798,2
QeGCpiC3ewI,175.0,000255,QeGCpiC3ewI_000255.jpg,1.219,2
QeGCpiC3ewI,181.0,000301,QeGCpiC3ewI_000301.jpg,2.13,2
QeGCpiC3ewI,184.6,000305,QeGCpiC3ewI_000305_2.jpg,3.631,2
QeGCpiC3ewI,187.0,000307,QeGCpiC3ewI_000307_2.jpg,3.364,2
QeGCpiC3ewI,193.0,000313,QeGCpiC3ewI_000313_2.jpg,2.771,2
QeGCpiC3ewI,199.0,000319,QeGCpiC3ewI_000319.jpg,0.493,2
QeGCpiC3ewI,205.0,000325,QeGCpiC3ewI_000325.jpg,2.144,2
QeGCpiC3ewI,211.0,000331,QeGCpiC3ewI_000331.jpg,1.429,2
QeGCpiC3ewI,217.0,000337,QeGCpiC3ewI_000337_2.jpg,2.516,2
QeGCpiC3ewI,217.6,000338,QeGCpiC3ewI_000338.jpg,2.556,2
QeGCpiC3ewI,223.0,000343,QeGCpiC3ewI_000343.jpg,1.779,2
QeGCpiC3ewI,229.0,000349,QeGCpiC3ewI_000349_2.jpg,2.047,2
QeGCpiC3ewI,239.0,000359,QeGCpiC3ewI_000359_2.jpg,3.266,2
QeGCpiC3ewI,239.6,000400,QeGCpiC3ewI_000400.jpg,3.869,2
QeGCpiC3ewI,241.0,000401,QeGCpiC3ewI_000401.jpg,1.525,2
QeGCpiC3ewI,253.0,000413,QeGCpiC3ewI_000413.jpg,0.402,2
QeGCpiC3ewI,259.0,000419,QeGCpiC3ewI_000419.jpg,1.221,2
QeGCpiC3ewI,266.0,000426,QeGCpiC3ewI_000426.jpg,3.595,2
QeGCpiC3ewI,271.0,000431,QeGCpiC3ewI_000431.jpg,0.669,2
QeGCpiC3ewI,277.0,000437,QeGCpiC3ewI_000437.jpg,1.917,2
QeGCpiC3ewI,283.0,000443,QeGCpiC3ewI_000443.jpg,1.387,2
