name,price,volume_ml,n_frames,t_start,t_end
1792스몰배치 750m,44980,750,1,37.0,37.0
골든블루사피루스 450ml 100m당 6.440원,28980,450,1,43.0,43.0
"더글렌그란트12년700m 100m1당9,9719",69800,700,1,49.0,49.0
더글렌그란트 12년 700ml 100m1당 9.971원,69800,700,1,52.6,52.6
더글렌그란트15년700mI,97800,,1,55.0,55.0
더글렌드로낙12년700m,79800,700,1,61.0,61.0
"더글렌드로낙오드투더다크700ml 100m1당22,829일",159800,700,1,71.2,71.2
더글렌리벳15년700mI 100m1당 13.543원,94800,700,1,74.4,74.4
글렌킨치12년700m 100m당 8.543원,59800,700,1,79.0,79.0
글렌피릭14년버번캐스크7C9mI,99800,,1,91.0,91.0
글렌피딕15년700ml -2011 Iwsc Gold Dest in Class 수상,99800,700,1,97.0,97.0
노마드 아웃랜드시리피니시7C3m,49980,,1,103.0,103.0
듀어스12년퍼스트필버번캐스크700m 12년의새운버전,39980,700,1,109.0,109.0
듀어스15년파인오크스페셜리저브700m -2024년까지 6년 연속 세제 1위 아스터 불련다를 수상한 스테파니,64800,700,1,115.0,115.0
라가불린11년스윗피트700m,89800,700,1,121.0,121.0
러셀리저브싱글배럴750m,99800,750,1,130.0,130.0
맥캘란 쉐리오크 12년 700m,119800,700,1,140.0,140.0
몽키슬더700ml,49980,700,1,145.0,145.0
발렌타인10년 700m 100m1당 5.711원,39980,700,1,151.0,151.0
발렌타인싱글몰트글렌버기15년700m 100m1당13.543원,94800,700,1,157.0,157.0
발렌타인 싱글몰트 글렌버기16년 스몰배치 신상품,169800,,1,163.0,163.0
발렌타인 파이니스트1L,28980,1000,1,169.0,169.0
발베니12년700m,96800,700,1,175.0,175.0
발베니14년캐리비안 캐스크700n,139800,,2,181.0,184.6
뱅크홀싱글몰트위스키700m 뱅크홀,29940,700,1,187.0,187.0
버팔로트레이스 1L,49980,1000,1,193.0,193.0
산토리가쿠빈700ml,29980,700,1,199.0,199.0
"아란쉐리캐스크700m 100m1당14,207",99800,700,1,205.0,205.0
아벨라워 아브나흐 세리 캐스크 에디션 700,199800,,1,211.0,211.0
에반월리엄스12년750ml,89800,750,2,217.0,217.6
에반 월리엄스 BIB 12주년에디션50도 1L,35980,1000,1,223.0,223.0
에반월리엄스블랙1.75L 100m1당2.742원,47980,1750,1,229.0,229.0
에반 윌리엄스 블랙 1L -버번의 대명사로 불리우는 전통의 미국 젠터키 버번,33980,1000,1,239.0,239.0
에반 윌리엄스 블랙 1L -버번의 대면사로 불리우는 전통의 미국 엔터키 버번,33980,1000,1,239.6,239.6
에버펠디16년700m,75800,700,1,241.0,241.0
와일드터키레어브리드750m 100m1당 10.640원,79800,750,1,253.0,253.0
"와일드터키켄터키스피릿싱글배750m 100m1당9,253",69400,750,1,259.0,259.0
이글레어10년750m,69800,750,1,266.0,266.0
일라이저크레이그스몰배치1.75L 100m1당 4.537원,79400,1750,1,271.0,271.0
제임슨스탠다드700m 100m1당3.997원,27980,700,1,289.0,289.0
조니워커그린라벨700m,1510686,700,1,296.6,296.6
조니워커 더블블랙 1L,59800,1000,1,303.6,303.6
조니워커레드1.75L,54800,1750,1,307.0,307.0
조니워커블랙1.75L 100mi당 5.417원,94800,1750,1,313.0,313.0
조니워커블랙라벨 700m,49980,700,1,319.0,319.0
조니워커블랙루비700m,44800,700,1,326.2,326.2
카발란디스틸러리실렉트 싱글몰트700m 100m당9.971원,69800,700,1,331.0,331.0
"커티삭 프로히비션 1L -다크초용릿,바닐라,말진과실의 향이 조화를 이루며 스파이시하면서도",39940,1000,1,343.0,343.0
탈리스만 9년 포르투기즈 캐스크에디션700,19980,,1,349.0,349.0
탈리스커10년 700ml,69800,700,1,361.0,361.0
탈리스커와일드블루700m,1512114,700,1,367.0,367.0
포로지스싱글배럼750m,59800,750,1,373.0,373.0
더글렌그란트 익스플로레이션 넘버원 700m,79800,700,1,379.0,379.0
레미마틴V.S.O.P70OmI 100m 11.400원,79800,,1,385.0,385.0
레미마틴V.S.O.P700m,79800,700,1,385.6,385.6
바카디모히또클래식700m 100m15 3.140원,21980,700,1,391.0,391.0
"봄베이사파이어진750m 100m당 4,1312",30980,750,2,409.0,412.6
입운마가리타1.5L 100m1당1.6e2,24980,1500,1,421.0,421.0
페로네리몬첼로1L,24980,1000,2,427.0,430.2
"피치트리 1L 100ml당 2,598y",25980,1000,1,433.0,433.0
호세쿠엘보에스페살레포사도750m,27980,750,1,439.0,439.0
더글렌리벳 17년스몰배치2700m,229800,,1,445.0,445.0
더글렌리벤 19년스몰배치2700m,349800,,1,451.0,451.0
달모어2005빈티지700ml,678000,700,1,457.0,457.0
발렌타인21년700m,189800,700,1,463.0,463.0
조니워커블루라벨750m,259800,750,1,469.0,469.0
