video_id,t_sec,hhmmss,path,mean_diff,n_frames
S3YrdtxmRX4,1.6,000002,S3YrdtxmRX4_000002.jpg,1.731,17
S3YrdtxmRX4,6.4,000006,S3YrdtxmRX4_000006.jpg,1.658,14
S3YrdtxmRX4,21.0,000021,S3YrdtxmRX4_000021.jpg,0.318,17
S3YrdtxmRX4,27.8,000028,S3YrdtxmRX4_000028.jpg,0.127,14
S3YrdtxmRX4,35.0,000035,S3YrdtxmRX4_000035.jpg,0.352,15
S3YrdtxmRX4,42.8,000043,S3YrdtxmRX4_000043.jpg,0.157,24
S3YrdtxmRX4,49.8,000050,S3YrdtxmRX4_000050.jpg,0.392,20
S3YrdtxmRX4,55.8,000056,S3YrdtxmRX4_000056.jpg,0.43,18
S3YrdtxmRX4,64.0,000104,S3YrdtxmRX4_000104.jpg,0.207,27
S3YrdtxmRX4,70.4,000110,S3YrdtxmRX4_000110.jpg,0.255,23
S3YrdtxmRX4,76.8,000117,S3YrdtxmRX4_000117.jpg,0.192,17
S3YrdtxmRX4,79.2,000119,S3YrdtxmRX4_000119.jpg,2.623,2
S3YrdtxmRX4,85.2,000125,S3YrdtxmRX4_000125.jpg,0.228,17
S3YrdtxmRX4,93.4,000133,S3YrdtxmRX4_000133.jpg,0.132,14
S3YrdtxmRX4,101.4,000141,S3YrdtxmRX4_000141.jpg,0.223,14
S3YrdtxmRX4,107.4,000147,S3YrdtxmRX4_000147.jpg,0.19,13
S3YrdtxmRX4,114.8,000155,S3YrdtxmRX4_000155.jpg,0.376,11
S3YrdtxmRX4,123.8,000204,S3YrdtxmRX4_000204.jpg,0.138,34
S3YrdtxmRX4,129.2,000209,S3YrdtxmRX4_000209.jpg,0.636,6
S3YrdtxmRX4,136.4,000216,S3YrdtxmRX4_000216.jpg,0.313,12
S3YrdtxmRX4,142.6,000223,S3YrdtxmRX4_000223.jpg,0.195,15
S3YrdtxmRX4,149.4,000229,S3YrdtxmRX4_000229.jpg,0.339,17
S3YrdtxmRX4,153.6,000234,S3YrdtxmRX4_000234.jpg,2.904,2
S3YrdtxmRX4,154.0,000234,S3YrdtxmRX4_000234_1.jpg,2.601,2
S3YrdtxmRX4,155.6,000236,S3YrdtxmRX4_000236.jpg,0.424,14
S3YrdtxmRX4,162.0,000242,S3YrdtxmRX4_000242.jpg,0.301,22
S3YrdtxmRX4,168.2,000248,S3YrdtxmRX4_000248.jpg,2.678,2
S3YrdtxmRX4,170.6,000251,S3YrdtxmRX4_000251.jpg,0.282,22
S3YrdtxmRX4,175.4,000255,S3YrdtxmRX4_000255.jpg,0.538,6
S3YrdtxmRX4,176.4,000256,S3YrdtxmRX4_000256.jpg,1.756,3
S3YrdtxmRX4,183.2,000303,S3YrdtxmRX4_000303.jpg,0.263,20
S3YrdtxmRX4,191.4,000311,S3YrdtxmRX4_000311.jpg,0.317,18
S3YrdtxmRX4,198.8,000319,S3YrdtxmRX4_000319.jpg,0.206,19
S3YrdtxmRX4,206.2,000326,S3YrdtxmRX4_000326.jpg,0.217,21
S3YrdtxmRX4,214.8,000335,S3YrdtxmRX4_000335.jpg,0.148,28
S3YrdtxmRX4,219.8,000340,S3YrdtxmRX4_000340.jpg,0.198,14
S3YrdtxmRX4,227.2,000347,S3YrdtxmRX4_000347.jpg,0.195,12
S3YrdtxmRX4,234.6,000355,S3YrdtxmRX4_000355.jpg,0.341,14
S3YrdtxmRX4,241.4,000401,S3YrdtxmRX4_000401.jpg,0.261,21
S3YrdtxmRX4,249.0,000409,S3YrdtxmRX4_000409.jpg,0.18,19
S3YrdtxmRX4,259.0,000419,S3YrdtxmRX4_000419.jpg,0.116,33
S3YrdtxmRX4,266.6,000427,S3YrdtxmRX4_000427.jpg,0.19,25
S3YrdtxmRX4,275.4,000435,S3YrdtxmRX4_000435.jpg,0.104,26
S3YrdtxmRX4,283.8,000444,S3YrdtxmRX4_000444.jpg,0.106,26
S3YrdtxmRX4,291.6,000452,S3YrdtxmRX4_000452.jpg,0.371,22
S3YrdtxmRX4,299.0,000459,S3YrdtxmRX4_000459.jpg,0.17,19
S3YrdtxmRX4,303.2,000503,S3YrdtxmRX4_000503.jpg,2.825,2
S3YrdtxmRX4,305.4,000505,S3YrdtxmRX4_000505.jpg,0.128,20
S3YrdtxmRX4,311.6,000512,S3YrdtxmRX4_000512.jpg,0.211,19
S3YrdtxmRX4,320.2,000520,S3YrdtxmRX4_000520.jpg,0.328,27
S3YrdtxmRX4,327.4,000527,S3YrdtxmRX4_000527.jpg,0.258,38
S3YrdtxmRX4,334.4,000534,S3YrdtxmRX4_000534.jpg,0.286,27
S3YrdtxmRX4,337.6,000538,S3YrdtxmRX4_000538.jpg,0.115,3
S3YrdtxmRX4,338.2,000538,S3YrdtxmRX4_000538_1.jpg,2.404,2
S3YrdtxmRX4,356.2,000556,S3YrdtxmRX4_000556.jpg,2.686,2
